"date","nevada"
"2013-12-01",90
"2013-12-08",92
"2013-12-15",91
"2013-12-22",98
"2013-12-29",95
"2014-01-05",86
"2014-01-12",91
"2014-01-19",91
"2014-01-26",88
"2014-02-02",89
"2014-02-09",83
"2014-02-16",85
"2014-02-23",85
"2014-03-02",84
"2014-03-09",84
"2014-03-16",90
"2014-03-23",86
"2014-03-30",82
"2014-04-06",85
"2014-04-13",89
"2014-04-20",89
"2014-04-27",87
"2014-05-04",83
"2014-05-11",79
"2014-05-18",80
"2014-05-25",82
"2014-06-01",82
"2014-06-08",80
"2014-06-15",83
"2014-06-22",83
"2014-06-29",85
"2014-07-06",84
"2014-07-13",87
"2014-07-20",86
"2014-07-27",85
"2014-08-03",86
"2014-08-10",88
"2014-08-17",89
"2014-08-24",86
"2014-08-31",89
"2014-09-07",85
"2014-09-14",88
"2014-09-21",90
"2014-09-28",87
"2014-10-05",86
"2014-10-12",89
"2014-10-19",89
"2014-10-26",93
"2014-11-02",87
"2014-11-09",90
"2014-11-16",89
"2014-11-23",87
"2014-11-30",86
"2014-12-07",85
"2014-12-14",90
"2014-12-21",97
"2014-12-28",91
"2015-01-04",90
"2015-01-11",85
"2015-01-18",85
"2015-01-25",84
"2015-02-01",80
"2015-02-08",82
"2015-02-15",83
"2015-02-22",82
"2015-03-01",80
"2015-03-08",80
"2015-03-15",81
"2015-03-22",83
"2015-03-29",83
"2015-04-05",81
"2015-04-12",81
"2015-04-19",82
"2015-04-26",84
"2015-05-03",82
"2015-05-10",83
"2015-05-17",85
"2015-05-24",84
"2015-05-31",86
"2015-06-07",84
"2015-06-14",87
"2015-06-21",87
"2015-06-28",84
"2015-07-05",84
"2015-07-12",82
"2015-07-19",83
"2015-07-26",83
"2015-08-02",84
"2015-08-09",82
"2015-08-16",87
"2015-08-23",87
"2015-08-30",82
"2015-09-06",80
"2015-09-13",82
"2015-09-20",85
"2015-09-27",87
"2015-10-04",83
"2015-10-11",83
"2015-10-18",82
"2015-10-25",84
"2015-11-01",78
"2015-11-08",77
"2015-11-15",75
"2015-11-22",79
"2015-11-29",79
"2015-12-06",85
"2015-12-13",82
"2015-12-20",87
"2015-12-27",83
"2016-01-03",96
"2016-01-10",97
"2016-01-17",97
"2016-01-24",99
"2016-01-31",92
"2016-02-07",99
"2016-02-14",97
"2016-02-21",96
"2016-02-28",93
"2016-03-06",89
"2016-03-13",94
"2016-03-20",98
"2016-03-27",97
"2016-04-03",94
"2016-04-10",95
"2016-04-17",95
"2016-04-24",91
"2016-05-01",93
"2016-05-08",100
"2016-05-15",95
"2016-05-22",97
"2016-05-29",95
"2016-06-05",94
"2016-06-12",94
"2016-06-19",91
"2016-06-26",89
"2016-07-03",94
"2016-07-10",87
"2016-07-17",91
"2016-07-24",89
"2016-07-31",85
"2016-08-07",84
"2016-08-14",85
"2016-08-21",86
"2016-08-28",87
"2016-09-04",80
"2016-09-11",79
"2016-09-18",80
"2016-09-25",83
"2016-10-02",82
"2016-10-09",84
"2016-10-16",81
"2016-10-23",82
"2016-10-30",84
"2016-11-06",81
"2016-11-13",79
"2016-11-20",82
"2016-11-27",75
"2016-12-04",78
"2016-12-11",77
"2016-12-18",82
"2016-12-25",79
"2017-01-01",80
"2017-01-08",78
"2017-01-15",78
"2017-01-22",79
"2017-01-29",77
"2017-02-05",77
"2017-02-12",79
"2017-02-19",72
"2017-02-26",69
"2017-03-05",71
"2017-03-12",71
"2017-03-19",72
"2017-03-26",73
"2017-04-02",70
"2017-04-09",75
"2017-04-16",77
"2017-04-23",73
"2017-04-30",72
"2017-05-07",73
"2017-05-14",75
"2017-05-21",77
"2017-05-28",76
"2017-06-04",76
"2017-06-11",76
"2017-06-18",77
"2017-06-25",78
"2017-07-02",77
"2017-07-09",77
"2017-07-16",77
"2017-07-23",74
"2017-07-30",73
"2017-08-06",70
"2017-08-13",75
"2017-08-20",70
"2017-08-27",67
"2017-09-03",66
"2017-09-10",66
"2017-09-17",62
"2017-09-24",59
"2017-10-01",72
"2017-10-08",64
"2017-10-15",63
"2017-10-22",60
"2017-10-29",62
"2017-11-05",62
"2017-11-12",59
"2017-11-19",59
"2017-11-26",56
"2017-12-03",58
"2017-12-10",55
"2017-12-17",58
"2017-12-24",60
"2017-12-31",62
"2018-01-07",56
"2018-01-14",55
"2018-01-21",54
"2018-01-28",56
"2018-02-04",53
"2018-02-11",55
"2018-02-18",53
"2018-02-25",52
"2018-03-04",52
"2018-03-11",51
"2018-03-18",56
"2018-03-25",56
"2018-04-01",52
"2018-04-08",55
"2018-04-15",52
"2018-04-22",50
"2018-04-29",49
"2018-05-06",50
"2018-05-13",52
"2018-05-20",53
"2018-05-27",52
"2018-06-03",52
"2018-06-10",52
"2018-06-17",53
"2018-06-24",51
"2018-07-01",52
"2018-07-08",51
"2018-07-15",50
"2018-07-22",53
"2018-07-29",52
"2018-08-05",50
"2018-08-12",50
"2018-08-19",49
"2018-08-26",50
"2018-09-02",51
"2018-09-09",49
"2018-09-16",47
"2018-09-23",48
"2018-09-30",49
"2018-10-07",48
"2018-10-14",47
"2018-10-21",46
"2018-10-28",46
"2018-11-04",46
"2018-11-11",46
"2018-11-18",47
