"date","new jersey"
"2013-12-01",92
"2013-12-08",92
"2013-12-15",91
"2013-12-22",100
"2013-12-29",98
"2014-01-05",91
"2014-01-12",91
"2014-01-19",94
"2014-01-26",94
"2014-02-02",93
"2014-02-09",93
"2014-02-16",92
"2014-02-23",92
"2014-03-02",90
"2014-03-09",92
"2014-03-16",92
"2014-03-23",90
"2014-03-30",90
"2014-04-06",92
"2014-04-13",92
"2014-04-20",92
"2014-04-27",94
"2014-05-04",85
"2014-05-11",88
"2014-05-18",84
"2014-05-25",87
"2014-06-01",83
"2014-06-08",82
"2014-06-15",82
"2014-06-22",82
"2014-06-29",85
"2014-07-06",83
"2014-07-13",83
"2014-07-20",84
"2014-07-27",83
"2014-08-03",84
"2014-08-10",86
"2014-08-17",89
"2014-08-24",87
"2014-08-31",88
"2014-09-07",85
"2014-09-14",82
"2014-09-21",82
"2014-09-28",82
"2014-10-05",81
"2014-10-12",78
"2014-10-19",79
"2014-10-26",81
"2014-11-02",76
"2014-11-09",78
"2014-11-16",77
"2014-11-23",76
"2014-11-30",75
"2014-12-07",75
"2014-12-14",74
"2014-12-21",81
"2014-12-28",80
"2015-01-04",72
"2015-01-11",71
"2015-01-18",72
"2015-01-25",73
"2015-02-01",73
"2015-02-08",70
"2015-02-15",73
"2015-02-22",70
"2015-03-01",71
"2015-03-08",71
"2015-03-15",70
"2015-03-22",70
"2015-03-29",71
"2015-04-05",74
"2015-04-12",71
"2015-04-19",72
"2015-04-26",70
"2015-05-03",72
"2015-05-10",73
"2015-05-17",71
"2015-05-24",73
"2015-05-31",69
"2015-06-07",72
"2015-06-14",71
"2015-06-21",77
"2015-06-28",78
"2015-07-05",77
"2015-07-12",73
"2015-07-19",77
"2015-07-26",77
"2015-08-02",77
"2015-08-09",76
"2015-08-16",77
"2015-08-23",80
"2015-08-30",73
"2015-09-06",72
"2015-09-13",71
"2015-09-20",72
"2015-09-27",76
"2015-10-04",71
"2015-10-11",71
"2015-10-18",71
"2015-10-25",70
"2015-11-01",71
"2015-11-08",70
"2015-11-15",67
"2015-11-22",71
"2015-11-29",67
"2015-12-06",65
"2015-12-13",65
"2015-12-20",67
"2015-12-27",78
"2016-01-03",85
"2016-01-10",80
"2016-01-17",85
"2016-01-24",87
"2016-01-31",82
"2016-02-07",82
"2016-02-14",84
"2016-02-21",80
"2016-02-28",79
"2016-03-06",78
"2016-03-13",79
"2016-03-20",82
"2016-03-27",85
"2016-04-03",79
"2016-04-10",82
"2016-04-17",82
"2016-04-24",80
"2016-05-01",78
"2016-05-08",80
"2016-05-15",79
"2016-05-22",81
"2016-05-29",80
"2016-06-05",77
"2016-06-12",81
"2016-06-19",80
"2016-06-26",80
"2016-07-03",82
"2016-07-10",81
"2016-07-17",78
"2016-07-24",79
"2016-07-31",77
"2016-08-07",75
"2016-08-14",76
"2016-08-21",76
"2016-08-28",78
"2016-09-04",74
"2016-09-11",70
"2016-09-18",70
"2016-09-25",67
"2016-10-02",70
"2016-10-09",69
"2016-10-16",70
"2016-10-23",68
"2016-10-30",70
"2016-11-06",71
"2016-11-13",67
"2016-11-20",67
"2016-11-27",63
"2016-12-04",65
"2016-12-11",62
"2016-12-18",63
"2016-12-25",69
"2017-01-01",68
"2017-01-08",66
"2017-01-15",65
"2017-01-22",66
"2017-01-29",65
"2017-02-05",63
"2017-02-12",67
"2017-02-19",63
"2017-02-26",63
"2017-03-05",61
"2017-03-12",63
"2017-03-19",62
"2017-03-26",64
"2017-04-02",64
"2017-04-09",65
"2017-04-16",69
"2017-04-23",64
"2017-04-30",64
"2017-05-07",63
"2017-05-14",64
"2017-05-21",62
"2017-05-28",62
"2017-06-04",63
"2017-06-11",64
"2017-06-18",68
"2017-06-25",69
"2017-07-02",67
"2017-07-09",66
"2017-07-16",65
"2017-07-23",66
"2017-07-30",66
"2017-08-06",65
"2017-08-13",66
"2017-08-20",66
"2017-08-27",66
"2017-09-03",64
"2017-09-10",62
"2017-09-17",61
"2017-09-24",60
"2017-10-01",58
"2017-10-08",58
"2017-10-15",57
"2017-10-22",56
"2017-10-29",59
"2017-11-05",57
"2017-11-12",53
"2017-11-19",54
"2017-11-26",50
"2017-12-03",53
"2017-12-10",50
"2017-12-17",53
"2017-12-24",58
"2017-12-31",55
"2018-01-07",51
"2018-01-14",52
"2018-01-21",52
"2018-01-28",51
"2018-02-04",50
"2018-02-11",52
"2018-02-18",51
"2018-02-25",51
"2018-03-04",51
"2018-03-11",50
"2018-03-18",53
"2018-03-25",52
"2018-04-01",51
"2018-04-08",51
"2018-04-15",48
"2018-04-22",49
"2018-04-29",47
"2018-05-06",46
"2018-05-13",47
"2018-05-20",47
"2018-05-27",47
"2018-06-03",48
"2018-06-10",47
"2018-06-17",51
"2018-06-24",49
"2018-07-01",50
"2018-07-08",51
"2018-07-15",49
"2018-07-22",51
"2018-07-29",49
"2018-08-05",49
"2018-08-12",48
"2018-08-19",49
"2018-08-26",49
"2018-09-02",49
"2018-09-09",46
"2018-09-16",45
"2018-09-23",46
"2018-09-30",45
"2018-10-07",45
"2018-10-14",42
"2018-10-21",43
"2018-10-28",45
"2018-11-04",43
"2018-11-11",45
"2018-11-18",44
