"date","new mexico"
"2013-12-01",76
"2013-12-08",78
"2013-12-15",83
"2013-12-22",84
"2013-12-29",80
"2014-01-05",74
"2014-01-12",73
"2014-01-19",73
"2014-01-26",73
"2014-02-02",66
"2014-02-09",66
"2014-02-16",68
"2014-02-23",68
"2014-03-02",66
"2014-03-09",71
"2014-03-16",68
"2014-03-23",70
"2014-03-30",68
"2014-04-06",70
"2014-04-13",69
"2014-04-20",70
"2014-04-27",70
"2014-05-04",68
"2014-05-11",67
"2014-05-18",67
"2014-05-25",70
"2014-06-01",70
"2014-06-08",67
"2014-06-15",69
"2014-06-22",69
"2014-06-29",73
"2014-07-06",69
"2014-07-13",71
"2014-07-20",71
"2014-07-27",73
"2014-08-03",69
"2014-08-10",72
"2014-08-17",72
"2014-08-24",70
"2014-08-31",67
"2014-09-07",67
"2014-09-14",68
"2014-09-21",68
"2014-09-28",66
"2014-10-05",67
"2014-10-12",67
"2014-10-19",69
"2014-10-26",68
"2014-11-02",63
"2014-11-09",65
"2014-11-16",65
"2014-11-23",68
"2014-11-30",63
"2014-12-07",67
"2014-12-14",64
"2014-12-21",69
"2014-12-28",65
"2015-01-04",60
"2015-01-11",63
"2015-01-18",61
"2015-01-25",61
"2015-02-01",59
"2015-02-08",58
"2015-02-15",60
"2015-02-22",58
"2015-03-01",59
"2015-03-08",58
"2015-03-15",62
"2015-03-22",63
"2015-03-29",64
"2015-04-05",61
"2015-04-12",60
"2015-04-19",66
"2015-04-26",63
"2015-05-03",65
"2015-05-10",62
"2015-05-17",67
"2015-05-24",64
"2015-05-31",67
"2015-06-07",68
"2015-06-14",64
"2015-06-21",67
"2015-06-28",69
"2015-07-05",68
"2015-07-12",65
"2015-07-19",68
"2015-07-26",68
"2015-08-02",66
"2015-08-09",67
"2015-08-16",64
"2015-08-23",64
"2015-08-30",62
"2015-09-06",60
"2015-09-13",62
"2015-09-20",61
"2015-09-27",66
"2015-10-04",64
"2015-10-11",65
"2015-10-18",63
"2015-10-25",69
"2015-11-01",67
"2015-11-08",64
"2015-11-15",64
"2015-11-22",63
"2015-11-29",60
"2015-12-06",59
"2015-12-13",66
"2015-12-20",72
"2015-12-27",73
"2016-01-03",86
"2016-01-10",84
"2016-01-17",85
"2016-01-24",85
"2016-01-31",79
"2016-02-07",79
"2016-02-14",82
"2016-02-21",81
"2016-02-28",79
"2016-03-06",80
"2016-03-13",82
"2016-03-20",88
"2016-03-27",89
"2016-04-03",83
"2016-04-10",88
"2016-04-17",90
"2016-04-24",91
"2016-05-01",86
"2016-05-08",91
"2016-05-15",90
"2016-05-22",99
"2016-05-29",100
"2016-06-05",91
"2016-06-12",91
"2016-06-19",89
"2016-06-26",89
"2016-07-03",90
"2016-07-10",83
"2016-07-17",84
"2016-07-24",79
"2016-07-31",80
"2016-08-07",80
"2016-08-14",78
"2016-08-21",77
"2016-08-28",78
"2016-09-04",71
"2016-09-11",75
"2016-09-18",73
"2016-09-25",73
"2016-10-02",73
"2016-10-09",72
"2016-10-16",74
"2016-10-23",71
"2016-10-30",71
"2016-11-06",74
"2016-11-13",71
"2016-11-20",70
"2016-11-27",67
"2016-12-04",69
"2016-12-11",69
"2016-12-18",71
"2016-12-25",70
"2017-01-01",70
"2017-01-08",66
"2017-01-15",70
"2017-01-22",66
"2017-01-29",67
"2017-02-05",67
"2017-02-12",68
"2017-02-19",65
"2017-02-26",62
"2017-03-05",63
"2017-03-12",67
"2017-03-19",69
"2017-03-26",66
"2017-04-02",65
"2017-04-09",68
"2017-04-16",69
"2017-04-23",67
"2017-04-30",68
"2017-05-07",68
"2017-05-14",68
"2017-05-21",69
"2017-05-28",70
"2017-06-04",69
"2017-06-11",69
"2017-06-18",69
"2017-06-25",68
"2017-07-02",71
"2017-07-09",69
"2017-07-16",68
"2017-07-23",68
"2017-07-30",68
"2017-08-06",65
"2017-08-13",70
"2017-08-20",65
"2017-08-27",64
"2017-09-03",60
"2017-09-10",62
"2017-09-17",62
"2017-09-24",61
"2017-10-01",61
"2017-10-08",60
"2017-10-15",58
"2017-10-22",58
"2017-10-29",58
"2017-11-05",58
"2017-11-12",55
"2017-11-19",54
"2017-11-26",53
"2017-12-03",53
"2017-12-10",53
"2017-12-17",54
"2017-12-24",58
"2017-12-31",55
"2018-01-07",53
"2018-01-14",51
"2018-01-21",49
"2018-01-28",51
"2018-02-04",49
"2018-02-11",49
"2018-02-18",49
"2018-02-25",49
"2018-03-04",47
"2018-03-11",46
"2018-03-18",50
"2018-03-25",51
"2018-04-01",50
"2018-04-08",49
"2018-04-15",48
"2018-04-22",50
"2018-04-29",46
"2018-05-06",47
"2018-05-13",47
"2018-05-20",47
"2018-05-27",50
"2018-06-03",49
"2018-06-10",48
"2018-06-17",49
"2018-06-24",49
"2018-07-01",48
"2018-07-08",48
"2018-07-15",46
"2018-07-22",49
"2018-07-29",48
"2018-08-05",48
"2018-08-12",48
"2018-08-19",45
"2018-08-26",45
"2018-09-02",43
"2018-09-09",45
"2018-09-16",45
"2018-09-23",44
"2018-09-30",44
"2018-10-07",45
"2018-10-14",41
"2018-10-21",45
"2018-10-28",44
"2018-11-04",42
"2018-11-11",43
"2018-11-18",44
