"date","new york"
"2013-12-01",92
"2013-12-08",94
"2013-12-15",91
"2013-12-22",100
"2013-12-29",96
"2014-01-05",92
"2014-01-12",93
"2014-01-19",94
"2014-01-26",89
"2014-02-02",92
"2014-02-09",89
"2014-02-16",89
"2014-02-23",90
"2014-03-02",85
"2014-03-09",86
"2014-03-16",84
"2014-03-23",84
"2014-03-30",86
"2014-04-06",87
"2014-04-13",91
"2014-04-20",87
"2014-04-27",82
"2014-05-04",76
"2014-05-11",79
"2014-05-18",82
"2014-05-25",82
"2014-06-01",77
"2014-06-08",77
"2014-06-15",79
"2014-06-22",80
"2014-06-29",82
"2014-07-06",80
"2014-07-13",82
"2014-07-20",80
"2014-07-27",83
"2014-08-03",85
"2014-08-10",82
"2014-08-17",85
"2014-08-24",87
"2014-08-31",86
"2014-09-07",82
"2014-09-14",84
"2014-09-21",84
"2014-09-28",80
"2014-10-05",77
"2014-10-12",83
"2014-10-19",79
"2014-10-26",83
"2014-11-02",78
"2014-11-09",77
"2014-11-16",78
"2014-11-23",76
"2014-11-30",75
"2014-12-07",73
"2014-12-14",76
"2014-12-21",84
"2014-12-28",80
"2015-01-04",73
"2015-01-11",73
"2015-01-18",73
"2015-01-25",76
"2015-02-01",72
"2015-02-08",72
"2015-02-15",75
"2015-02-22",71
"2015-03-01",73
"2015-03-08",73
"2015-03-15",72
"2015-03-22",75
"2015-03-29",74
"2015-04-05",76
"2015-04-12",75
"2015-04-19",74
"2015-04-26",75
"2015-05-03",76
"2015-05-10",75
"2015-05-17",73
"2015-05-24",76
"2015-05-31",73
"2015-06-07",74
"2015-06-14",74
"2015-06-21",77
"2015-06-28",77
"2015-07-05",73
"2015-07-12",73
"2015-07-19",75
"2015-07-26",73
"2015-08-02",74
"2015-08-09",76
"2015-08-16",77
"2015-08-23",76
"2015-08-30",73
"2015-09-06",73
"2015-09-13",76
"2015-09-20",73
"2015-09-27",78
"2015-10-04",73
"2015-10-11",72
"2015-10-18",71
"2015-10-25",69
"2015-11-01",73
"2015-11-08",71
"2015-11-15",70
"2015-11-22",72
"2015-11-29",66
"2015-12-06",69
"2015-12-13",72
"2015-12-20",75
"2015-12-27",78
"2016-01-03",75
"2016-01-10",78
"2016-01-17",79
"2016-01-24",78
"2016-01-31",76
"2016-02-07",72
"2016-02-14",77
"2016-02-21",74
"2016-02-28",74
"2016-03-06",73
"2016-03-13",74
"2016-03-20",75
"2016-03-27",77
"2016-04-03",72
"2016-04-10",76
"2016-04-17",75
"2016-04-24",75
"2016-05-01",75
"2016-05-08",75
"2016-05-15",71
"2016-05-22",75
"2016-05-29",77
"2016-06-05",70
"2016-06-12",73
"2016-06-19",77
"2016-06-26",75
"2016-07-03",76
"2016-07-10",75
"2016-07-17",75
"2016-07-24",75
"2016-07-31",75
"2016-08-07",72
"2016-08-14",74
"2016-08-21",72
"2016-08-28",71
"2016-09-04",64
"2016-09-11",65
"2016-09-18",69
"2016-09-25",68
"2016-10-02",67
"2016-10-09",68
"2016-10-16",67
"2016-10-23",66
"2016-10-30",69
"2016-11-06",66
"2016-11-13",66
"2016-11-20",67
"2016-11-27",63
"2016-12-04",61
"2016-12-11",62
"2016-12-18",64
"2016-12-25",70
"2017-01-01",69
"2017-01-08",64
"2017-01-15",64
"2017-01-22",62
"2017-01-29",59
"2017-02-05",61
"2017-02-12",64
"2017-02-19",65
"2017-02-26",60
"2017-03-05",60
"2017-03-12",62
"2017-03-19",62
"2017-03-26",63
"2017-04-02",59
"2017-04-09",60
"2017-04-16",66
"2017-04-23",60
"2017-04-30",58
"2017-05-07",59
"2017-05-14",63
"2017-05-21",62
"2017-05-28",62
"2017-06-04",57
"2017-06-11",62
"2017-06-18",61
"2017-06-25",62
"2017-07-02",62
"2017-07-09",60
"2017-07-16",59
"2017-07-23",61
"2017-07-30",64
"2017-08-06",62
"2017-08-13",64
"2017-08-20",62
"2017-08-27",59
"2017-09-03",60
"2017-09-10",55
"2017-09-17",57
"2017-09-24",57
"2017-10-01",56
"2017-10-08",54
"2017-10-15",53
"2017-10-22",53
"2017-10-29",51
"2017-11-05",51
"2017-11-12",50
"2017-11-19",52
"2017-11-26",48
"2017-12-03",48
"2017-12-10",50
"2017-12-17",50
"2017-12-24",54
"2017-12-31",52
"2018-01-07",49
"2018-01-14",49
"2018-01-21",49
"2018-01-28",50
"2018-02-04",46
"2018-02-11",49
"2018-02-18",49
"2018-02-25",48
"2018-03-04",45
"2018-03-11",48
"2018-03-18",52
"2018-03-25",49
"2018-04-01",48
"2018-04-08",51
"2018-04-15",46
"2018-04-22",45
"2018-04-29",44
"2018-05-06",44
"2018-05-13",44
"2018-05-20",44
"2018-05-27",45
"2018-06-03",44
"2018-06-10",45
"2018-06-17",46
"2018-06-24",45
"2018-07-01",45
"2018-07-08",46
"2018-07-15",45
"2018-07-22",46
"2018-07-29",47
"2018-08-05",45
"2018-08-12",46
"2018-08-19",44
"2018-08-26",45
"2018-09-02",45
"2018-09-09",43
"2018-09-16",43
"2018-09-23",42
"2018-09-30",41
"2018-10-07",43
"2018-10-14",40
"2018-10-21",40
"2018-10-28",42
"2018-11-04",40
"2018-11-11",41
"2018-11-18",42
