"date","north carolina"
"2013-12-01",86
"2013-12-08",88
"2013-12-15",88
"2013-12-22",100
"2013-12-29",92
"2014-01-05",86
"2014-01-12",84
"2014-01-19",85
"2014-01-26",88
"2014-02-02",85
"2014-02-09",89
"2014-02-16",85
"2014-02-23",83
"2014-03-02",82
"2014-03-09",83
"2014-03-16",82
"2014-03-23",81
"2014-03-30",83
"2014-04-06",82
"2014-04-13",82
"2014-04-20",84
"2014-04-27",85
"2014-05-04",81
"2014-05-11",83
"2014-05-18",82
"2014-05-25",83
"2014-06-01",82
"2014-06-08",81
"2014-06-15",82
"2014-06-22",82
"2014-06-29",85
"2014-07-06",83
"2014-07-13",82
"2014-07-20",82
"2014-07-27",82
"2014-08-03",82
"2014-08-10",83
"2014-08-17",84
"2014-08-24",79
"2014-08-31",79
"2014-09-07",78
"2014-09-14",75
"2014-09-21",77
"2014-09-28",77
"2014-10-05",75
"2014-10-12",76
"2014-10-19",75
"2014-10-26",75
"2014-11-02",72
"2014-11-09",73
"2014-11-16",72
"2014-11-23",76
"2014-11-30",71
"2014-12-07",70
"2014-12-14",72
"2014-12-21",82
"2014-12-28",77
"2015-01-04",70
"2015-01-11",68
"2015-01-18",69
"2015-01-25",68
"2015-02-01",65
"2015-02-08",66
"2015-02-15",71
"2015-02-22",71
"2015-03-01",67
"2015-03-08",69
"2015-03-15",69
"2015-03-22",70
"2015-03-29",70
"2015-04-05",75
"2015-04-12",71
"2015-04-19",70
"2015-04-26",68
"2015-05-03",71
"2015-05-10",73
"2015-05-17",73
"2015-05-24",74
"2015-05-31",75
"2015-06-07",77
"2015-06-14",76
"2015-06-21",81
"2015-06-28",79
"2015-07-05",79
"2015-07-12",78
"2015-07-19",78
"2015-07-26",76
"2015-08-02",74
"2015-08-09",80
"2015-08-16",78
"2015-08-23",76
"2015-08-30",71
"2015-09-06",70
"2015-09-13",71
"2015-09-20",73
"2015-09-27",76
"2015-10-04",73
"2015-10-11",75
"2015-10-18",75
"2015-10-25",75
"2015-11-01",73
"2015-11-08",73
"2015-11-15",74
"2015-11-22",75
"2015-11-29",70
"2015-12-06",71
"2015-12-13",72
"2015-12-20",84
"2015-12-27",88
"2016-01-03",90
"2016-01-10",87
"2016-01-17",97
"2016-01-24",92
"2016-01-31",88
"2016-02-07",87
"2016-02-14",87
"2016-02-21",87
"2016-02-28",87
"2016-03-06",87
"2016-03-13",86
"2016-03-20",90
"2016-03-27",95
"2016-04-03",87
"2016-04-10",88
"2016-04-17",86
"2016-04-24",86
"2016-05-01",85
"2016-05-08",90
"2016-05-15",89
"2016-05-22",90
"2016-05-29",91
"2016-06-05",90
"2016-06-12",91
"2016-06-19",91
"2016-06-26",87
"2016-07-03",89
"2016-07-10",87
"2016-07-17",86
"2016-07-24",87
"2016-07-31",85
"2016-08-07",82
"2016-08-14",83
"2016-08-21",82
"2016-08-28",80
"2016-09-04",75
"2016-09-11",76
"2016-09-18",75
"2016-09-25",73
"2016-10-02",73
"2016-10-09",79
"2016-10-16",77
"2016-10-23",72
"2016-10-30",75
"2016-11-06",74
"2016-11-13",72
"2016-11-20",74
"2016-11-27",70
"2016-12-04",69
"2016-12-11",70
"2016-12-18",76
"2016-12-25",79
"2017-01-01",76
"2017-01-08",73
"2017-01-15",71
"2017-01-22",71
"2017-01-29",68
"2017-02-05",69
"2017-02-12",71
"2017-02-19",69
"2017-02-26",67
"2017-03-05",70
"2017-03-12",70
"2017-03-19",68
"2017-03-26",69
"2017-04-02",69
"2017-04-09",73
"2017-04-16",77
"2017-04-23",70
"2017-04-30",68
"2017-05-07",69
"2017-05-14",73
"2017-05-21",73
"2017-05-28",74
"2017-06-04",74
"2017-06-11",74
"2017-06-18",77
"2017-06-25",74
"2017-07-02",76
"2017-07-09",72
"2017-07-16",72
"2017-07-23",72
"2017-07-30",73
"2017-08-06",72
"2017-08-13",73
"2017-08-20",71
"2017-08-27",68
"2017-09-03",66
"2017-09-10",65
"2017-09-17",67
"2017-09-24",65
"2017-10-01",64
"2017-10-08",64
"2017-10-15",64
"2017-10-22",63
"2017-10-29",61
"2017-11-05",60
"2017-11-12",57
"2017-11-19",61
"2017-11-26",56
"2017-12-03",55
"2017-12-10",58
"2017-12-17",61
"2017-12-24",66
"2017-12-31",61
"2018-01-07",57
"2018-01-14",61
"2018-01-21",57
"2018-01-28",55
"2018-02-04",54
"2018-02-11",55
"2018-02-18",54
"2018-02-25",53
"2018-03-04",55
"2018-03-11",53
"2018-03-18",54
"2018-03-25",55
"2018-04-01",57
"2018-04-08",55
"2018-04-15",53
"2018-04-22",51
"2018-04-29",49
"2018-05-06",50
"2018-05-13",52
"2018-05-20",51
"2018-05-27",52
"2018-06-03",53
"2018-06-10",53
"2018-06-17",54
"2018-06-24",54
"2018-07-01",55
"2018-07-08",54
"2018-07-15",51
"2018-07-22",55
"2018-07-29",54
"2018-08-05",53
"2018-08-12",52
"2018-08-19",53
"2018-08-26",51
"2018-09-02",50
"2018-09-09",53
"2018-09-16",54
"2018-09-23",51
"2018-09-30",49
"2018-10-07",50
"2018-10-14",47
"2018-10-21",47
"2018-10-28",48
"2018-11-04",46
"2018-11-11",47
"2018-11-18",48
