"date","ohio"
"2013-12-01",83
"2013-12-08",79
"2013-12-15",85
"2013-12-22",100
"2013-12-29",95
"2014-01-05",85
"2014-01-12",79
"2014-01-19",77
"2014-01-26",77
"2014-02-02",78
"2014-02-09",77
"2014-02-16",81
"2014-02-23",80
"2014-03-02",79
"2014-03-09",81
"2014-03-16",77
"2014-03-23",76
"2014-03-30",75
"2014-04-06",74
"2014-04-13",74
"2014-04-20",76
"2014-04-27",74
"2014-05-04",73
"2014-05-11",75
"2014-05-18",74
"2014-05-25",76
"2014-06-01",73
"2014-06-08",72
"2014-06-15",71
"2014-06-22",73
"2014-06-29",75
"2014-07-06",75
"2014-07-13",74
"2014-07-20",72
"2014-07-27",74
"2014-08-03",74
"2014-08-10",75
"2014-08-17",77
"2014-08-24",73
"2014-08-31",73
"2014-09-07",70
"2014-09-14",71
"2014-09-21",72
"2014-09-28",72
"2014-10-05",69
"2014-10-12",71
"2014-10-19",70
"2014-10-26",73
"2014-11-02",69
"2014-11-09",68
"2014-11-16",68
"2014-11-23",71
"2014-11-30",66
"2014-12-07",64
"2014-12-14",68
"2014-12-21",74
"2014-12-28",70
"2015-01-04",66
"2015-01-11",65
"2015-01-18",66
"2015-01-25",64
"2015-02-01",64
"2015-02-08",64
"2015-02-15",68
"2015-02-22",65
"2015-03-01",63
"2015-03-08",62
"2015-03-15",63
"2015-03-22",65
"2015-03-29",66
"2015-04-05",64
"2015-04-12",63
"2015-04-19",65
"2015-04-26",65
"2015-05-03",65
"2015-05-10",65
"2015-05-17",66
"2015-05-24",70
"2015-05-31",69
"2015-06-07",68
"2015-06-14",69
"2015-06-21",72
"2015-06-28",73
"2015-07-05",71
"2015-07-12",70
"2015-07-19",69
"2015-07-26",70
"2015-08-02",71
"2015-08-09",69
"2015-08-16",71
"2015-08-23",66
"2015-08-30",62
"2015-09-06",60
"2015-09-13",62
"2015-09-20",65
"2015-09-27",67
"2015-10-04",64
"2015-10-11",65
"2015-10-18",65
"2015-10-25",64
"2015-11-01",64
"2015-11-08",63
"2015-11-15",64
"2015-11-22",67
"2015-11-29",61
"2015-12-06",62
"2015-12-13",64
"2015-12-20",73
"2015-12-27",78
"2016-01-03",86
"2016-01-10",87
"2016-01-17",89
"2016-01-24",88
"2016-01-31",87
"2016-02-07",84
"2016-02-14",87
"2016-02-21",84
"2016-02-28",83
"2016-03-06",84
"2016-03-13",85
"2016-03-20",89
"2016-03-27",88
"2016-04-03",80
"2016-04-10",84
"2016-04-17",85
"2016-04-24",84
"2016-05-01",82
"2016-05-08",85
"2016-05-15",86
"2016-05-22",86
"2016-05-29",90
"2016-06-05",87
"2016-06-12",87
"2016-06-19",85
"2016-06-26",83
"2016-07-03",84
"2016-07-10",83
"2016-07-17",86
"2016-07-24",84
"2016-07-31",82
"2016-08-07",82
"2016-08-14",82
"2016-08-21",79
"2016-08-28",77
"2016-09-04",73
"2016-09-11",72
"2016-09-18",72
"2016-09-25",74
"2016-10-02",73
"2016-10-09",74
"2016-10-16",75
"2016-10-23",72
"2016-10-30",72
"2016-11-06",73
"2016-11-13",71
"2016-11-20",74
"2016-11-27",68
"2016-12-04",67
"2016-12-11",69
"2016-12-18",74
"2016-12-25",78
"2017-01-01",73
"2017-01-08",71
"2017-01-15",71
"2017-01-22",73
"2017-01-29",70
"2017-02-05",70
"2017-02-12",71
"2017-02-19",71
"2017-02-26",67
"2017-03-05",69
"2017-03-12",69
"2017-03-19",70
"2017-03-26",70
"2017-04-02",70
"2017-04-09",70
"2017-04-16",76
"2017-04-23",69
"2017-04-30",69
"2017-05-07",70
"2017-05-14",72
"2017-05-21",74
"2017-05-28",76
"2017-06-04",73
"2017-06-11",75
"2017-06-18",76
"2017-06-25",74
"2017-07-02",77
"2017-07-09",74
"2017-07-16",74
"2017-07-23",75
"2017-07-30",75
"2017-08-06",73
"2017-08-13",76
"2017-08-20",73
"2017-08-27",68
"2017-09-03",67
"2017-09-10",67
"2017-09-17",68
"2017-09-24",67
"2017-10-01",66
"2017-10-08",67
"2017-10-15",63
"2017-10-22",64
"2017-10-29",62
"2017-11-05",61
"2017-11-12",58
"2017-11-19",59
"2017-11-26",55
"2017-12-03",55
"2017-12-10",55
"2017-12-17",60
"2017-12-24",63
"2017-12-31",59
"2018-01-07",58
"2018-01-14",58
"2018-01-21",55
"2018-01-28",57
"2018-02-04",55
"2018-02-11",56
"2018-02-18",56
"2018-02-25",54
"2018-03-04",55
"2018-03-11",53
"2018-03-18",55
"2018-03-25",58
"2018-04-01",56
"2018-04-08",53
"2018-04-15",52
"2018-04-22",52
"2018-04-29",51
"2018-05-06",51
"2018-05-13",51
"2018-05-20",51
"2018-05-27",53
"2018-06-03",54
"2018-06-10",55
"2018-06-17",55
"2018-06-24",55
"2018-07-01",56
"2018-07-08",55
"2018-07-15",52
"2018-07-22",54
"2018-07-29",54
"2018-08-05",55
"2018-08-12",53
"2018-08-19",54
"2018-08-26",50
"2018-09-02",52
"2018-09-09",50
"2018-09-16",50
"2018-09-23",49
"2018-09-30",50
"2018-10-07",48
"2018-10-14",47
"2018-10-21",48
"2018-10-28",48
"2018-11-04",48
"2018-11-11",47
"2018-11-18",48
