"date","oklahoma"
"2013-12-01",73
"2013-12-08",74
"2013-12-15",77
"2013-12-22",83
"2013-12-29",81
"2014-01-05",76
"2014-01-12",75
"2014-01-19",74
"2014-01-26",72
"2014-02-02",77
"2014-02-09",70
"2014-02-16",72
"2014-02-23",71
"2014-03-02",71
"2014-03-09",76
"2014-03-16",77
"2014-03-23",71
"2014-03-30",73
"2014-04-06",72
"2014-04-13",71
"2014-04-20",74
"2014-04-27",75
"2014-05-04",72
"2014-05-11",75
"2014-05-18",73
"2014-05-25",76
"2014-06-01",75
"2014-06-08",74
"2014-06-15",77
"2014-06-22",74
"2014-06-29",78
"2014-07-06",78
"2014-07-13",76
"2014-07-20",73
"2014-07-27",74
"2014-08-03",80
"2014-08-10",78
"2014-08-17",76
"2014-08-24",74
"2014-08-31",66
"2014-09-07",67
"2014-09-14",63
"2014-09-21",61
"2014-09-28",58
"2014-10-05",58
"2014-10-12",61
"2014-10-19",58
"2014-10-26",59
"2014-11-02",60
"2014-11-09",61
"2014-11-16",61
"2014-11-23",61
"2014-11-30",60
"2014-12-07",59
"2014-12-14",62
"2014-12-21",63
"2014-12-28",59
"2015-01-04",58
"2015-01-11",58
"2015-01-18",56
"2015-01-25",56
"2015-02-01",55
"2015-02-08",55
"2015-02-15",53
"2015-02-22",56
"2015-03-01",56
"2015-03-08",56
"2015-03-15",56
"2015-03-22",56
"2015-03-29",56
"2015-04-05",58
"2015-04-12",56
"2015-04-19",57
"2015-04-26",57
"2015-05-03",57
"2015-05-10",57
"2015-05-17",58
"2015-05-24",60
"2015-05-31",59
"2015-06-07",60
"2015-06-14",59
"2015-06-21",66
"2015-06-28",78
"2015-07-05",73
"2015-07-12",74
"2015-07-19",75
"2015-07-26",74
"2015-08-02",74
"2015-08-09",74
"2015-08-16",72
"2015-08-23",69
"2015-08-30",65
"2015-09-06",65
"2015-09-13",65
"2015-09-20",67
"2015-09-27",76
"2015-10-04",69
"2015-10-11",73
"2015-10-18",69
"2015-10-25",66
"2015-11-01",68
"2015-11-08",68
"2015-11-15",67
"2015-11-22",68
"2015-11-29",65
"2015-12-06",66
"2015-12-13",69
"2015-12-20",74
"2015-12-27",81
"2016-01-03",97
"2016-01-10",95
"2016-01-17",94
"2016-01-24",94
"2016-01-31",92
"2016-02-07",91
"2016-02-14",94
"2016-02-21",90
"2016-02-28",89
"2016-03-06",91
"2016-03-13",97
"2016-03-20",92
"2016-03-27",96
"2016-04-03",94
"2016-04-10",96
"2016-04-17",91
"2016-04-24",91
"2016-05-01",93
"2016-05-08",97
"2016-05-15",96
"2016-05-22",99
"2016-05-29",100
"2016-06-05",97
"2016-06-12",93
"2016-06-19",93
"2016-06-26",95
"2016-07-03",95
"2016-07-10",90
"2016-07-17",89
"2016-07-24",90
"2016-07-31",89
"2016-08-07",89
"2016-08-14",87
"2016-08-21",83
"2016-08-28",82
"2016-09-04",79
"2016-09-11",79
"2016-09-18",82
"2016-09-25",81
"2016-10-02",81
"2016-10-09",81
"2016-10-16",85
"2016-10-23",81
"2016-10-30",78
"2016-11-06",78
"2016-11-13",77
"2016-11-20",79
"2016-11-27",73
"2016-12-04",76
"2016-12-11",77
"2016-12-18",80
"2016-12-25",80
"2017-01-01",80
"2017-01-08",77
"2017-01-15",77
"2017-01-22",76
"2017-01-29",75
"2017-02-05",76
"2017-02-12",77
"2017-02-19",74
"2017-02-26",70
"2017-03-05",76
"2017-03-12",77
"2017-03-19",73
"2017-03-26",77
"2017-04-02",73
"2017-04-09",75
"2017-04-16",80
"2017-04-23",76
"2017-04-30",76
"2017-05-07",76
"2017-05-14",82
"2017-05-21",78
"2017-05-28",81
"2017-06-04",78
"2017-06-11",80
"2017-06-18",77
"2017-06-25",79
"2017-07-02",81
"2017-07-09",76
"2017-07-16",77
"2017-07-23",77
"2017-07-30",78
"2017-08-06",77
"2017-08-13",76
"2017-08-20",77
"2017-08-27",72
"2017-09-03",72
"2017-09-10",70
"2017-09-17",69
"2017-09-24",71
"2017-10-01",70
"2017-10-08",68
"2017-10-15",69
"2017-10-22",66
"2017-10-29",65
"2017-11-05",64
"2017-11-12",63
"2017-11-19",63
"2017-11-26",59
"2017-12-03",62
"2017-12-10",61
"2017-12-17",64
"2017-12-24",67
"2017-12-31",63
"2018-01-07",58
"2018-01-14",60
"2018-01-21",59
"2018-01-28",57
"2018-02-04",58
"2018-02-11",59
"2018-02-18",59
"2018-02-25",55
"2018-03-04",56
"2018-03-11",57
"2018-03-18",63
"2018-03-25",59
"2018-04-01",61
"2018-04-08",61
"2018-04-15",55
"2018-04-22",54
"2018-04-29",57
"2018-05-06",54
"2018-05-13",55
"2018-05-20",58
"2018-05-27",57
"2018-06-03",57
"2018-06-10",57
"2018-06-17",59
"2018-06-24",55
"2018-07-01",58
"2018-07-08",58
"2018-07-15",55
"2018-07-22",56
"2018-07-29",55
"2018-08-05",56
"2018-08-12",55
"2018-08-19",55
"2018-08-26",55
"2018-09-02",53
"2018-09-09",53
"2018-09-16",53
"2018-09-23",50
"2018-09-30",50
"2018-10-07",51
"2018-10-14",51
"2018-10-21",51
"2018-10-28",50
"2018-11-04",50
"2018-11-11",51
"2018-11-18",49
