"date","pennsylvania"
"2013-12-01",87
"2013-12-08",87
"2013-12-15",88
"2013-12-22",100
"2013-12-29",96
"2014-01-05",89
"2014-01-12",88
"2014-01-19",89
"2014-01-26",88
"2014-02-02",89
"2014-02-09",86
"2014-02-16",87
"2014-02-23",88
"2014-03-02",86
"2014-03-09",89
"2014-03-16",88
"2014-03-23",84
"2014-03-30",85
"2014-04-06",84
"2014-04-13",84
"2014-04-20",87
"2014-04-27",86
"2014-05-04",83
"2014-05-11",86
"2014-05-18",84
"2014-05-25",87
"2014-06-01",83
"2014-06-08",81
"2014-06-15",88
"2014-06-22",83
"2014-06-29",86
"2014-07-06",86
"2014-07-13",86
"2014-07-20",85
"2014-07-27",85
"2014-08-03",85
"2014-08-10",87
"2014-08-17",92
"2014-08-24",90
"2014-08-31",87
"2014-09-07",86
"2014-09-14",82
"2014-09-21",86
"2014-09-28",82
"2014-10-05",80
"2014-10-12",82
"2014-10-19",81
"2014-10-26",80
"2014-11-02",74
"2014-11-09",76
"2014-11-16",77
"2014-11-23",79
"2014-11-30",75
"2014-12-07",75
"2014-12-14",77
"2014-12-21",83
"2014-12-28",79
"2015-01-04",75
"2015-01-11",73
"2015-01-18",74
"2015-01-25",73
"2015-02-01",71
"2015-02-08",71
"2015-02-15",73
"2015-02-22",73
"2015-03-01",73
"2015-03-08",71
"2015-03-15",71
"2015-03-22",73
"2015-03-29",72
"2015-04-05",72
"2015-04-12",73
"2015-04-19",72
"2015-04-26",73
"2015-05-03",73
"2015-05-10",74
"2015-05-17",75
"2015-05-24",73
"2015-05-31",74
"2015-06-07",75
"2015-06-14",77
"2015-06-21",79
"2015-06-28",80
"2015-07-05",79
"2015-07-12",78
"2015-07-19",80
"2015-07-26",81
"2015-08-02",78
"2015-08-09",80
"2015-08-16",81
"2015-08-23",80
"2015-08-30",73
"2015-09-06",73
"2015-09-13",73
"2015-09-20",77
"2015-09-27",79
"2015-10-04",74
"2015-10-11",76
"2015-10-18",75
"2015-10-25",74
"2015-11-01",74
"2015-11-08",74
"2015-11-15",74
"2015-11-22",75
"2015-11-29",69
"2015-12-06",72
"2015-12-13",73
"2015-12-20",80
"2015-12-27",86
"2016-01-03",91
"2016-01-10",90
"2016-01-17",92
"2016-01-24",93
"2016-01-31",90
"2016-02-07",87
"2016-02-14",91
"2016-02-21",89
"2016-02-28",87
"2016-03-06",88
"2016-03-13",89
"2016-03-20",93
"2016-03-27",93
"2016-04-03",91
"2016-04-10",94
"2016-04-17",91
"2016-04-24",90
"2016-05-01",88
"2016-05-08",93
"2016-05-15",90
"2016-05-22",92
"2016-05-29",92
"2016-06-05",92
"2016-06-12",93
"2016-06-19",92
"2016-06-26",92
"2016-07-03",94
"2016-07-10",92
"2016-07-17",91
"2016-07-24",89
"2016-07-31",89
"2016-08-07",89
"2016-08-14",88
"2016-08-21",87
"2016-08-28",85
"2016-09-04",77
"2016-09-11",77
"2016-09-18",79
"2016-09-25",78
"2016-10-02",80
"2016-10-09",81
"2016-10-16",80
"2016-10-23",78
"2016-10-30",78
"2016-11-06",77
"2016-11-13",75
"2016-11-20",77
"2016-11-27",75
"2016-12-04",74
"2016-12-11",72
"2016-12-18",77
"2016-12-25",79
"2017-01-01",76
"2017-01-08",76
"2017-01-15",77
"2017-01-22",77
"2017-01-29",75
"2017-02-05",74
"2017-02-12",78
"2017-02-19",73
"2017-02-26",71
"2017-03-05",74
"2017-03-12",74
"2017-03-19",73
"2017-03-26",73
"2017-04-02",73
"2017-04-09",72
"2017-04-16",80
"2017-04-23",71
"2017-04-30",73
"2017-05-07",74
"2017-05-14",75
"2017-05-21",77
"2017-05-28",79
"2017-06-04",76
"2017-06-11",79
"2017-06-18",80
"2017-06-25",78
"2017-07-02",80
"2017-07-09",78
"2017-07-16",77
"2017-07-23",82
"2017-07-30",81
"2017-08-06",79
"2017-08-13",79
"2017-08-20",78
"2017-08-27",74
"2017-09-03",73
"2017-09-10",72
"2017-09-17",72
"2017-09-24",72
"2017-10-01",71
"2017-10-08",70
"2017-10-15",71
"2017-10-22",67
"2017-10-29",67
"2017-11-05",67
"2017-11-12",65
"2017-11-19",65
"2017-11-26",62
"2017-12-03",62
"2017-12-10",61
"2017-12-17",62
"2017-12-24",69
"2017-12-31",65
"2018-01-07",63
"2018-01-14",63
"2018-01-21",61
"2018-01-28",59
"2018-02-04",62
"2018-02-11",63
"2018-02-18",61
"2018-02-25",60
"2018-03-04",62
"2018-03-11",59
"2018-03-18",62
"2018-03-25",60
"2018-04-01",60
"2018-04-08",61
"2018-04-15",56
"2018-04-22",58
"2018-04-29",55
"2018-05-06",56
"2018-05-13",56
"2018-05-20",57
"2018-05-27",59
"2018-06-03",57
"2018-06-10",58
"2018-06-17",62
"2018-06-24",60
"2018-07-01",61
"2018-07-08",60
"2018-07-15",57
"2018-07-22",60
"2018-07-29",60
"2018-08-05",57
"2018-08-12",60
"2018-08-19",58
"2018-08-26",55
"2018-09-02",56
"2018-09-09",55
"2018-09-16",55
"2018-09-23",53
"2018-09-30",54
"2018-10-07",54
"2018-10-14",52
"2018-10-21",51
"2018-10-28",54
"2018-11-04",51
"2018-11-11",53
"2018-11-18",54
