"date","rhode island"
"2013-12-01",83
"2013-12-08",84
"2013-12-15",91
"2013-12-22",100
"2013-12-29",95
"2014-01-05",91
"2014-01-12",87
"2014-01-19",92
"2014-01-26",87
"2014-02-02",86
"2014-02-09",83
"2014-02-16",85
"2014-02-23",83
"2014-03-02",88
"2014-03-09",85
"2014-03-16",82
"2014-03-23",85
"2014-03-30",84
"2014-04-06",81
"2014-04-13",82
"2014-04-20",82
"2014-04-27",84
"2014-05-04",80
"2014-05-11",86
"2014-05-18",82
"2014-05-25",86
"2014-06-01",85
"2014-06-08",85
"2014-06-15",85
"2014-06-22",83
"2014-06-29",81
"2014-07-06",82
"2014-07-13",86
"2014-07-20",84
"2014-07-27",82
"2014-08-03",82
"2014-08-10",87
"2014-08-17",87
"2014-08-24",85
"2014-08-31",80
"2014-09-07",81
"2014-09-14",79
"2014-09-21",80
"2014-09-28",79
"2014-10-05",76
"2014-10-12",79
"2014-10-19",78
"2014-10-26",77
"2014-11-02",73
"2014-11-09",72
"2014-11-16",74
"2014-11-23",76
"2014-11-30",71
"2014-12-07",71
"2014-12-14",73
"2014-12-21",81
"2014-12-28",81
"2015-01-04",71
"2015-01-11",67
"2015-01-18",69
"2015-01-25",73
"2015-02-01",68
"2015-02-08",71
"2015-02-15",66
"2015-02-22",67
"2015-03-01",70
"2015-03-08",69
"2015-03-15",75
"2015-03-22",73
"2015-03-29",68
"2015-04-05",71
"2015-04-12",72
"2015-04-19",72
"2015-04-26",73
"2015-05-03",72
"2015-05-10",72
"2015-05-17",74
"2015-05-24",76
"2015-05-31",74
"2015-06-07",72
"2015-06-14",74
"2015-06-21",70
"2015-06-28",76
"2015-07-05",75
"2015-07-12",73
"2015-07-19",73
"2015-07-26",76
"2015-08-02",74
"2015-08-09",74
"2015-08-16",76
"2015-08-23",77
"2015-08-30",71
"2015-09-06",65
"2015-09-13",67
"2015-09-20",69
"2015-09-27",71
"2015-10-04",65
"2015-10-11",69
"2015-10-18",65
"2015-10-25",69
"2015-11-01",69
"2015-11-08",66
"2015-11-15",67
"2015-11-22",65
"2015-11-29",65
"2015-12-06",65
"2015-12-13",64
"2015-12-20",74
"2015-12-27",78
"2016-01-03",83
"2016-01-10",74
"2016-01-17",80
"2016-01-24",78
"2016-01-31",77
"2016-02-07",71
"2016-02-14",80
"2016-02-21",77
"2016-02-28",77
"2016-03-06",76
"2016-03-13",75
"2016-03-20",79
"2016-03-27",82
"2016-04-03",75
"2016-04-10",76
"2016-04-17",75
"2016-04-24",73
"2016-05-01",73
"2016-05-08",76
"2016-05-15",78
"2016-05-22",82
"2016-05-29",78
"2016-06-05",75
"2016-06-12",78
"2016-06-19",81
"2016-06-26",81
"2016-07-03",82
"2016-07-10",78
"2016-07-17",81
"2016-07-24",77
"2016-07-31",76
"2016-08-07",77
"2016-08-14",75
"2016-08-21",77
"2016-08-28",74
"2016-09-04",67
"2016-09-11",67
"2016-09-18",66
"2016-09-25",67
"2016-10-02",64
"2016-10-09",70
"2016-10-16",67
"2016-10-23",66
"2016-10-30",68
"2016-11-06",67
"2016-11-13",65
"2016-11-20",67
"2016-11-27",64
"2016-12-04",58
"2016-12-11",60
"2016-12-18",67
"2016-12-25",68
"2017-01-01",64
"2017-01-08",64
"2017-01-15",62
"2017-01-22",62
"2017-01-29",63
"2017-02-05",63
"2017-02-12",61
"2017-02-19",61
"2017-02-26",60
"2017-03-05",59
"2017-03-12",64
"2017-03-19",60
"2017-03-26",60
"2017-04-02",60
"2017-04-09",59
"2017-04-16",65
"2017-04-23",61
"2017-04-30",61
"2017-05-07",61
"2017-05-14",66
"2017-05-21",65
"2017-05-28",65
"2017-06-04",64
"2017-06-11",63
"2017-06-18",65
"2017-06-25",66
"2017-07-02",62
"2017-07-09",64
"2017-07-16",64
"2017-07-23",62
"2017-07-30",66
"2017-08-06",64
"2017-08-13",67
"2017-08-20",65
"2017-08-27",63
"2017-09-03",59
"2017-09-10",59
"2017-09-17",58
"2017-09-24",57
"2017-10-01",56
"2017-10-08",55
"2017-10-15",54
"2017-10-22",52
"2017-10-29",53
"2017-11-05",52
"2017-11-12",55
"2017-11-19",55
"2017-11-26",50
"2017-12-03",50
"2017-12-10",48
"2017-12-17",54
"2017-12-24",61
"2017-12-31",56
"2018-01-07",52
"2018-01-14",52
"2018-01-21",53
"2018-01-28",48
"2018-02-04",49
"2018-02-11",52
"2018-02-18",49
"2018-02-25",47
"2018-03-04",48
"2018-03-11",51
"2018-03-18",52
"2018-03-25",49
"2018-04-01",50
"2018-04-08",51
"2018-04-15",47
"2018-04-22",46
"2018-04-29",44
"2018-05-06",47
"2018-05-13",48
"2018-05-20",48
"2018-05-27",47
"2018-06-03",47
"2018-06-10",49
"2018-06-17",53
"2018-06-24",50
"2018-07-01",52
"2018-07-08",51
"2018-07-15",48
"2018-07-22",51
"2018-07-29",50
"2018-08-05",53
"2018-08-12",53
"2018-08-19",50
"2018-08-26",51
"2018-09-02",50
"2018-09-09",47
"2018-09-16",45
"2018-09-23",45
"2018-09-30",44
"2018-10-07",47
"2018-10-14",42
"2018-10-21",44
"2018-10-28",42
"2018-11-04",44
"2018-11-11",45
"2018-11-18",47
