"date","south carolina"
"2013-12-01",69
"2013-12-08",68
"2013-12-15",74
"2013-12-22",87
"2013-12-29",77
"2014-01-05",72
"2014-01-12",70
"2014-01-19",72
"2014-01-26",72
"2014-02-02",70
"2014-02-09",69
"2014-02-16",69
"2014-02-23",67
"2014-03-02",69
"2014-03-09",69
"2014-03-16",70
"2014-03-23",67
"2014-03-30",67
"2014-04-06",68
"2014-04-13",69
"2014-04-20",72
"2014-04-27",70
"2014-05-04",68
"2014-05-11",67
"2014-05-18",68
"2014-05-25",69
"2014-06-01",69
"2014-06-08",68
"2014-06-15",72
"2014-06-22",74
"2014-06-29",75
"2014-07-06",73
"2014-07-13",73
"2014-07-20",70
"2014-07-27",71
"2014-08-03",73
"2014-08-10",71
"2014-08-17",72
"2014-08-24",70
"2014-08-31",71
"2014-09-07",70
"2014-09-14",68
"2014-09-21",72
"2014-09-28",70
"2014-10-05",68
"2014-10-12",69
"2014-10-19",68
"2014-10-26",68
"2014-11-02",69
"2014-11-09",66
"2014-11-16",66
"2014-11-23",69
"2014-11-30",67
"2014-12-07",65
"2014-12-14",66
"2014-12-21",75
"2014-12-28",71
"2015-01-04",64
"2015-01-11",64
"2015-01-18",65
"2015-01-25",61
"2015-02-01",61
"2015-02-08",62
"2015-02-15",65
"2015-02-22",63
"2015-03-01",62
"2015-03-08",62
"2015-03-15",64
"2015-03-22",62
"2015-03-29",66
"2015-04-05",66
"2015-04-12",66
"2015-04-19",64
"2015-04-26",66
"2015-05-03",65
"2015-05-10",67
"2015-05-17",68
"2015-05-24",68
"2015-05-31",68
"2015-06-07",71
"2015-06-14",69
"2015-06-21",86
"2015-06-28",97
"2015-07-05",97
"2015-07-12",95
"2015-07-19",94
"2015-07-26",96
"2015-08-02",96
"2015-08-09",100
"2015-08-16",96
"2015-08-23",92
"2015-08-30",91
"2015-09-06",87
"2015-09-13",87
"2015-09-20",86
"2015-09-27",87
"2015-10-04",85
"2015-10-11",71
"2015-10-18",59
"2015-10-25",64
"2015-11-01",66
"2015-11-08",67
"2015-11-15",64
"2015-11-22",64
"2015-11-29",58
"2015-12-06",59
"2015-12-13",60
"2015-12-20",69
"2015-12-27",73
"2016-01-03",80
"2016-01-10",80
"2016-01-17",79
"2016-01-24",81
"2016-01-31",81
"2016-02-07",77
"2016-02-14",78
"2016-02-21",79
"2016-02-28",76
"2016-03-06",77
"2016-03-13",78
"2016-03-20",78
"2016-03-27",84
"2016-04-03",78
"2016-04-10",78
"2016-04-17",77
"2016-04-24",77
"2016-05-01",77
"2016-05-08",81
"2016-05-15",79
"2016-05-22",81
"2016-05-29",85
"2016-06-05",83
"2016-06-12",81
"2016-06-19",82
"2016-06-26",81
"2016-07-03",81
"2016-07-10",78
"2016-07-17",78
"2016-07-24",77
"2016-07-31",76
"2016-08-07",73
"2016-08-14",74
"2016-08-21",70
"2016-08-28",68
"2016-09-04",68
"2016-09-11",65
"2016-09-18",64
"2016-09-25",66
"2016-10-02",69
"2016-10-09",71
"2016-10-16",69
"2016-10-23",66
"2016-10-30",67
"2016-11-06",66
"2016-11-13",63
"2016-11-20",66
"2016-11-27",63
"2016-12-04",61
"2016-12-11",64
"2016-12-18",71
"2016-12-25",69
"2017-01-01",64
"2017-01-08",65
"2017-01-15",64
"2017-01-22",63
"2017-01-29",62
"2017-02-05",64
"2017-02-12",65
"2017-02-19",62
"2017-02-26",59
"2017-03-05",60
"2017-03-12",59
"2017-03-19",62
"2017-03-26",62
"2017-04-02",60
"2017-04-09",64
"2017-04-16",67
"2017-04-23",62
"2017-04-30",64
"2017-05-07",65
"2017-05-14",66
"2017-05-21",66
"2017-05-28",71
"2017-06-04",64
"2017-06-11",66
"2017-06-18",66
"2017-06-25",67
"2017-07-02",66
"2017-07-09",64
"2017-07-16",66
"2017-07-23",65
"2017-07-30",63
"2017-08-06",63
"2017-08-13",63
"2017-08-20",63
"2017-08-27",59
"2017-09-03",57
"2017-09-10",61
"2017-09-17",57
"2017-09-24",57
"2017-10-01",56
"2017-10-08",56
"2017-10-15",54
"2017-10-22",54
"2017-10-29",53
"2017-11-05",51
"2017-11-12",51
"2017-11-19",53
"2017-11-26",49
"2017-12-03",50
"2017-12-10",49
"2017-12-17",54
"2017-12-24",57
"2017-12-31",53
"2018-01-07",50
"2018-01-14",49
"2018-01-21",49
"2018-01-28",48
"2018-02-04",47
"2018-02-11",49
"2018-02-18",47
"2018-02-25",45
"2018-03-04",45
"2018-03-11",45
"2018-03-18",47
"2018-03-25",46
"2018-04-01",48
"2018-04-08",47
"2018-04-15",44
"2018-04-22",43
"2018-04-29",43
"2018-05-06",45
"2018-05-13",45
"2018-05-20",45
"2018-05-27",45
"2018-06-03",45
"2018-06-10",46
"2018-06-17",47
"2018-06-24",46
"2018-07-01",46
"2018-07-08",46
"2018-07-15",44
"2018-07-22",46
"2018-07-29",44
"2018-08-05",44
"2018-08-12",45
"2018-08-19",45
"2018-08-26",43
"2018-09-02",42
"2018-09-09",44
"2018-09-16",44
"2018-09-23",41
"2018-09-30",41
"2018-10-07",41
"2018-10-14",41
"2018-10-21",40
"2018-10-28",41
"2018-11-04",39
"2018-11-11",40
"2018-11-18",41
