"date","tennessee"
"2013-12-01",79
"2013-12-08",83
"2013-12-15",86
"2013-12-22",91
"2013-12-29",88
"2014-01-05",84
"2014-01-12",84
"2014-01-19",80
"2014-01-26",78
"2014-02-02",78
"2014-02-09",77
"2014-02-16",78
"2014-02-23",77
"2014-03-02",94
"2014-03-09",89
"2014-03-16",77
"2014-03-23",76
"2014-03-30",75
"2014-04-06",75
"2014-04-13",76
"2014-04-20",76
"2014-04-27",75
"2014-05-04",72
"2014-05-11",74
"2014-05-18",74
"2014-05-25",76
"2014-06-01",75
"2014-06-08",72
"2014-06-15",74
"2014-06-22",73
"2014-06-29",76
"2014-07-06",75
"2014-07-13",75
"2014-07-20",76
"2014-07-27",73
"2014-08-03",75
"2014-08-10",76
"2014-08-17",76
"2014-08-24",76
"2014-08-31",76
"2014-09-07",76
"2014-09-14",75
"2014-09-21",75
"2014-09-28",75
"2014-10-05",72
"2014-10-12",75
"2014-10-19",72
"2014-10-26",73
"2014-11-02",69
"2014-11-09",67
"2014-11-16",69
"2014-11-23",70
"2014-11-30",66
"2014-12-07",67
"2014-12-14",67
"2014-12-21",77
"2014-12-28",72
"2015-01-04",68
"2015-01-11",65
"2015-01-18",66
"2015-01-25",64
"2015-02-01",62
"2015-02-08",63
"2015-02-15",66
"2015-02-22",63
"2015-03-01",64
"2015-03-08",64
"2015-03-15",64
"2015-03-22",67
"2015-03-29",67
"2015-04-05",68
"2015-04-12",68
"2015-04-19",69
"2015-04-26",68
"2015-05-03",69
"2015-05-10",69
"2015-05-17",71
"2015-05-24",73
"2015-05-31",70
"2015-06-07",71
"2015-06-14",70
"2015-06-21",75
"2015-06-28",78
"2015-07-05",76
"2015-07-12",77
"2015-07-19",76
"2015-07-26",75
"2015-08-02",75
"2015-08-09",75
"2015-08-16",74
"2015-08-23",72
"2015-08-30",68
"2015-09-06",66
"2015-09-13",69
"2015-09-20",72
"2015-09-27",78
"2015-10-04",84
"2015-10-11",86
"2015-10-18",80
"2015-10-25",72
"2015-11-01",75
"2015-11-08",75
"2015-11-15",75
"2015-11-22",77
"2015-11-29",74
"2015-12-06",75
"2015-12-13",76
"2015-12-20",85
"2015-12-27",90
"2016-01-03",97
"2016-01-10",95
"2016-01-17",99
"2016-01-24",100
"2016-01-31",93
"2016-02-07",94
"2016-02-14",94
"2016-02-21",93
"2016-02-28",93
"2016-03-06",93
"2016-03-13",95
"2016-03-20",99
"2016-03-27",93
"2016-04-03",93
"2016-04-10",94
"2016-04-17",91
"2016-04-24",90
"2016-05-01",92
"2016-05-08",95
"2016-05-15",97
"2016-05-22",98
"2016-05-29",95
"2016-06-05",94
"2016-06-12",94
"2016-06-19",91
"2016-06-26",88
"2016-07-03",91
"2016-07-10",90
"2016-07-17",88
"2016-07-24",85
"2016-07-31",85
"2016-08-07",84
"2016-08-14",83
"2016-08-21",82
"2016-08-28",81
"2016-09-04",76
"2016-09-11",76
"2016-09-18",78
"2016-09-25",78
"2016-10-02",78
"2016-10-09",82
"2016-10-16",80
"2016-10-23",78
"2016-10-30",79
"2016-11-06",76
"2016-11-13",75
"2016-11-20",76
"2016-11-27",73
"2016-12-04",75
"2016-12-11",76
"2016-12-18",79
"2016-12-25",80
"2017-01-01",79
"2017-01-08",76
"2017-01-15",77
"2017-01-22",77
"2017-01-29",73
"2017-02-05",74
"2017-02-12",77
"2017-02-19",73
"2017-02-26",71
"2017-03-05",72
"2017-03-12",75
"2017-03-19",73
"2017-03-26",72
"2017-04-02",71
"2017-04-09",74
"2017-04-16",77
"2017-04-23",73
"2017-04-30",72
"2017-05-07",74
"2017-05-14",77
"2017-05-21",77
"2017-05-28",79
"2017-06-04",77
"2017-06-11",76
"2017-06-18",77
"2017-06-25",75
"2017-07-02",78
"2017-07-09",76
"2017-07-16",75
"2017-07-23",76
"2017-07-30",76
"2017-08-06",74
"2017-08-13",75
"2017-08-20",75
"2017-08-27",73
"2017-09-03",69
"2017-09-10",68
"2017-09-17",70
"2017-09-24",69
"2017-10-01",69
"2017-10-08",70
"2017-10-15",67
"2017-10-22",68
"2017-10-29",66
"2017-11-05",63
"2017-11-12",61
"2017-11-19",61
"2017-11-26",58
"2017-12-03",58
"2017-12-10",59
"2017-12-17",63
"2017-12-24",64
"2017-12-31",62
"2018-01-07",61
"2018-01-14",62
"2018-01-21",58
"2018-01-28",57
"2018-02-04",57
"2018-02-11",58
"2018-02-18",56
"2018-02-25",55
"2018-03-04",53
"2018-03-11",56
"2018-03-18",56
"2018-03-25",55
"2018-04-01",56
"2018-04-08",57
"2018-04-15",56
"2018-04-22",55
"2018-04-29",54
"2018-05-06",54
"2018-05-13",56
"2018-05-20",55
"2018-05-27",55
"2018-06-03",55
"2018-06-10",56
"2018-06-17",56
"2018-06-24",56
"2018-07-01",57
"2018-07-08",56
"2018-07-15",53
"2018-07-22",54
"2018-07-29",54
"2018-08-05",53
"2018-08-12",52
"2018-08-19",54
"2018-08-26",53
"2018-09-02",52
"2018-09-09",51
"2018-09-16",51
"2018-09-23",50
"2018-09-30",50
"2018-10-07",52
"2018-10-14",49
"2018-10-21",48
"2018-10-28",50
"2018-11-04",49
"2018-11-11",50
"2018-11-18",50
