"date","texas"
"2013-12-01",100
"2013-12-08",96
"2013-12-15",89
"2013-12-22",99
"2013-12-29",95
"2014-01-05",88
"2014-01-12",88
"2014-01-19",89
"2014-01-26",83
"2014-02-02",86
"2014-02-09",88
"2014-02-16",86
"2014-02-23",85
"2014-03-02",83
"2014-03-09",85
"2014-03-16",78
"2014-03-23",77
"2014-03-30",78
"2014-04-06",75
"2014-04-13",78
"2014-04-20",78
"2014-04-27",78
"2014-05-04",74
"2014-05-11",77
"2014-05-18",80
"2014-05-25",78
"2014-06-01",80
"2014-06-08",79
"2014-06-15",82
"2014-06-22",84
"2014-06-29",87
"2014-07-06",83
"2014-07-13",78
"2014-07-20",77
"2014-07-27",78
"2014-08-03",76
"2014-08-10",78
"2014-08-17",81
"2014-08-24",79
"2014-08-31",79
"2014-09-07",77
"2014-09-14",77
"2014-09-21",78
"2014-09-28",73
"2014-10-05",75
"2014-10-12",76
"2014-10-19",76
"2014-10-26",79
"2014-11-02",74
"2014-11-09",73
"2014-11-16",73
"2014-11-23",78
"2014-11-30",72
"2014-12-07",72
"2014-12-14",72
"2014-12-21",83
"2014-12-28",80
"2015-01-04",73
"2015-01-11",71
"2015-01-18",70
"2015-01-25",71
"2015-02-01",67
"2015-02-08",68
"2015-02-15",70
"2015-02-22",69
"2015-03-01",69
"2015-03-08",72
"2015-03-15",73
"2015-03-22",71
"2015-03-29",72
"2015-04-05",71
"2015-04-12",71
"2015-04-19",72
"2015-04-26",72
"2015-05-03",71
"2015-05-10",72
"2015-05-17",73
"2015-05-24",75
"2015-05-31",76
"2015-06-07",78
"2015-06-14",76
"2015-06-21",77
"2015-06-28",80
"2015-07-05",78
"2015-07-12",77
"2015-07-19",78
"2015-07-26",75
"2015-08-02",78
"2015-08-09",78
"2015-08-16",78
"2015-08-23",77
"2015-08-30",72
"2015-09-06",72
"2015-09-13",72
"2015-09-20",73
"2015-09-27",76
"2015-10-04",72
"2015-10-11",72
"2015-10-18",72
"2015-10-25",71
"2015-11-01",72
"2015-11-08",72
"2015-11-15",76
"2015-11-22",80
"2015-11-29",70
"2015-12-06",69
"2015-12-13",70
"2015-12-20",79
"2015-12-27",83
"2016-01-03",88
"2016-01-10",84
"2016-01-17",86
"2016-01-24",85
"2016-01-31",83
"2016-02-07",83
"2016-02-14",85
"2016-02-21",84
"2016-02-28",82
"2016-03-06",83
"2016-03-13",87
"2016-03-20",83
"2016-03-27",86
"2016-04-03",85
"2016-04-10",83
"2016-04-17",82
"2016-04-24",81
"2016-05-01",80
"2016-05-08",85
"2016-05-15",83
"2016-05-22",85
"2016-05-29",86
"2016-06-05",84
"2016-06-12",82
"2016-06-19",80
"2016-06-26",79
"2016-07-03",81
"2016-07-10",78
"2016-07-17",78
"2016-07-24",80
"2016-07-31",77
"2016-08-07",78
"2016-08-14",76
"2016-08-21",77
"2016-08-28",73
"2016-09-04",63
"2016-09-11",66
"2016-09-18",69
"2016-09-25",67
"2016-10-02",67
"2016-10-09",69
"2016-10-16",68
"2016-10-23",68
"2016-10-30",69
"2016-11-06",66
"2016-11-13",65
"2016-11-20",66
"2016-11-27",62
"2016-12-04",63
"2016-12-11",64
"2016-12-18",66
"2016-12-25",68
"2017-01-01",67
"2017-01-08",61
"2017-01-15",61
"2017-01-22",62
"2017-01-29",61
"2017-02-05",60
"2017-02-12",60
"2017-02-19",59
"2017-02-26",58
"2017-03-05",60
"2017-03-12",62
"2017-03-19",60
"2017-03-26",60
"2017-04-02",59
"2017-04-09",61
"2017-04-16",65
"2017-04-23",60
"2017-04-30",60
"2017-05-07",62
"2017-05-14",63
"2017-05-21",62
"2017-05-28",64
"2017-06-04",61
"2017-06-11",60
"2017-06-18",61
"2017-06-25",62
"2017-07-02",62
"2017-07-09",61
"2017-07-16",59
"2017-07-23",60
"2017-07-30",59
"2017-08-06",57
"2017-08-13",57
"2017-08-20",61
"2017-08-27",63
"2017-09-03",54
"2017-09-10",52
"2017-09-17",53
"2017-09-24",54
"2017-10-01",49
"2017-10-08",50
"2017-10-15",53
"2017-10-22",50
"2017-10-29",50
"2017-11-05",49
"2017-11-12",50
"2017-11-19",51
"2017-11-26",47
"2017-12-03",48
"2017-12-10",49
"2017-12-17",49
"2017-12-24",52
"2017-12-31",50
"2018-01-07",47
"2018-01-14",47
"2018-01-21",45
"2018-01-28",46
"2018-02-04",46
"2018-02-11",47
"2018-02-18",46
"2018-02-25",44
"2018-03-04",44
"2018-03-11",46
"2018-03-18",47
"2018-03-25",46
"2018-04-01",45
"2018-04-08",45
"2018-04-15",43
"2018-04-22",42
"2018-04-29",43
"2018-05-06",43
"2018-05-13",43
"2018-05-20",42
"2018-05-27",43
"2018-06-03",44
"2018-06-10",44
"2018-06-17",45
"2018-06-24",44
"2018-07-01",45
"2018-07-08",46
"2018-07-15",42
"2018-07-22",45
"2018-07-29",45
"2018-08-05",44
"2018-08-12",43
"2018-08-19",44
"2018-08-26",42
"2018-09-02",41
"2018-09-09",41
"2018-09-16",39
"2018-09-23",39
"2018-09-30",40
"2018-10-07",40
"2018-10-14",38
"2018-10-21",39
"2018-10-28",39
"2018-11-04",38
"2018-11-11",40
"2018-11-18",40
