"date","vermont"
"2013-12-01",89
"2013-12-08",89
"2013-12-15",95
"2013-12-22",100
"2013-12-29",95
"2014-01-05",91
"2014-01-12",89
"2014-01-19",88
"2014-01-26",90
"2014-02-02",89
"2014-02-09",92
"2014-02-16",90
"2014-02-23",93
"2014-03-02",92
"2014-03-09",90
"2014-03-16",90
"2014-03-23",94
"2014-03-30",90
"2014-04-06",89
"2014-04-13",90
"2014-04-20",90
"2014-04-27",87
"2014-05-04",94
"2014-05-11",87
"2014-05-18",94
"2014-05-25",93
"2014-06-01",90
"2014-06-08",93
"2014-06-15",96
"2014-06-22",94
"2014-06-29",92
"2014-07-06",90
"2014-07-13",88
"2014-07-20",96
"2014-07-27",85
"2014-08-03",91
"2014-08-10",94
"2014-08-17",95
"2014-08-24",92
"2014-08-31",92
"2014-09-07",87
"2014-09-14",79
"2014-09-21",86
"2014-09-28",83
"2014-10-05",74
"2014-10-12",88
"2014-10-19",82
"2014-10-26",79
"2014-11-02",81
"2014-11-09",78
"2014-11-16",81
"2014-11-23",85
"2014-11-30",70
"2014-12-07",75
"2014-12-14",77
"2014-12-21",83
"2014-12-28",76
"2015-01-04",73
"2015-01-11",67
"2015-01-18",68
"2015-01-25",68
"2015-02-01",71
"2015-02-08",70
"2015-02-15",72
"2015-02-22",73
"2015-03-01",76
"2015-03-08",71
"2015-03-15",72
"2015-03-22",74
"2015-03-29",66
"2015-04-05",67
"2015-04-12",73
"2015-04-19",75
"2015-04-26",72
"2015-05-03",73
"2015-05-10",76
"2015-05-17",72
"2015-05-24",73
"2015-05-31",69
"2015-06-07",68
"2015-06-14",70
"2015-06-21",82
"2015-06-28",76
"2015-07-05",74
"2015-07-12",78
"2015-07-19",83
"2015-07-26",77
"2015-08-02",81
"2015-08-09",85
"2015-08-16",83
"2015-08-23",82
"2015-08-30",78
"2015-09-06",69
"2015-09-13",76
"2015-09-20",78
"2015-09-27",81
"2015-10-04",73
"2015-10-11",75
"2015-10-18",78
"2015-10-25",69
"2015-11-01",79
"2015-11-08",80
"2015-11-15",73
"2015-11-22",80
"2015-11-29",67
"2015-12-06",71
"2015-12-13",68
"2015-12-20",76
"2015-12-27",79
"2016-01-03",83
"2016-01-10",80
"2016-01-17",80
"2016-01-24",76
"2016-01-31",82
"2016-02-07",76
"2016-02-14",81
"2016-02-21",82
"2016-02-28",81
"2016-03-06",79
"2016-03-13",81
"2016-03-20",82
"2016-03-27",80
"2016-04-03",79
"2016-04-10",81
"2016-04-17",81
"2016-04-24",83
"2016-05-01",76
"2016-05-08",83
"2016-05-15",86
"2016-05-22",81
"2016-05-29",85
"2016-06-05",85
"2016-06-12",85
"2016-06-19",89
"2016-06-26",84
"2016-07-03",81
"2016-07-10",81
"2016-07-17",79
"2016-07-24",82
"2016-07-31",83
"2016-08-07",80
"2016-08-14",85
"2016-08-21",82
"2016-08-28",81
"2016-09-04",75
"2016-09-11",76
"2016-09-18",73
"2016-09-25",71
"2016-10-02",76
"2016-10-09",75
"2016-10-16",74
"2016-10-23",74
"2016-10-30",73
"2016-11-06",73
"2016-11-13",75
"2016-11-20",72
"2016-11-27",69
"2016-12-04",67
"2016-12-11",68
"2016-12-18",73
"2016-12-25",70
"2017-01-01",71
"2017-01-08",70
"2017-01-15",67
"2017-01-22",74
"2017-01-29",72
"2017-02-05",72
"2017-02-12",72
"2017-02-19",69
"2017-02-26",66
"2017-03-05",68
"2017-03-12",76
"2017-03-19",72
"2017-03-26",71
"2017-04-02",65
"2017-04-09",71
"2017-04-16",78
"2017-04-23",68
"2017-04-30",68
"2017-05-07",71
"2017-05-14",73
"2017-05-21",72
"2017-05-28",79
"2017-06-04",73
"2017-06-11",75
"2017-06-18",75
"2017-06-25",71
"2017-07-02",74
"2017-07-09",74
"2017-07-16",72
"2017-07-23",76
"2017-07-30",72
"2017-08-06",82
"2017-08-13",81
"2017-08-20",79
"2017-08-27",76
"2017-09-03",71
"2017-09-10",72
"2017-09-17",68
"2017-09-24",69
"2017-10-01",70
"2017-10-08",69
"2017-10-15",67
"2017-10-22",65
"2017-10-29",69
"2017-11-05",64
"2017-11-12",68
"2017-11-19",66
"2017-11-26",60
"2017-12-03",62
"2017-12-10",60
"2017-12-17",61
"2017-12-24",65
"2017-12-31",64
"2018-01-07",60
"2018-01-14",63
"2018-01-21",64
"2018-01-28",63
"2018-02-04",62
"2018-02-11",64
"2018-02-18",58
"2018-02-25",63
"2018-03-04",60
"2018-03-11",57
"2018-03-18",63
"2018-03-25",61
"2018-04-01",56
"2018-04-08",62
"2018-04-15",60
"2018-04-22",61
"2018-04-29",58
"2018-05-06",59
"2018-05-13",57
"2018-05-20",57
"2018-05-27",59
"2018-06-03",60
"2018-06-10",62
"2018-06-17",59
"2018-06-24",61
"2018-07-01",58
"2018-07-08",61
"2018-07-15",58
"2018-07-22",59
"2018-07-29",57
"2018-08-05",60
"2018-08-12",65
"2018-08-19",57
"2018-08-26",61
"2018-09-02",61
"2018-09-09",54
"2018-09-16",57
"2018-09-23",54
"2018-09-30",58
"2018-10-07",52
"2018-10-14",50
"2018-10-21",51
"2018-10-28",59
"2018-11-04",53
"2018-11-11",55
"2018-11-18",54
