"date","washington"
"2013-12-01",91
"2013-12-08",97
"2013-12-15",92
"2013-12-22",100
"2013-12-29",91
"2014-01-05",88
"2014-01-12",93
"2014-01-19",94
"2014-01-26",93
"2014-02-02",97
"2014-02-09",91
"2014-02-16",94
"2014-02-23",94
"2014-03-02",91
"2014-03-09",93
"2014-03-16",94
"2014-03-23",92
"2014-03-30",92
"2014-04-06",90
"2014-04-13",89
"2014-04-20",90
"2014-04-27",90
"2014-05-04",87
"2014-05-11",87
"2014-05-18",87
"2014-05-25",93
"2014-06-01",92
"2014-06-08",94
"2014-06-15",95
"2014-06-22",94
"2014-06-29",94
"2014-07-06",96
"2014-07-13",94
"2014-07-20",95
"2014-07-27",95
"2014-08-03",95
"2014-08-10",99
"2014-08-17",97
"2014-08-24",91
"2014-08-31",93
"2014-09-07",92
"2014-09-14",91
"2014-09-21",89
"2014-09-28",85
"2014-10-05",82
"2014-10-12",82
"2014-10-19",80
"2014-10-26",82
"2014-11-02",80
"2014-11-09",78
"2014-11-16",78
"2014-11-23",76
"2014-11-30",75
"2014-12-07",73
"2014-12-14",76
"2014-12-21",81
"2014-12-28",79
"2015-01-04",76
"2015-01-11",73
"2015-01-18",73
"2015-01-25",77
"2015-02-01",73
"2015-02-08",75
"2015-02-15",77
"2015-02-22",73
"2015-03-01",76
"2015-03-08",78
"2015-03-15",77
"2015-03-22",81
"2015-03-29",78
"2015-04-05",80
"2015-04-12",77
"2015-04-19",76
"2015-04-26",76
"2015-05-03",77
"2015-05-10",80
"2015-05-17",78
"2015-05-24",77
"2015-05-31",78
"2015-06-07",76
"2015-06-14",80
"2015-06-21",83
"2015-06-28",88
"2015-07-05",86
"2015-07-12",85
"2015-07-19",85
"2015-07-26",82
"2015-08-02",80
"2015-08-09",80
"2015-08-16",82
"2015-08-23",84
"2015-08-30",79
"2015-09-06",80
"2015-09-13",80
"2015-09-20",80
"2015-09-27",88
"2015-10-04",81
"2015-10-11",80
"2015-10-18",78
"2015-10-25",80
"2015-11-01",80
"2015-11-08",78
"2015-11-15",80
"2015-11-22",80
"2015-11-29",76
"2015-12-06",75
"2015-12-13",76
"2015-12-20",85
"2015-12-27",88
"2016-01-03",95
"2016-01-10",92
"2016-01-17",94
"2016-01-24",94
"2016-01-31",92
"2016-02-07",93
"2016-02-14",93
"2016-02-21",92
"2016-02-28",93
"2016-03-06",92
"2016-03-13",92
"2016-03-20",94
"2016-03-27",95
"2016-04-03",95
"2016-04-10",93
"2016-04-17",92
"2016-04-24",90
"2016-05-01",89
"2016-05-08",90
"2016-05-15",93
"2016-05-22",91
"2016-05-29",95
"2016-06-05",89
"2016-06-12",94
"2016-06-19",93
"2016-06-26",94
"2016-07-03",94
"2016-07-10",91
"2016-07-17",90
"2016-07-24",89
"2016-07-31",86
"2016-08-07",86
"2016-08-14",87
"2016-08-21",87
"2016-08-28",85
"2016-09-04",79
"2016-09-11",81
"2016-09-18",81
"2016-09-25",80
"2016-10-02",80
"2016-10-09",79
"2016-10-16",81
"2016-10-23",80
"2016-10-30",80
"2016-11-06",78
"2016-11-13",76
"2016-11-20",76
"2016-11-27",77
"2016-12-04",77
"2016-12-11",78
"2016-12-18",79
"2016-12-25",79
"2017-01-01",80
"2017-01-08",77
"2017-01-15",78
"2017-01-22",79
"2017-01-29",77
"2017-02-05",78
"2017-02-12",76
"2017-02-19",77
"2017-02-26",73
"2017-03-05",73
"2017-03-12",72
"2017-03-19",74
"2017-03-26",76
"2017-04-02",73
"2017-04-09",73
"2017-04-16",76
"2017-04-23",72
"2017-04-30",76
"2017-05-07",75
"2017-05-14",75
"2017-05-21",74
"2017-05-28",74
"2017-06-04",71
"2017-06-11",74
"2017-06-18",75
"2017-06-25",74
"2017-07-02",74
"2017-07-09",75
"2017-07-16",74
"2017-07-23",75
"2017-07-30",72
"2017-08-06",69
"2017-08-13",72
"2017-08-20",73
"2017-08-27",74
"2017-09-03",71
"2017-09-10",69
"2017-09-17",69
"2017-09-24",70
"2017-10-01",70
"2017-10-08",69
"2017-10-15",68
"2017-10-22",64
"2017-10-29",64
"2017-11-05",64
"2017-11-12",61
"2017-11-19",62
"2017-11-26",60
"2017-12-03",59
"2017-12-10",60
"2017-12-17",63
"2017-12-24",67
"2017-12-31",62
"2018-01-07",58
"2018-01-14",60
"2018-01-21",60
"2018-01-28",59
"2018-02-04",59
"2018-02-11",59
"2018-02-18",59
"2018-02-25",59
"2018-03-04",57
"2018-03-11",56
"2018-03-18",62
"2018-03-25",63
"2018-04-01",62
"2018-04-08",60
"2018-04-15",57
"2018-04-22",57
"2018-04-29",54
"2018-05-06",56
"2018-05-13",57
"2018-05-20",56
"2018-05-27",55
"2018-06-03",54
"2018-06-10",55
"2018-06-17",56
"2018-06-24",57
"2018-07-01",57
"2018-07-08",57
"2018-07-15",55
"2018-07-22",60
"2018-07-29",57
"2018-08-05",56
"2018-08-12",55
"2018-08-19",54
"2018-08-26",56
"2018-09-02",55
"2018-09-09",55
"2018-09-16",53
"2018-09-23",54
"2018-09-30",54
"2018-10-07",54
"2018-10-14",52
"2018-10-21",52
"2018-10-28",53
"2018-11-04",50
"2018-11-11",51
"2018-11-18",52
