"date","west virginia"
"2013-12-01",83
"2013-12-08",83
"2013-12-15",87
"2013-12-22",100
"2013-12-29",88
"2014-01-05",84
"2014-01-12",84
"2014-01-19",83
"2014-01-26",81
"2014-02-02",86
"2014-02-09",82
"2014-02-16",84
"2014-02-23",83
"2014-03-02",84
"2014-03-09",84
"2014-03-16",80
"2014-03-23",77
"2014-03-30",81
"2014-04-06",77
"2014-04-13",83
"2014-04-20",79
"2014-04-27",84
"2014-05-04",66
"2014-05-11",67
"2014-05-18",91
"2014-05-25",93
"2014-06-01",86
"2014-06-08",80
"2014-06-15",85
"2014-06-22",80
"2014-06-29",82
"2014-07-06",81
"2014-07-13",80
"2014-07-20",78
"2014-07-27",79
"2014-08-03",77
"2014-08-10",78
"2014-08-17",79
"2014-08-24",73
"2014-08-31",75
"2014-09-07",75
"2014-09-14",79
"2014-09-21",76
"2014-09-28",74
"2014-10-05",70
"2014-10-12",73
"2014-10-19",72
"2014-10-26",73
"2014-11-02",79
"2014-11-09",75
"2014-11-16",68
"2014-11-23",81
"2014-11-30",68
"2014-12-07",68
"2014-12-14",73
"2014-12-21",78
"2014-12-28",73
"2015-01-04",72
"2015-01-11",73
"2015-01-18",69
"2015-01-25",74
"2015-02-01",68
"2015-02-08",66
"2015-02-15",71
"2015-02-22",69
"2015-03-01",70
"2015-03-08",69
"2015-03-15",67
"2015-03-22",73
"2015-03-29",67
"2015-04-05",70
"2015-04-12",67
"2015-04-19",65
"2015-04-26",68
"2015-05-03",63
"2015-05-10",71
"2015-05-17",70
"2015-05-24",76
"2015-05-31",73
"2015-06-07",67
"2015-06-14",73
"2015-06-21",76
"2015-06-28",78
"2015-07-05",79
"2015-07-12",79
"2015-07-19",78
"2015-07-26",80
"2015-08-02",76
"2015-08-09",79
"2015-08-16",77
"2015-08-23",72
"2015-08-30",68
"2015-09-06",65
"2015-09-13",64
"2015-09-20",78
"2015-09-27",76
"2015-10-04",73
"2015-10-11",74
"2015-10-18",69
"2015-10-25",75
"2015-11-01",72
"2015-11-08",71
"2015-11-15",69
"2015-11-22",74
"2015-11-29",68
"2015-12-06",69
"2015-12-13",72
"2015-12-20",69
"2015-12-27",78
"2016-01-03",97
"2016-01-10",87
"2016-01-17",96
"2016-01-24",95
"2016-01-31",90
"2016-02-07",91
"2016-02-14",93
"2016-02-21",95
"2016-02-28",86
"2016-03-06",83
"2016-03-13",87
"2016-03-20",90
"2016-03-27",97
"2016-04-03",85
"2016-04-10",86
"2016-04-17",89
"2016-04-24",87
"2016-05-01",85
"2016-05-08",89
"2016-05-15",88
"2016-05-22",90
"2016-05-29",99
"2016-06-05",95
"2016-06-12",89
"2016-06-19",91
"2016-06-26",93
"2016-07-03",89
"2016-07-10",88
"2016-07-17",89
"2016-07-24",83
"2016-07-31",86
"2016-08-07",78
"2016-08-14",84
"2016-08-21",81
"2016-08-28",76
"2016-09-04",76
"2016-09-11",77
"2016-09-18",76
"2016-09-25",74
"2016-10-02",75
"2016-10-09",73
"2016-10-16",77
"2016-10-23",74
"2016-10-30",74
"2016-11-06",74
"2016-11-13",71
"2016-11-20",76
"2016-11-27",68
"2016-12-04",71
"2016-12-11",77
"2016-12-18",80
"2016-12-25",79
"2017-01-01",75
"2017-01-08",72
"2017-01-15",75
"2017-01-22",70
"2017-01-29",72
"2017-02-05",72
"2017-02-12",72
"2017-02-19",73
"2017-02-26",72
"2017-03-05",75
"2017-03-12",70
"2017-03-19",70
"2017-03-26",73
"2017-04-02",73
"2017-04-09",78
"2017-04-16",76
"2017-04-23",70
"2017-04-30",72
"2017-05-07",77
"2017-05-14",77
"2017-05-21",76
"2017-05-28",77
"2017-06-04",76
"2017-06-11",75
"2017-06-18",77
"2017-06-25",78
"2017-07-02",78
"2017-07-09",76
"2017-07-16",76
"2017-07-23",76
"2017-07-30",77
"2017-08-06",74
"2017-08-13",76
"2017-08-20",73
"2017-08-27",68
"2017-09-03",67
"2017-09-10",67
"2017-09-17",69
"2017-09-24",68
"2017-10-01",69
"2017-10-08",67
"2017-10-15",69
"2017-10-22",60
"2017-10-29",63
"2017-11-05",65
"2017-11-12",62
"2017-11-19",61
"2017-11-26",54
"2017-12-03",57
"2017-12-10",60
"2017-12-17",65
"2017-12-24",65
"2017-12-31",63
"2018-01-07",58
"2018-01-14",59
"2018-01-21",58
"2018-01-28",55
"2018-02-04",55
"2018-02-11",61
"2018-02-18",60
"2018-02-25",58
"2018-03-04",57
"2018-03-11",55
"2018-03-18",55
"2018-03-25",59
"2018-04-01",57
"2018-04-08",54
"2018-04-15",54
"2018-04-22",56
"2018-04-29",53
"2018-05-06",59
"2018-05-13",56
"2018-05-20",53
"2018-05-27",53
"2018-06-03",58
"2018-06-10",56
"2018-06-17",57
"2018-06-24",59
"2018-07-01",59
"2018-07-08",54
"2018-07-15",55
"2018-07-22",57
"2018-07-29",57
"2018-08-05",52
"2018-08-12",54
"2018-08-19",57
"2018-08-26",51
"2018-09-02",54
"2018-09-09",55
"2018-09-16",53
"2018-09-23",52
"2018-09-30",53
"2018-10-07",51
"2018-10-14",48
"2018-10-21",49
"2018-10-28",50
"2018-11-04",49
"2018-11-11",50
"2018-11-18",50
