"date","wisconsin"
"2013-12-01",90
"2013-12-08",87
"2013-12-15",89
"2013-12-22",100
"2013-12-29",92
"2014-01-05",87
"2014-01-12",86
"2014-01-19",89
"2014-01-26",90
"2014-02-02",93
"2014-02-09",91
"2014-02-16",91
"2014-02-23",97
"2014-03-02",96
"2014-03-09",90
"2014-03-16",84
"2014-03-23",81
"2014-03-30",89
"2014-04-06",90
"2014-04-13",92
"2014-04-20",90
"2014-04-27",86
"2014-05-04",89
"2014-05-11",87
"2014-05-18",86
"2014-05-25",85
"2014-06-01",82
"2014-06-08",88
"2014-06-15",91
"2014-06-22",89
"2014-06-29",88
"2014-07-06",88
"2014-07-13",88
"2014-07-20",87
"2014-07-27",87
"2014-08-03",88
"2014-08-10",89
"2014-08-17",92
"2014-08-24",89
"2014-08-31",87
"2014-09-07",84
"2014-09-14",84
"2014-09-21",81
"2014-09-28",81
"2014-10-05",80
"2014-10-12",81
"2014-10-19",80
"2014-10-26",79
"2014-11-02",79
"2014-11-09",78
"2014-11-16",78
"2014-11-23",77
"2014-11-30",75
"2014-12-07",73
"2014-12-14",75
"2014-12-21",83
"2014-12-28",81
"2015-01-04",74
"2015-01-11",73
"2015-01-18",75
"2015-01-25",72
"2015-02-01",70
"2015-02-08",71
"2015-02-15",71
"2015-02-22",71
"2015-03-01",69
"2015-03-08",72
"2015-03-15",71
"2015-03-22",73
"2015-03-29",72
"2015-04-05",74
"2015-04-12",74
"2015-04-19",74
"2015-04-26",70
"2015-05-03",73
"2015-05-10",73
"2015-05-17",73
"2015-05-24",73
"2015-05-31",75
"2015-06-07",76
"2015-06-14",78
"2015-06-21",78
"2015-06-28",79
"2015-07-05",78
"2015-07-12",76
"2015-07-19",76
"2015-07-26",80
"2015-08-02",76
"2015-08-09",78
"2015-08-16",77
"2015-08-23",78
"2015-08-30",71
"2015-09-06",67
"2015-09-13",71
"2015-09-20",71
"2015-09-27",77
"2015-10-04",71
"2015-10-11",72
"2015-10-18",70
"2015-10-25",71
"2015-11-01",70
"2015-11-08",69
"2015-11-15",69
"2015-11-22",70
"2015-11-29",68
"2015-12-06",69
"2015-12-13",68
"2015-12-20",75
"2015-12-27",81
"2016-01-03",86
"2016-01-10",84
"2016-01-17",87
"2016-01-24",87
"2016-01-31",85
"2016-02-07",85
"2016-02-14",86
"2016-02-21",88
"2016-02-28",85
"2016-03-06",84
"2016-03-13",82
"2016-03-20",89
"2016-03-27",90
"2016-04-03",84
"2016-04-10",87
"2016-04-17",82
"2016-04-24",83
"2016-05-01",82
"2016-05-08",84
"2016-05-15",86
"2016-05-22",89
"2016-05-29",88
"2016-06-05",87
"2016-06-12",88
"2016-06-19",88
"2016-06-26",86
"2016-07-03",87
"2016-07-10",87
"2016-07-17",86
"2016-07-24",85
"2016-07-31",84
"2016-08-07",80
"2016-08-14",85
"2016-08-21",83
"2016-08-28",83
"2016-09-04",79
"2016-09-11",75
"2016-09-18",74
"2016-09-25",72
"2016-10-02",74
"2016-10-09",74
"2016-10-16",74
"2016-10-23",76
"2016-10-30",75
"2016-11-06",73
"2016-11-13",71
"2016-11-20",72
"2016-11-27",67
"2016-12-04",69
"2016-12-11",69
"2016-12-18",71
"2016-12-25",76
"2017-01-01",71
"2017-01-08",70
"2017-01-15",72
"2017-01-22",73
"2017-01-29",69
"2017-02-05",71
"2017-02-12",72
"2017-02-19",69
"2017-02-26",68
"2017-03-05",69
"2017-03-12",68
"2017-03-19",70
"2017-03-26",68
"2017-04-02",68
"2017-04-09",69
"2017-04-16",74
"2017-04-23",67
"2017-04-30",70
"2017-05-07",71
"2017-05-14",70
"2017-05-21",68
"2017-05-28",72
"2017-06-04",74
"2017-06-11",74
"2017-06-18",74
"2017-06-25",71
"2017-07-02",74
"2017-07-09",73
"2017-07-16",71
"2017-07-23",74
"2017-07-30",75
"2017-08-06",75
"2017-08-13",75
"2017-08-20",75
"2017-08-27",71
"2017-09-03",69
"2017-09-10",70
"2017-09-17",68
"2017-09-24",67
"2017-10-01",68
"2017-10-08",65
"2017-10-15",64
"2017-10-22",63
"2017-10-29",63
"2017-11-05",62
"2017-11-12",61
"2017-11-19",61
"2017-11-26",57
"2017-12-03",53
"2017-12-10",55
"2017-12-17",60
"2017-12-24",64
"2017-12-31",60
"2018-01-07",58
"2018-01-14",57
"2018-01-21",58
"2018-01-28",56
"2018-02-04",56
"2018-02-11",57
"2018-02-18",56
"2018-02-25",57
"2018-03-04",55
"2018-03-11",56
"2018-03-18",57
"2018-03-25",61
"2018-04-01",57
"2018-04-08",57
"2018-04-15",55
"2018-04-22",54
"2018-04-29",53
"2018-05-06",53
"2018-05-13",54
"2018-05-20",53
"2018-05-27",54
"2018-06-03",57
"2018-06-10",57
"2018-06-17",59
"2018-06-24",58
"2018-07-01",57
"2018-07-08",58
"2018-07-15",54
"2018-07-22",59
"2018-07-29",58
"2018-08-05",56
"2018-08-12",57
"2018-08-19",56
"2018-08-26",57
"2018-09-02",57
"2018-09-09",54
"2018-09-16",51
"2018-09-23",52
"2018-09-30",52
"2018-10-07",51
"2018-10-14",50
"2018-10-21",51
"2018-10-28",51
"2018-11-04",50
"2018-11-11",51
"2018-11-18",50
