"date","wyoming"
"2013-12-01",84
"2013-12-08",85
"2013-12-15",85
"2013-12-22",91
"2013-12-29",89
"2014-01-05",84
"2014-01-12",82
"2014-01-19",81
"2014-01-26",83
"2014-02-02",84
"2014-02-09",78
"2014-02-16",81
"2014-02-23",76
"2014-03-02",85
"2014-03-09",84
"2014-03-16",82
"2014-03-23",84
"2014-03-30",88
"2014-04-06",87
"2014-04-13",82
"2014-04-20",84
"2014-04-27",83
"2014-05-04",77
"2014-05-11",83
"2014-05-18",82
"2014-05-25",84
"2014-06-01",87
"2014-06-08",85
"2014-06-15",85
"2014-06-22",86
"2014-06-29",86
"2014-07-06",81
"2014-07-13",87
"2014-07-20",80
"2014-07-27",82
"2014-08-03",85
"2014-08-10",87
"2014-08-17",80
"2014-08-24",82
"2014-08-31",78
"2014-09-07",73
"2014-09-14",78
"2014-09-21",75
"2014-09-28",78
"2014-10-05",81
"2014-10-12",79
"2014-10-19",81
"2014-10-26",78
"2014-11-02",75
"2014-11-09",70
"2014-11-16",73
"2014-11-23",76
"2014-11-30",72
"2014-12-07",71
"2014-12-14",72
"2014-12-21",79
"2014-12-28",74
"2015-01-04",71
"2015-01-11",69
"2015-01-18",72
"2015-01-25",74
"2015-02-01",68
"2015-02-08",71
"2015-02-15",65
"2015-02-22",68
"2015-03-01",65
"2015-03-08",63
"2015-03-15",63
"2015-03-22",67
"2015-03-29",69
"2015-04-05",71
"2015-04-12",68
"2015-04-19",70
"2015-04-26",74
"2015-05-03",73
"2015-05-10",71
"2015-05-17",74
"2015-05-24",73
"2015-05-31",79
"2015-06-07",78
"2015-06-14",74
"2015-06-21",81
"2015-06-28",74
"2015-07-05",80
"2015-07-12",77
"2015-07-19",73
"2015-07-26",71
"2015-08-02",74
"2015-08-09",79
"2015-08-16",75
"2015-08-23",72
"2015-08-30",68
"2015-09-06",71
"2015-09-13",62
"2015-09-20",71
"2015-09-27",76
"2015-10-04",71
"2015-10-11",71
"2015-10-18",68
"2015-10-25",66
"2015-11-01",68
"2015-11-08",70
"2015-11-15",70
"2015-11-22",66
"2015-11-29",68
"2015-12-06",68
"2015-12-13",70
"2015-12-20",77
"2015-12-27",84
"2016-01-03",95
"2016-01-10",89
"2016-01-17",89
"2016-01-24",91
"2016-01-31",91
"2016-02-07",89
"2016-02-14",92
"2016-02-21",96
"2016-02-28",89
"2016-03-06",91
"2016-03-13",87
"2016-03-20",89
"2016-03-27",93
"2016-04-03",99
"2016-04-10",97
"2016-04-17",96
"2016-04-24",91
"2016-05-01",90
"2016-05-08",92
"2016-05-15",90
"2016-05-22",98
"2016-05-29",100
"2016-06-05",97
"2016-06-12",98
"2016-06-19",97
"2016-06-26",88
"2016-07-03",96
"2016-07-10",96
"2016-07-17",87
"2016-07-24",87
"2016-07-31",87
"2016-08-07",82
"2016-08-14",85
"2016-08-21",87
"2016-08-28",84
"2016-09-04",77
"2016-09-11",75
"2016-09-18",74
"2016-09-25",82
"2016-10-02",79
"2016-10-09",79
"2016-10-16",74
"2016-10-23",74
"2016-10-30",81
"2016-11-06",75
"2016-11-13",72
"2016-11-20",78
"2016-11-27",72
"2016-12-04",72
"2016-12-11",74
"2016-12-18",77
"2016-12-25",75
"2017-01-01",73
"2017-01-08",72
"2017-01-15",79
"2017-01-22",74
"2017-01-29",77
"2017-02-05",74
"2017-02-12",77
"2017-02-19",71
"2017-02-26",68
"2017-03-05",71
"2017-03-12",76
"2017-03-19",74
"2017-03-26",76
"2017-04-02",71
"2017-04-09",75
"2017-04-16",73
"2017-04-23",72
"2017-04-30",78
"2017-05-07",73
"2017-05-14",72
"2017-05-21",75
"2017-05-28",80
"2017-06-04",75
"2017-06-11",76
"2017-06-18",78
"2017-06-25",77
"2017-07-02",70
"2017-07-09",75
"2017-07-16",70
"2017-07-23",70
"2017-07-30",72
"2017-08-06",74
"2017-08-13",76
"2017-08-20",74
"2017-08-27",75
"2017-09-03",66
"2017-09-10",65
"2017-09-17",66
"2017-09-24",69
"2017-10-01",65
"2017-10-08",67
"2017-10-15",68
"2017-10-22",65
"2017-10-29",69
"2017-11-05",68
"2017-11-12",65
"2017-11-19",69
"2017-11-26",65
"2017-12-03",62
"2017-12-10",62
"2017-12-17",68
"2017-12-24",73
"2017-12-31",68
"2018-01-07",63
"2018-01-14",64
"2018-01-21",58
"2018-01-28",62
"2018-02-04",59
"2018-02-11",61
"2018-02-18",62
"2018-02-25",61
"2018-03-04",59
"2018-03-11",60
"2018-03-18",62
"2018-03-25",63
"2018-04-01",60
"2018-04-08",63
"2018-04-15",59
"2018-04-22",60
"2018-04-29",55
"2018-05-06",58
"2018-05-13",58
"2018-05-20",54
"2018-05-27",61
"2018-06-03",59
"2018-06-10",62
"2018-06-17",62
"2018-06-24",61
"2018-07-01",57
"2018-07-08",60
"2018-07-15",56
"2018-07-22",59
"2018-07-29",55
"2018-08-05",55
"2018-08-12",57
"2018-08-19",59
"2018-08-26",55
"2018-09-02",54
"2018-09-09",56
"2018-09-16",55
"2018-09-23",52
"2018-09-30",54
"2018-10-07",55
"2018-10-14",53
"2018-10-21",53
"2018-10-28",55
"2018-11-04",56
"2018-11-11",54
"2018-11-18",55
