"date","connecticut"
"2013-12-01",56
"2013-12-08",57
"2013-12-15",58
"2013-12-22",63
"2013-12-29",60
"2014-01-05",56
"2014-01-12",56
"2014-01-19",55
"2014-01-26",57
"2014-02-02",56
"2014-02-09",56
"2014-02-16",54
"2014-02-23",55
"2014-03-02",53
"2014-03-09",53
"2014-03-16",56
"2014-03-23",54
"2014-03-30",54
"2014-04-06",54
"2014-04-13",54
"2014-04-20",54
"2014-04-27",51
"2014-05-04",50
"2014-05-11",52
"2014-05-18",83
"2014-05-25",100
"2014-06-01",90
"2014-06-08",48
"2014-06-15",53
"2014-06-22",53
"2014-06-29",53
"2014-07-06",53
"2014-07-13",53
"2014-07-20",52
"2014-07-27",53
"2014-08-03",53
"2014-08-10",53
"2014-08-17",57
"2014-08-24",53
"2014-08-31",51
"2014-09-07",48
"2014-09-14",50
"2014-09-21",50
"2014-09-28",48
"2014-10-05",48
"2014-10-12",49
"2014-10-19",48
"2014-10-26",48
"2014-11-02",46
"2014-11-09",46
"2014-11-16",45
"2014-11-23",47
"2014-11-30",44
"2014-12-07",43
"2014-12-14",43
"2014-12-21",49
"2014-12-28",48
"2015-01-04",43
"2015-01-11",42
"2015-01-18",43
"2015-01-25",42
"2015-02-01",41
"2015-02-08",40
"2015-02-15",42
"2015-02-22",41
"2015-03-01",41
"2015-03-08",41
"2015-03-15",42
"2015-03-22",43
"2015-03-29",40
"2015-04-05",42
"2015-04-12",44
"2015-04-19",41
"2015-04-26",42
"2015-05-03",42
"2015-05-10",45
"2015-05-17",42
"2015-05-24",43
"2015-05-31",41
"2015-06-07",42
"2015-06-14",42
"2015-06-21",45
"2015-06-28",45
"2015-07-05",47
"2015-07-12",45
"2015-07-19",46
"2015-07-26",45
"2015-08-02",46
"2015-08-09",47
"2015-08-16",46
"2015-08-23",46
"2015-08-30",44
"2015-09-06",43
"2015-09-13",43
"2015-09-20",44
"2015-09-27",46
"2015-10-04",42
"2015-10-11",43
"2015-10-18",41
"2015-10-25",43
"2015-11-01",45
"2015-11-08",42
"2015-11-15",43
"2015-11-22",44
"2015-11-29",41
"2015-12-06",41
"2015-12-13",41
"2015-12-20",45
"2015-12-27",51
"2016-01-03",55
"2016-01-10",53
"2016-01-17",54
"2016-01-24",54
"2016-01-31",51
"2016-02-07",52
"2016-02-14",52
"2016-02-21",53
"2016-02-28",50
"2016-03-06",50
"2016-03-13",53
"2016-03-20",51
"2016-03-27",52
"2016-04-03",51
"2016-04-10",53
"2016-04-17",53
"2016-04-24",50
"2016-05-01",51
"2016-05-08",52
"2016-05-15",54
"2016-05-22",53
"2016-05-29",52
"2016-06-05",53
"2016-06-12",54
"2016-06-19",54
"2016-06-26",54
"2016-07-03",55
"2016-07-10",53
"2016-07-17",52
"2016-07-24",49
"2016-07-31",50
"2016-08-07",50
"2016-08-14",50
"2016-08-21",50
"2016-08-28",49
"2016-09-04",47
"2016-09-11",47
"2016-09-18",46
"2016-09-25",45
"2016-10-02",45
"2016-10-09",46
"2016-10-16",45
"2016-10-23",44
"2016-10-30",46
"2016-11-06",45
"2016-11-13",45
"2016-11-20",46
"2016-11-27",42
"2016-12-04",41
"2016-12-11",41
"2016-12-18",44
"2016-12-25",48
"2017-01-01",45
"2017-01-08",43
"2017-01-15",44
"2017-01-22",45
"2017-01-29",44
"2017-02-05",43
"2017-02-12",44
"2017-02-19",44
"2017-02-26",41
"2017-03-05",40
"2017-03-12",44
"2017-03-19",43
"2017-03-26",42
"2017-04-02",41
"2017-04-09",46
"2017-04-16",49
"2017-04-23",43
"2017-04-30",42
"2017-05-07",44
"2017-05-14",44
"2017-05-21",43
"2017-05-28",43
"2017-06-04",42
"2017-06-11",43
"2017-06-18",47
"2017-06-25",45
"2017-07-02",46
"2017-07-09",45
"2017-07-16",46
"2017-07-23",45
"2017-07-30",46
"2017-08-06",45
"2017-08-13",46
"2017-08-20",44
"2017-08-27",41
"2017-09-03",42
"2017-09-10",43
"2017-09-17",40
"2017-09-24",40
"2017-10-01",39
"2017-10-08",39
"2017-10-15",39
"2017-10-22",37
"2017-10-29",38
"2017-11-05",38
"2017-11-12",36
"2017-11-19",37
"2017-11-26",33
"2017-12-03",34
"2017-12-10",35
"2017-12-17",36
"2017-12-24",39
"2017-12-31",38
"2018-01-07",35
"2018-01-14",36
"2018-01-21",35
"2018-01-28",34
"2018-02-04",35
"2018-02-11",35
"2018-02-18",35
"2018-02-25",33
"2018-03-04",33
"2018-03-11",35
"2018-03-18",37
"2018-03-25",35
"2018-04-01",35
"2018-04-08",36
"2018-04-15",33
"2018-04-22",32
"2018-04-29",32
"2018-05-06",31
"2018-05-13",31
"2018-05-20",32
"2018-05-27",32
"2018-06-03",31
"2018-06-10",31
"2018-06-17",34
"2018-06-24",33
"2018-07-01",34
"2018-07-08",36
"2018-07-15",33
"2018-07-22",35
"2018-07-29",35
"2018-08-05",33
"2018-08-12",33
"2018-08-19",34
"2018-08-26",34
"2018-09-02",32
"2018-09-09",32
"2018-09-16",32
"2018-09-23",31
"2018-09-30",30
"2018-10-07",31
"2018-10-14",29
"2018-10-21",30
"2018-10-28",30
"2018-11-04",29
"2018-11-11",30
"2018-11-18",30
