"date","idaho"
"2013-12-01",86
"2013-12-08",89
"2013-12-15",91
"2013-12-22",100
"2013-12-29",91
"2014-01-05",91
"2014-01-12",87
"2014-01-19",86
"2014-01-26",84
"2014-02-02",87
"2014-02-09",86
"2014-02-16",85
"2014-02-23",86
"2014-03-02",86
"2014-03-09",86
"2014-03-16",92
"2014-03-23",94
"2014-03-30",86
"2014-04-06",86
"2014-04-13",83
"2014-04-20",83
"2014-04-27",85
"2014-05-04",86
"2014-05-11",84
"2014-05-18",81
"2014-05-25",85
"2014-06-01",89
"2014-06-08",84
"2014-06-15",83
"2014-06-22",91
"2014-06-29",90
"2014-07-06",85
"2014-07-13",86
"2014-07-20",89
"2014-07-27",86
"2014-08-03",86
"2014-08-10",84
"2014-08-17",91
"2014-08-24",88
"2014-08-31",85
"2014-09-07",85
"2014-09-14",82
"2014-09-21",82
"2014-09-28",80
"2014-10-05",79
"2014-10-12",80
"2014-10-19",79
"2014-10-26",81
"2014-11-02",80
"2014-11-09",81
"2014-11-16",77
"2014-11-23",79
"2014-11-30",74
"2014-12-07",74
"2014-12-14",75
"2014-12-21",83
"2014-12-28",81
"2015-01-04",76
"2015-01-11",76
"2015-01-18",71
"2015-01-25",76
"2015-02-01",71
"2015-02-08",71
"2015-02-15",70
"2015-02-22",70
"2015-03-01",73
"2015-03-08",69
"2015-03-15",72
"2015-03-22",76
"2015-03-29",76
"2015-04-05",75
"2015-04-12",73
"2015-04-19",72
"2015-04-26",71
"2015-05-03",73
"2015-05-10",79
"2015-05-17",76
"2015-05-24",77
"2015-05-31",76
"2015-06-07",77
"2015-06-14",81
"2015-06-21",82
"2015-06-28",83
"2015-07-05",77
"2015-07-12",77
"2015-07-19",82
"2015-07-26",80
"2015-08-02",81
"2015-08-09",77
"2015-08-16",81
"2015-08-23",77
"2015-08-30",73
"2015-09-06",74
"2015-09-13",74
"2015-09-20",72
"2015-09-27",80
"2015-10-04",76
"2015-10-11",73
"2015-10-18",72
"2015-10-25",72
"2015-11-01",74
"2015-11-08",71
"2015-11-15",72
"2015-11-22",75
"2015-11-29",69
"2015-12-06",72
"2015-12-13",73
"2015-12-20",79
"2015-12-27",80
"2016-01-03",93
"2016-01-10",87
"2016-01-17",94
"2016-01-24",96
"2016-01-31",91
"2016-02-07",91
"2016-02-14",90
"2016-02-21",92
"2016-02-28",88
"2016-03-06",87
"2016-03-13",88
"2016-03-20",99
"2016-03-27",96
"2016-04-03",93
"2016-04-10",95
"2016-04-17",92
"2016-04-24",89
"2016-05-01",94
"2016-05-08",96
"2016-05-15",90
"2016-05-22",95
"2016-05-29",98
"2016-06-05",97
"2016-06-12",98
"2016-06-19",97
"2016-06-26",95
"2016-07-03",92
"2016-07-10",91
"2016-07-17",93
"2016-07-24",90
"2016-07-31",92
"2016-08-07",85
"2016-08-14",85
"2016-08-21",89
"2016-08-28",83
"2016-09-04",79
"2016-09-11",79
"2016-09-18",76
"2016-09-25",82
"2016-10-02",77
"2016-10-09",80
"2016-10-16",82
"2016-10-23",81
"2016-10-30",78
"2016-11-06",79
"2016-11-13",74
"2016-11-20",78
"2016-11-27",74
"2016-12-04",74
"2016-12-11",70
"2016-12-18",83
"2016-12-25",78
"2017-01-01",77
"2017-01-08",75
"2017-01-15",74
"2017-01-22",75
"2017-01-29",75
"2017-02-05",72
"2017-02-12",75
"2017-02-19",71
"2017-02-26",70
"2017-03-05",72
"2017-03-12",69
"2017-03-19",71
"2017-03-26",77
"2017-04-02",76
"2017-04-09",72
"2017-04-16",75
"2017-04-23",72
"2017-04-30",73
"2017-05-07",72
"2017-05-14",80
"2017-05-21",74
"2017-05-28",79
"2017-06-04",74
"2017-06-11",78
"2017-06-18",80
"2017-06-25",78
"2017-07-02",75
"2017-07-09",76
"2017-07-16",76
"2017-07-23",78
"2017-07-30",77
"2017-08-06",76
"2017-08-13",77
"2017-08-20",75
"2017-08-27",76
"2017-09-03",72
"2017-09-10",68
"2017-09-17",64
"2017-09-24",70
"2017-10-01",70
"2017-10-08",69
"2017-10-15",65
"2017-10-22",66
"2017-10-29",69
"2017-11-05",64
"2017-11-12",63
"2017-11-19",66
"2017-11-26",61
"2017-12-03",61
"2017-12-10",60
"2017-12-17",62
"2017-12-24",69
"2017-12-31",64
"2018-01-07",63
"2018-01-14",59
"2018-01-21",61
"2018-01-28",62
"2018-02-04",59
"2018-02-11",62
"2018-02-18",63
"2018-02-25",61
"2018-03-04",61
"2018-03-11",56
"2018-03-18",60
"2018-03-25",62
"2018-04-01",61
"2018-04-08",60
"2018-04-15",58
"2018-04-22",58
"2018-04-29",59
"2018-05-06",59
"2018-05-13",57
"2018-05-20",58
"2018-05-27",61
"2018-06-03",59
"2018-06-10",63
"2018-06-17",60
"2018-06-24",61
"2018-07-01",59
"2018-07-08",61
"2018-07-15",60
"2018-07-22",59
"2018-07-29",62
"2018-08-05",57
"2018-08-12",59
"2018-08-19",59
"2018-08-26",58
"2018-09-02",58
"2018-09-09",58
"2018-09-16",58
"2018-09-23",56
"2018-09-30",53
"2018-10-07",54
"2018-10-14",51
"2018-10-21",53
"2018-10-28",55
"2018-11-04",49
"2018-11-11",55
"2018-11-18",53
