"date","maryland"
"2013-12-01",84
"2013-12-08",89
"2013-12-15",94
"2013-12-22",100
"2013-12-29",95
"2014-01-05",87
"2014-01-12",88
"2014-01-19",89
"2014-01-26",90
"2014-02-02",88
"2014-02-09",88
"2014-02-16",85
"2014-02-23",83
"2014-03-02",83
"2014-03-09",84
"2014-03-16",87
"2014-03-23",89
"2014-03-30",81
"2014-04-06",84
"2014-04-13",84
"2014-04-20",83
"2014-04-27",86
"2014-05-04",82
"2014-05-11",81
"2014-05-18",83
"2014-05-25",81
"2014-06-01",82
"2014-06-08",76
"2014-06-15",84
"2014-06-22",83
"2014-06-29",90
"2014-07-06",87
"2014-07-13",82
"2014-07-20",82
"2014-07-27",86
"2014-08-03",82
"2014-08-10",85
"2014-08-17",87
"2014-08-24",87
"2014-08-31",84
"2014-09-07",83
"2014-09-14",80
"2014-09-21",82
"2014-09-28",79
"2014-10-05",77
"2014-10-12",78
"2014-10-19",80
"2014-10-26",81
"2014-11-02",75
"2014-11-09",77
"2014-11-16",72
"2014-11-23",76
"2014-11-30",73
"2014-12-07",70
"2014-12-14",70
"2014-12-21",78
"2014-12-28",77
"2015-01-04",71
"2015-01-11",68
"2015-01-18",69
"2015-01-25",69
"2015-02-01",66
"2015-02-08",67
"2015-02-15",68
"2015-02-22",71
"2015-03-01",70
"2015-03-08",67
"2015-03-15",66
"2015-03-22",70
"2015-03-29",66
"2015-04-05",70
"2015-04-12",67
"2015-04-19",67
"2015-04-26",69
"2015-05-03",68
"2015-05-10",69
"2015-05-17",70
"2015-05-24",68
"2015-05-31",70
"2015-06-07",67
"2015-06-14",71
"2015-06-21",72
"2015-06-28",77
"2015-07-05",74
"2015-07-12",74
"2015-07-19",76
"2015-07-26",75
"2015-08-02",74
"2015-08-09",75
"2015-08-16",75
"2015-08-23",76
"2015-08-30",68
"2015-09-06",69
"2015-09-13",71
"2015-09-20",71
"2015-09-27",73
"2015-10-04",70
"2015-10-11",69
"2015-10-18",68
"2015-10-25",69
"2015-11-01",66
"2015-11-08",66
"2015-11-15",67
"2015-11-22",65
"2015-11-29",63
"2015-12-06",64
"2015-12-13",64
"2015-12-20",70
"2015-12-27",82
"2016-01-03",91
"2016-01-10",89
"2016-01-17",97
"2016-01-24",99
"2016-01-31",92
"2016-02-07",91
"2016-02-14",92
"2016-02-21",90
"2016-02-28",89
"2016-03-06",88
"2016-03-13",91
"2016-03-20",92
"2016-03-27",96
"2016-04-03",95
"2016-04-10",93
"2016-04-17",92
"2016-04-24",91
"2016-05-01",91
"2016-05-08",95
"2016-05-15",91
"2016-05-22",90
"2016-05-29",93
"2016-06-05",89
"2016-06-12",89
"2016-06-19",91
"2016-06-26",89
"2016-07-03",89
"2016-07-10",85
"2016-07-17",87
"2016-07-24",84
"2016-07-31",84
"2016-08-07",81
"2016-08-14",85
"2016-08-21",83
"2016-08-28",82
"2016-09-04",79
"2016-09-11",76
"2016-09-18",76
"2016-09-25",76
"2016-10-02",77
"2016-10-09",80
"2016-10-16",78
"2016-10-23",76
"2016-10-30",77
"2016-11-06",77
"2016-11-13",76
"2016-11-20",76
"2016-11-27",73
"2016-12-04",70
"2016-12-11",72
"2016-12-18",75
"2016-12-25",82
"2017-01-01",78
"2017-01-08",74
"2017-01-15",76
"2017-01-22",76
"2017-01-29",74
"2017-02-05",72
"2017-02-12",70
"2017-02-19",73
"2017-02-26",69
"2017-03-05",69
"2017-03-12",70
"2017-03-19",69
"2017-03-26",71
"2017-04-02",71
"2017-04-09",71
"2017-04-16",79
"2017-04-23",71
"2017-04-30",70
"2017-05-07",71
"2017-05-14",74
"2017-05-21",73
"2017-05-28",74
"2017-06-04",73
"2017-06-11",74
"2017-06-18",75
"2017-06-25",77
"2017-07-02",76
"2017-07-09",74
"2017-07-16",74
"2017-07-23",74
"2017-07-30",75
"2017-08-06",74
"2017-08-13",76
"2017-08-20",74
"2017-08-27",70
"2017-09-03",72
"2017-09-10",70
"2017-09-17",67
"2017-09-24",68
"2017-10-01",69
"2017-10-08",66
"2017-10-15",66
"2017-10-22",65
"2017-10-29",64
"2017-11-05",64
"2017-11-12",61
"2017-11-19",63
"2017-11-26",59
"2017-12-03",58
"2017-12-10",60
"2017-12-17",60
"2017-12-24",67
"2017-12-31",62
"2018-01-07",61
"2018-01-14",59
"2018-01-21",59
"2018-01-28",59
"2018-02-04",58
"2018-02-11",60
"2018-02-18",57
"2018-02-25",57
"2018-03-04",55
"2018-03-11",57
"2018-03-18",62
"2018-03-25",61
"2018-04-01",59
"2018-04-08",59
"2018-04-15",53
"2018-04-22",53
"2018-04-29",53
"2018-05-06",50
"2018-05-13",53
"2018-05-20",52
"2018-05-27",56
"2018-06-03",54
"2018-06-10",54
"2018-06-17",57
"2018-06-24",55
"2018-07-01",55
"2018-07-08",56
"2018-07-15",54
"2018-07-22",56
"2018-07-29",57
"2018-08-05",54
"2018-08-12",54
"2018-08-19",55
"2018-08-26",55
"2018-09-02",55
"2018-09-09",51
"2018-09-16",52
"2018-09-23",52
"2018-09-30",50
"2018-10-07",50
"2018-10-14",49
"2018-10-21",51
"2018-10-28",53
"2018-11-04",49
"2018-11-11",51
"2018-11-18",50
