"date","michigan"
"2013-12-01",62
"2013-12-08",79
"2013-12-15",89
"2013-12-22",100
"2013-12-29",92
"2014-01-05",87
"2014-01-12",83
"2014-01-19",82
"2014-01-26",82
"2014-02-02",81
"2014-02-09",78
"2014-02-16",76
"2014-02-23",76
"2014-03-02",76
"2014-03-09",74
"2014-03-16",73
"2014-03-23",72
"2014-03-30",72
"2014-04-06",74
"2014-04-13",72
"2014-04-20",73
"2014-04-27",70
"2014-05-04",65
"2014-05-11",64
"2014-05-18",68
"2014-05-25",70
"2014-06-01",66
"2014-06-08",65
"2014-06-15",65
"2014-06-22",65
"2014-06-29",67
"2014-07-06",64
"2014-07-13",64
"2014-07-20",65
"2014-07-27",64
"2014-08-03",65
"2014-08-10",66
"2014-08-17",68
"2014-08-24",66
"2014-08-31",65
"2014-09-07",62
"2014-09-14",65
"2014-09-21",64
"2014-09-28",63
"2014-10-05",61
"2014-10-12",63
"2014-10-19",60
"2014-10-26",63
"2014-11-02",61
"2014-11-09",60
"2014-11-16",62
"2014-11-23",62
"2014-11-30",61
"2014-12-07",60
"2014-12-14",62
"2014-12-21",67
"2014-12-28",63
"2015-01-04",58
"2015-01-11",57
"2015-01-18",56
"2015-01-25",59
"2015-02-01",58
"2015-02-08",56
"2015-02-15",58
"2015-02-22",56
"2015-03-01",57
"2015-03-08",58
"2015-03-15",57
"2015-03-22",59
"2015-03-29",58
"2015-04-05",62
"2015-04-12",59
"2015-04-19",59
"2015-04-26",59
"2015-05-03",60
"2015-05-10",61
"2015-05-17",60
"2015-05-24",62
"2015-05-31",60
"2015-06-07",64
"2015-06-14",63
"2015-06-21",65
"2015-06-28",63
"2015-07-05",63
"2015-07-12",62
"2015-07-19",62
"2015-07-26",64
"2015-08-02",63
"2015-08-09",65
"2015-08-16",65
"2015-08-23",62
"2015-08-30",61
"2015-09-06",60
"2015-09-13",60
"2015-09-20",60
"2015-09-27",63
"2015-10-04",59
"2015-10-11",60
"2015-10-18",59
"2015-10-25",58
"2015-11-01",59
"2015-11-08",58
"2015-11-15",58
"2015-11-22",58
"2015-11-29",56
"2015-12-06",55
"2015-12-13",53
"2015-12-20",60
"2015-12-27",69
"2016-01-03",74
"2016-01-10",72
"2016-01-17",73
"2016-01-24",74
"2016-01-31",70
"2016-02-07",71
"2016-02-14",75
"2016-02-21",72
"2016-02-28",72
"2016-03-06",70
"2016-03-13",70
"2016-03-20",72
"2016-03-27",74
"2016-04-03",75
"2016-04-10",73
"2016-04-17",70
"2016-04-24",70
"2016-05-01",71
"2016-05-08",70
"2016-05-15",72
"2016-05-22",74
"2016-05-29",72
"2016-06-05",70
"2016-06-12",72
"2016-06-19",73
"2016-06-26",72
"2016-07-03",72
"2016-07-10",71
"2016-07-17",73
"2016-07-24",72
"2016-07-31",73
"2016-08-07",71
"2016-08-14",71
"2016-08-21",71
"2016-08-28",69
"2016-09-04",66
"2016-09-11",62
"2016-09-18",64
"2016-09-25",64
"2016-10-02",64
"2016-10-09",63
"2016-10-16",63
"2016-10-23",62
"2016-10-30",63
"2016-11-06",60
"2016-11-13",60
"2016-11-20",60
"2016-11-27",57
"2016-12-04",60
"2016-12-11",60
"2016-12-18",62
"2016-12-25",64
"2017-01-01",62
"2017-01-08",60
"2017-01-15",60
"2017-01-22",59
"2017-01-29",58
"2017-02-05",58
"2017-02-12",60
"2017-02-19",60
"2017-02-26",57
"2017-03-05",58
"2017-03-12",57
"2017-03-19",57
"2017-03-26",59
"2017-04-02",60
"2017-04-09",59
"2017-04-16",63
"2017-04-23",58
"2017-04-30",58
"2017-05-07",60
"2017-05-14",60
"2017-05-21",60
"2017-05-28",59
"2017-06-04",58
"2017-06-11",59
"2017-06-18",61
"2017-06-25",60
"2017-07-02",61
"2017-07-09",60
"2017-07-16",58
"2017-07-23",60
"2017-07-30",60
"2017-08-06",61
"2017-08-13",62
"2017-08-20",60
"2017-08-27",58
"2017-09-03",56
"2017-09-10",55
"2017-09-17",57
"2017-09-24",56
"2017-10-01",55
"2017-10-08",53
"2017-10-15",52
"2017-10-22",51
"2017-10-29",52
"2017-11-05",51
"2017-11-12",51
"2017-11-19",51
"2017-11-26",48
"2017-12-03",49
"2017-12-10",48
"2017-12-17",50
"2017-12-24",55
"2017-12-31",51
"2018-01-07",49
"2018-01-14",48
"2018-01-21",49
"2018-01-28",48
"2018-02-04",49
"2018-02-11",49
"2018-02-18",48
"2018-02-25",47
"2018-03-04",46
"2018-03-11",47
"2018-03-18",48
"2018-03-25",46
"2018-04-01",49
"2018-04-08",47
"2018-04-15",45
"2018-04-22",44
"2018-04-29",45
"2018-05-06",44
"2018-05-13",45
"2018-05-20",45
"2018-05-27",46
"2018-06-03",45
"2018-06-10",45
"2018-06-17",48
"2018-06-24",47
"2018-07-01",45
"2018-07-08",47
"2018-07-15",45
"2018-07-22",46
"2018-07-29",47
"2018-08-05",46
"2018-08-12",47
"2018-08-19",48
"2018-08-26",48
"2018-09-02",45
"2018-09-09",44
"2018-09-16",43
"2018-09-23",44
"2018-09-30",44
"2018-10-07",43
"2018-10-14",42
"2018-10-21",42
"2018-10-28",43
"2018-11-04",42
"2018-11-11",42
"2018-11-18",41
