"date","new hampshire"
"2013-12-01",95
"2013-12-08",91
"2013-12-15",95
"2013-12-22",100
"2013-12-29",97
"2014-01-05",90
"2014-01-12",92
"2014-01-19",95
"2014-01-26",92
"2014-02-02",96
"2014-02-09",96
"2014-02-16",92
"2014-02-23",93
"2014-03-02",93
"2014-03-09",96
"2014-03-16",89
"2014-03-23",89
"2014-03-30",85
"2014-04-06",88
"2014-04-13",94
"2014-04-20",94
"2014-04-27",90
"2014-05-04",96
"2014-05-11",93
"2014-05-18",91
"2014-05-25",91
"2014-06-01",90
"2014-06-08",91
"2014-06-15",97
"2014-06-22",95
"2014-06-29",91
"2014-07-06",91
"2014-07-13",88
"2014-07-20",93
"2014-07-27",88
"2014-08-03",88
"2014-08-10",89
"2014-08-17",87
"2014-08-24",89
"2014-08-31",91
"2014-09-07",91
"2014-09-14",84
"2014-09-21",86
"2014-09-28",85
"2014-10-05",85
"2014-10-12",84
"2014-10-19",85
"2014-10-26",84
"2014-11-02",82
"2014-11-09",82
"2014-11-16",83
"2014-11-23",81
"2014-11-30",75
"2014-12-07",77
"2014-12-14",70
"2014-12-21",83
"2014-12-28",79
"2015-01-04",76
"2015-01-11",73
"2015-01-18",73
"2015-01-25",75
"2015-02-01",73
"2015-02-08",73
"2015-02-15",74
"2015-02-22",74
"2015-03-01",72
"2015-03-08",72
"2015-03-15",73
"2015-03-22",75
"2015-03-29",73
"2015-04-05",75
"2015-04-12",74
"2015-04-19",77
"2015-04-26",74
"2015-05-03",76
"2015-05-10",78
"2015-05-17",77
"2015-05-24",79
"2015-05-31",75
"2015-06-07",77
"2015-06-14",78
"2015-06-21",80
"2015-06-28",79
"2015-07-05",83
"2015-07-12",78
"2015-07-19",83
"2015-07-26",81
"2015-08-02",83
"2015-08-09",82
"2015-08-16",79
"2015-08-23",82
"2015-08-30",77
"2015-09-06",74
"2015-09-13",76
"2015-09-20",74
"2015-09-27",79
"2015-10-04",82
"2015-10-11",78
"2015-10-18",74
"2015-10-25",76
"2015-11-01",78
"2015-11-08",77
"2015-11-15",77
"2015-11-22",76
"2015-11-29",73
"2015-12-06",69
"2015-12-13",74
"2015-12-20",77
"2015-12-27",85
"2016-01-03",84
"2016-01-10",86
"2016-01-17",85
"2016-01-24",86
"2016-01-31",87
"2016-02-07",85
"2016-02-14",83
"2016-02-21",87
"2016-02-28",88
"2016-03-06",88
"2016-03-13",87
"2016-03-20",85
"2016-03-27",85
"2016-04-03",83
"2016-04-10",87
"2016-04-17",84
"2016-04-24",89
"2016-05-01",83
"2016-05-08",87
"2016-05-15",82
"2016-05-22",90
"2016-05-29",88
"2016-06-05",87
"2016-06-12",87
"2016-06-19",91
"2016-06-26",84
"2016-07-03",90
"2016-07-10",86
"2016-07-17",86
"2016-07-24",89
"2016-07-31",86
"2016-08-07",82
"2016-08-14",83
"2016-08-21",84
"2016-08-28",82
"2016-09-04",76
"2016-09-11",77
"2016-09-18",77
"2016-09-25",74
"2016-10-02",76
"2016-10-09",77
"2016-10-16",78
"2016-10-23",75
"2016-10-30",74
"2016-11-06",75
"2016-11-13",74
"2016-11-20",76
"2016-11-27",73
"2016-12-04",72
"2016-12-11",69
"2016-12-18",76
"2016-12-25",74
"2017-01-01",76
"2017-01-08",75
"2017-01-15",74
"2017-01-22",77
"2017-01-29",74
"2017-02-05",72
"2017-02-12",74
"2017-02-19",71
"2017-02-26",77
"2017-03-05",69
"2017-03-12",74
"2017-03-19",75
"2017-03-26",72
"2017-04-02",71
"2017-04-09",68
"2017-04-16",73
"2017-04-23",74
"2017-04-30",72
"2017-05-07",73
"2017-05-14",75
"2017-05-21",77
"2017-05-28",72
"2017-06-04",70
"2017-06-11",78
"2017-06-18",80
"2017-06-25",76
"2017-07-02",77
"2017-07-09",78
"2017-07-16",75
"2017-07-23",77
"2017-07-30",81
"2017-08-06",75
"2017-08-13",76
"2017-08-20",78
"2017-08-27",75
"2017-09-03",76
"2017-09-10",71
"2017-09-17",75
"2017-09-24",70
"2017-10-01",72
"2017-10-08",72
"2017-10-15",65
"2017-10-22",67
"2017-10-29",68
"2017-11-05",67
"2017-11-12",63
"2017-11-19",63
"2017-11-26",59
"2017-12-03",63
"2017-12-10",59
"2017-12-17",63
"2017-12-24",64
"2017-12-31",62
"2018-01-07",59
"2018-01-14",61
"2018-01-21",60
"2018-01-28",60
"2018-02-04",62
"2018-02-11",61
"2018-02-18",61
"2018-02-25",61
"2018-03-04",59
"2018-03-11",60
"2018-03-18",63
"2018-03-25",62
"2018-04-01",60
"2018-04-08",60
"2018-04-15",55
"2018-04-22",62
"2018-04-29",58
"2018-05-06",56
"2018-05-13",57
"2018-05-20",58
"2018-05-27",58
"2018-06-03",59
"2018-06-10",61
"2018-06-17",61
"2018-06-24",63
"2018-07-01",59
"2018-07-08",61
"2018-07-15",59
"2018-07-22",61
"2018-07-29",61
"2018-08-05",60
"2018-08-12",58
"2018-08-19",57
"2018-08-26",61
"2018-09-02",63
"2018-09-09",58
"2018-09-16",57
"2018-09-23",57
"2018-09-30",55
"2018-10-07",55
"2018-10-14",53
"2018-10-21",53
"2018-10-28",56
"2018-11-04",55
"2018-11-11",55
"2018-11-18",58
