"date","north dakota"
"2013-12-01",84
"2013-12-08",86
"2013-12-15",85
"2013-12-22",100
"2013-12-29",95
"2014-01-05",83
"2014-01-12",84
"2014-01-19",83
"2014-01-26",82
"2014-02-02",91
"2014-02-09",86
"2014-02-16",85
"2014-02-23",86
"2014-03-02",85
"2014-03-09",89
"2014-03-16",91
"2014-03-23",82
"2014-03-30",83
"2014-04-06",89
"2014-04-13",85
"2014-04-20",87
"2014-04-27",82
"2014-05-04",88
"2014-05-11",83
"2014-05-18",85
"2014-05-25",91
"2014-06-01",87
"2014-06-08",88
"2014-06-15",89
"2014-06-22",84
"2014-06-29",91
"2014-07-06",81
"2014-07-13",91
"2014-07-20",86
"2014-07-27",86
"2014-08-03",82
"2014-08-10",86
"2014-08-17",90
"2014-08-24",92
"2014-08-31",85
"2014-09-07",81
"2014-09-14",80
"2014-09-21",85
"2014-09-28",80
"2014-10-05",76
"2014-10-12",81
"2014-10-19",79
"2014-10-26",84
"2014-11-02",79
"2014-11-09",79
"2014-11-16",74
"2014-11-23",75
"2014-11-30",76
"2014-12-07",72
"2014-12-14",78
"2014-12-21",81
"2014-12-28",78
"2015-01-04",79
"2015-01-11",74
"2015-01-18",70
"2015-01-25",75
"2015-02-01",72
"2015-02-08",74
"2015-02-15",73
"2015-02-22",71
"2015-03-01",68
"2015-03-08",73
"2015-03-15",75
"2015-03-22",76
"2015-03-29",76
"2015-04-05",75
"2015-04-12",78
"2015-04-19",81
"2015-04-26",78
"2015-05-03",76
"2015-05-10",76
"2015-05-17",82
"2015-05-24",83
"2015-05-31",86
"2015-06-07",80
"2015-06-14",79
"2015-06-21",86
"2015-06-28",86
"2015-07-05",76
"2015-07-12",84
"2015-07-19",91
"2015-07-26",79
"2015-08-02",80
"2015-08-09",81
"2015-08-16",81
"2015-08-23",81
"2015-08-30",76
"2015-09-06",71
"2015-09-13",73
"2015-09-20",81
"2015-09-27",81
"2015-10-04",72
"2015-10-11",76
"2015-10-18",76
"2015-10-25",69
"2015-11-01",76
"2015-11-08",74
"2015-11-15",69
"2015-11-22",68
"2015-11-29",73
"2015-12-06",74
"2015-12-13",73
"2015-12-20",81
"2015-12-27",80
"2016-01-03",88
"2016-01-10",87
"2016-01-17",86
"2016-01-24",96
"2016-01-31",85
"2016-02-07",89
"2016-02-14",90
"2016-02-21",89
"2016-02-28",86
"2016-03-06",85
"2016-03-13",91
"2016-03-20",84
"2016-03-27",88
"2016-04-03",84
"2016-04-10",89
"2016-04-17",90
"2016-04-24",85
"2016-05-01",91
"2016-05-08",88
"2016-05-15",97
"2016-05-22",99
"2016-05-29",98
"2016-06-05",91
"2016-06-12",98
"2016-06-19",97
"2016-06-26",92
"2016-07-03",95
"2016-07-10",87
"2016-07-17",92
"2016-07-24",90
"2016-07-31",93
"2016-08-07",86
"2016-08-14",88
"2016-08-21",87
"2016-08-28",79
"2016-09-04",86
"2016-09-11",84
"2016-09-18",80
"2016-09-25",79
"2016-10-02",84
"2016-10-09",83
"2016-10-16",86
"2016-10-23",83
"2016-10-30",82
"2016-11-06",82
"2016-11-13",78
"2016-11-20",76
"2016-11-27",78
"2016-12-04",76
"2016-12-11",72
"2016-12-18",82
"2016-12-25",85
"2017-01-01",80
"2017-01-08",78
"2017-01-15",76
"2017-01-22",79
"2017-01-29",79
"2017-02-05",73
"2017-02-12",78
"2017-02-19",79
"2017-02-26",76
"2017-03-05",78
"2017-03-12",83
"2017-03-19",77
"2017-03-26",78
"2017-04-02",71
"2017-04-09",76
"2017-04-16",79
"2017-04-23",76
"2017-04-30",77
"2017-05-07",80
"2017-05-14",80
"2017-05-21",82
"2017-05-28",85
"2017-06-04",81
"2017-06-11",79
"2017-06-18",85
"2017-06-25",82
"2017-07-02",85
"2017-07-09",78
"2017-07-16",75
"2017-07-23",82
"2017-07-30",80
"2017-08-06",83
"2017-08-13",80
"2017-08-20",80
"2017-08-27",82
"2017-09-03",74
"2017-09-10",72
"2017-09-17",72
"2017-09-24",70
"2017-10-01",76
"2017-10-08",71
"2017-10-15",75
"2017-10-22",70
"2017-10-29",71
"2017-11-05",70
"2017-11-12",64
"2017-11-19",67
"2017-11-26",60
"2017-12-03",62
"2017-12-10",65
"2017-12-17",64
"2017-12-24",67
"2017-12-31",64
"2018-01-07",64
"2018-01-14",62
"2018-01-21",61
"2018-01-28",61
"2018-02-04",60
"2018-02-11",59
"2018-02-18",59
"2018-02-25",59
"2018-03-04",59
"2018-03-11",60
"2018-03-18",59
"2018-03-25",64
"2018-04-01",59
"2018-04-08",61
"2018-04-15",57
"2018-04-22",56
"2018-04-29",56
"2018-05-06",53
"2018-05-13",55
"2018-05-20",57
"2018-05-27",56
"2018-06-03",62
"2018-06-10",59
"2018-06-17",59
"2018-06-24",64
"2018-07-01",62
"2018-07-08",58
"2018-07-15",58
"2018-07-22",59
"2018-07-29",66
"2018-08-05",62
"2018-08-12",56
"2018-08-19",55
"2018-08-26",57
"2018-09-02",56
"2018-09-09",54
"2018-09-16",55
"2018-09-23",53
"2018-09-30",54
"2018-10-07",55
"2018-10-14",54
"2018-10-21",55
"2018-10-28",54
"2018-11-04",51
"2018-11-11",55
"2018-11-18",52
