"date","oregon"
"2013-12-01",100
"2013-12-08",84
"2013-12-15",77
"2013-12-22",86
"2013-12-29",80
"2014-01-05",77
"2014-01-12",71
"2014-01-19",67
"2014-01-26",68
"2014-02-02",72
"2014-02-09",71
"2014-02-16",71
"2014-02-23",69
"2014-03-02",50
"2014-03-09",50
"2014-03-16",49
"2014-03-23",52
"2014-03-30",60
"2014-04-06",61
"2014-04-13",61
"2014-04-20",61
"2014-04-27",62
"2014-05-04",61
"2014-05-11",60
"2014-05-18",60
"2014-05-25",62
"2014-06-01",60
"2014-06-08",60
"2014-06-15",63
"2014-06-22",63
"2014-06-29",60
"2014-07-06",62
"2014-07-13",60
"2014-07-20",64
"2014-07-27",62
"2014-08-03",62
"2014-08-10",59
"2014-08-17",61
"2014-08-24",58
"2014-08-31",58
"2014-09-07",55
"2014-09-14",55
"2014-09-21",53
"2014-09-28",73
"2014-10-05",79
"2014-10-12",78
"2014-10-19",79
"2014-10-26",78
"2014-11-02",75
"2014-11-09",74
"2014-11-16",73
"2014-11-23",75
"2014-11-30",72
"2014-12-07",75
"2014-12-14",78
"2014-12-21",83
"2014-12-28",78
"2015-01-04",76
"2015-01-11",70
"2015-01-18",71
"2015-01-25",73
"2015-02-01",70
"2015-02-08",71
"2015-02-15",71
"2015-02-22",69
"2015-03-01",71
"2015-03-08",76
"2015-03-15",73
"2015-03-22",74
"2015-03-29",72
"2015-04-05",75
"2015-04-12",73
"2015-04-19",70
"2015-04-26",71
"2015-05-03",68
"2015-05-10",55
"2015-05-17",48
"2015-05-24",45
"2015-05-31",42
"2015-06-07",45
"2015-06-14",44
"2015-06-21",46
"2015-06-28",47
"2015-07-05",47
"2015-07-12",45
"2015-07-19",46
"2015-07-26",45
"2015-08-02",44
"2015-08-09",47
"2015-08-16",47
"2015-08-23",49
"2015-08-30",48
"2015-09-06",48
"2015-09-13",50
"2015-09-20",50
"2015-09-27",53
"2015-10-04",50
"2015-10-11",47
"2015-10-18",43
"2015-10-25",42
"2015-11-01",43
"2015-11-08",43
"2015-11-15",41
"2015-11-22",41
"2015-11-29",41
"2015-12-06",42
"2015-12-13",43
"2015-12-20",46
"2015-12-27",46
"2016-01-03",48
"2016-01-10",48
"2016-01-17",48
"2016-01-24",46
"2016-01-31",45
"2016-02-07",46
"2016-02-14",48
"2016-02-21",48
"2016-02-28",44
"2016-03-06",45
"2016-03-13",45
"2016-03-20",49
"2016-03-27",47
"2016-04-03",48
"2016-04-10",49
"2016-04-17",45
"2016-04-24",46
"2016-05-01",47
"2016-05-08",49
"2016-05-15",48
"2016-05-22",49
"2016-05-29",51
"2016-06-05",48
"2016-06-12",50
"2016-06-19",49
"2016-06-26",48
"2016-07-03",51
"2016-07-10",47
"2016-07-17",44
"2016-07-24",41
"2016-07-31",43
"2016-08-07",42
"2016-08-14",41
"2016-08-21",44
"2016-08-28",42
"2016-09-04",37
"2016-09-11",37
"2016-09-18",39
"2016-09-25",41
"2016-10-02",39
"2016-10-09",40
"2016-10-16",42
"2016-10-23",40
"2016-10-30",42
"2016-11-06",43
"2016-11-13",42
"2016-11-20",40
"2016-11-27",37
"2016-12-04",38
"2016-12-11",38
"2016-12-18",40
"2016-12-25",41
"2017-01-01",43
"2017-01-08",40
"2017-01-15",38
"2017-01-22",39
"2017-01-29",38
"2017-02-05",36
"2017-02-12",39
"2017-02-19",39
"2017-02-26",38
"2017-03-05",39
"2017-03-12",37
"2017-03-19",38
"2017-03-26",39
"2017-04-02",38
"2017-04-09",38
"2017-04-16",39
"2017-04-23",37
"2017-04-30",37
"2017-05-07",38
"2017-05-14",37
"2017-05-21",36
"2017-05-28",38
"2017-06-04",37
"2017-06-11",38
"2017-06-18",39
"2017-06-25",39
"2017-07-02",39
"2017-07-09",39
"2017-07-16",38
"2017-07-23",37
"2017-07-30",38
"2017-08-06",37
"2017-08-13",40
"2017-08-20",38
"2017-08-27",37
"2017-09-03",36
"2017-09-10",36
"2017-09-17",35
"2017-09-24",34
"2017-10-01",35
"2017-10-08",34
"2017-10-15",33
"2017-10-22",29
"2017-10-29",32
"2017-11-05",30
"2017-11-12",30
"2017-11-19",31
"2017-11-26",30
"2017-12-03",31
"2017-12-10",29
"2017-12-17",32
"2017-12-24",32
"2017-12-31",31
"2018-01-07",30
"2018-01-14",30
"2018-01-21",30
"2018-01-28",30
"2018-02-04",29
"2018-02-11",29
"2018-02-18",28
"2018-02-25",29
"2018-03-04",28
"2018-03-11",28
"2018-03-18",30
"2018-03-25",31
"2018-04-01",29
"2018-04-08",29
"2018-04-15",27
"2018-04-22",27
"2018-04-29",27
"2018-05-06",27
"2018-05-13",28
"2018-05-20",28
"2018-05-27",28
"2018-06-03",27
"2018-06-10",27
"2018-06-17",28
"2018-06-24",29
"2018-07-01",29
"2018-07-08",29
"2018-07-15",28
"2018-07-22",31
"2018-07-29",33
"2018-08-05",31
"2018-08-12",31
"2018-08-19",30
"2018-08-26",30
"2018-09-02",32
"2018-09-09",31
"2018-09-16",30
"2018-09-23",29
"2018-09-30",30
"2018-10-07",30
"2018-10-14",29
"2018-10-21",29
"2018-10-28",30
"2018-11-04",29
"2018-11-11",28
"2018-11-18",29
