"date","south dakota"
"2013-12-01",86
"2013-12-08",80
"2013-12-15",90
"2013-12-22",100
"2013-12-29",88
"2014-01-05",78
"2014-01-12",82
"2014-01-19",78
"2014-01-26",76
"2014-02-02",85
"2014-02-09",80
"2014-02-16",77
"2014-02-23",84
"2014-03-02",75
"2014-03-09",81
"2014-03-16",80
"2014-03-23",81
"2014-03-30",79
"2014-04-06",82
"2014-04-13",77
"2014-04-20",83
"2014-04-27",84
"2014-05-04",83
"2014-05-11",87
"2014-05-18",90
"2014-05-25",93
"2014-06-01",87
"2014-06-08",86
"2014-06-15",84
"2014-06-22",83
"2014-06-29",88
"2014-07-06",87
"2014-07-13",89
"2014-07-20",86
"2014-07-27",82
"2014-08-03",85
"2014-08-10",87
"2014-08-17",88
"2014-08-24",79
"2014-08-31",77
"2014-09-07",77
"2014-09-14",74
"2014-09-21",76
"2014-09-28",77
"2014-10-05",75
"2014-10-12",75
"2014-10-19",75
"2014-10-26",78
"2014-11-02",71
"2014-11-09",79
"2014-11-16",69
"2014-11-23",74
"2014-11-30",70
"2014-12-07",73
"2014-12-14",74
"2014-12-21",80
"2014-12-28",75
"2015-01-04",69
"2015-01-11",71
"2015-01-18",69
"2015-01-25",70
"2015-02-01",69
"2015-02-08",67
"2015-02-15",68
"2015-02-22",71
"2015-03-01",65
"2015-03-08",69
"2015-03-15",69
"2015-03-22",71
"2015-03-29",71
"2015-04-05",72
"2015-04-12",71
"2015-04-19",72
"2015-04-26",75
"2015-05-03",67
"2015-05-10",76
"2015-05-17",73
"2015-05-24",75
"2015-05-31",75
"2015-06-07",76
"2015-06-14",69
"2015-06-21",82
"2015-06-28",79
"2015-07-05",74
"2015-07-12",72
"2015-07-19",76
"2015-07-26",75
"2015-08-02",78
"2015-08-09",80
"2015-08-16",78
"2015-08-23",78
"2015-08-30",68
"2015-09-06",64
"2015-09-13",67
"2015-09-20",71
"2015-09-27",73
"2015-10-04",70
"2015-10-11",66
"2015-10-18",68
"2015-10-25",68
"2015-11-01",67
"2015-11-08",67
"2015-11-15",72
"2015-11-22",69
"2015-11-29",66
"2015-12-06",81
"2015-12-13",79
"2015-12-20",78
"2015-12-27",82
"2016-01-03",82
"2016-01-10",81
"2016-01-17",81
"2016-01-24",79
"2016-01-31",76
"2016-02-07",83
"2016-02-14",86
"2016-02-21",83
"2016-02-28",79
"2016-03-06",87
"2016-03-13",80
"2016-03-20",82
"2016-03-27",86
"2016-04-03",87
"2016-04-10",85
"2016-04-17",81
"2016-04-24",82
"2016-05-01",80
"2016-05-08",84
"2016-05-15",87
"2016-05-22",87
"2016-05-29",92
"2016-06-05",93
"2016-06-12",85
"2016-06-19",85
"2016-06-26",88
"2016-07-03",94
"2016-07-10",89
"2016-07-17",91
"2016-07-24",86
"2016-07-31",89
"2016-08-07",78
"2016-08-14",80
"2016-08-21",79
"2016-08-28",72
"2016-09-04",71
"2016-09-11",72
"2016-09-18",68
"2016-09-25",72
"2016-10-02",73
"2016-10-09",70
"2016-10-16",71
"2016-10-23",75
"2016-10-30",69
"2016-11-06",71
"2016-11-13",67
"2016-11-20",75
"2016-11-27",74
"2016-12-04",69
"2016-12-11",71
"2016-12-18",72
"2016-12-25",77
"2017-01-01",71
"2017-01-08",68
"2017-01-15",70
"2017-01-22",76
"2017-01-29",70
"2017-02-05",68
"2017-02-12",74
"2017-02-19",74
"2017-02-26",66
"2017-03-05",72
"2017-03-12",70
"2017-03-19",71
"2017-03-26",74
"2017-04-02",74
"2017-04-09",75
"2017-04-16",80
"2017-04-23",73
"2017-04-30",72
"2017-05-07",76
"2017-05-14",72
"2017-05-21",79
"2017-05-28",84
"2017-06-04",77
"2017-06-11",80
"2017-06-18",79
"2017-06-25",80
"2017-07-02",84
"2017-07-09",79
"2017-07-16",77
"2017-07-23",81
"2017-07-30",84
"2017-08-06",81
"2017-08-13",79
"2017-08-20",74
"2017-08-27",75
"2017-09-03",74
"2017-09-10",73
"2017-09-17",70
"2017-09-24",73
"2017-10-01",68
"2017-10-08",70
"2017-10-15",70
"2017-10-22",67
"2017-10-29",68
"2017-11-05",68
"2017-11-12",68
"2017-11-19",65
"2017-11-26",62
"2017-12-03",65
"2017-12-10",68
"2017-12-17",67
"2017-12-24",76
"2017-12-31",65
"2018-01-07",61
"2018-01-14",61
"2018-01-21",62
"2018-01-28",65
"2018-02-04",64
"2018-02-11",66
"2018-02-18",63
"2018-02-25",61
"2018-03-04",62
"2018-03-11",62
"2018-03-18",61
"2018-03-25",61
"2018-04-01",64
"2018-04-08",64
"2018-04-15",60
"2018-04-22",64
"2018-04-29",61
"2018-05-06",59
"2018-05-13",63
"2018-05-20",64
"2018-05-27",61
"2018-06-03",64
"2018-06-10",68
"2018-06-17",64
"2018-06-24",64
"2018-07-01",67
"2018-07-08",65
"2018-07-15",62
"2018-07-22",66
"2018-07-29",62
"2018-08-05",64
"2018-08-12",65
"2018-08-19",59
"2018-08-26",60
"2018-09-02",58
"2018-09-09",61
"2018-09-16",57
"2018-09-23",58
"2018-09-30",58
"2018-10-07",59
"2018-10-14",54
"2018-10-21",55
"2018-10-28",55
"2018-11-04",54
"2018-11-11",57
"2018-11-18",53
