"date","utah"
"2013-12-01",88
"2013-12-08",91
"2013-12-15",90
"2013-12-22",100
"2013-12-29",90
"2014-01-05",86
"2014-01-12",89
"2014-01-19",86
"2014-01-26",87
"2014-02-02",88
"2014-02-09",83
"2014-02-16",85
"2014-02-23",83
"2014-03-02",81
"2014-03-09",86
"2014-03-16",85
"2014-03-23",86
"2014-03-30",85
"2014-04-06",87
"2014-04-13",85
"2014-04-20",87
"2014-04-27",88
"2014-05-04",82
"2014-05-11",84
"2014-05-18",82
"2014-05-25",87
"2014-06-01",80
"2014-06-08",86
"2014-06-15",87
"2014-06-22",86
"2014-06-29",85
"2014-07-06",85
"2014-07-13",87
"2014-07-20",83
"2014-07-27",84
"2014-08-03",83
"2014-08-10",86
"2014-08-17",92
"2014-08-24",89
"2014-08-31",86
"2014-09-07",82
"2014-09-14",84
"2014-09-21",83
"2014-09-28",82
"2014-10-05",81
"2014-10-12",83
"2014-10-19",84
"2014-10-26",83
"2014-11-02",77
"2014-11-09",78
"2014-11-16",77
"2014-11-23",77
"2014-11-30",76
"2014-12-07",77
"2014-12-14",75
"2014-12-21",84
"2014-12-28",80
"2015-01-04",74
"2015-01-11",73
"2015-01-18",73
"2015-01-25",73
"2015-02-01",70
"2015-02-08",73
"2015-02-15",72
"2015-02-22",72
"2015-03-01",71
"2015-03-08",72
"2015-03-15",72
"2015-03-22",71
"2015-03-29",74
"2015-04-05",74
"2015-04-12",74
"2015-04-19",73
"2015-04-26",74
"2015-05-03",74
"2015-05-10",78
"2015-05-17",76
"2015-05-24",78
"2015-05-31",81
"2015-06-07",86
"2015-06-14",78
"2015-06-21",82
"2015-06-28",78
"2015-07-05",79
"2015-07-12",80
"2015-07-19",80
"2015-07-26",82
"2015-08-02",79
"2015-08-09",82
"2015-08-16",77
"2015-08-23",78
"2015-08-30",73
"2015-09-06",73
"2015-09-13",75
"2015-09-20",78
"2015-09-27",80
"2015-10-04",76
"2015-10-11",78
"2015-10-18",74
"2015-10-25",74
"2015-11-01",75
"2015-11-08",75
"2015-11-15",75
"2015-11-22",73
"2015-11-29",69
"2015-12-06",71
"2015-12-13",71
"2015-12-20",79
"2015-12-27",82
"2016-01-03",88
"2016-01-10",87
"2016-01-17",89
"2016-01-24",92
"2016-01-31",91
"2016-02-07",88
"2016-02-14",91
"2016-02-21",89
"2016-02-28",88
"2016-03-06",87
"2016-03-13",91
"2016-03-20",89
"2016-03-27",90
"2016-04-03",90
"2016-04-10",88
"2016-04-17",87
"2016-04-24",86
"2016-05-01",86
"2016-05-08",91
"2016-05-15",89
"2016-05-22",94
"2016-05-29",95
"2016-06-05",92
"2016-06-12",89
"2016-06-19",89
"2016-06-26",86
"2016-07-03",84
"2016-07-10",86
"2016-07-17",86
"2016-07-24",84
"2016-07-31",83
"2016-08-07",82
"2016-08-14",81
"2016-08-21",85
"2016-08-28",80
"2016-09-04",76
"2016-09-11",75
"2016-09-18",77
"2016-09-25",75
"2016-10-02",75
"2016-10-09",75
"2016-10-16",80
"2016-10-23",75
"2016-10-30",77
"2016-11-06",75
"2016-11-13",74
"2016-11-20",74
"2016-11-27",69
"2016-12-04",71
"2016-12-11",72
"2016-12-18",74
"2016-12-25",76
"2017-01-01",71
"2017-01-08",74
"2017-01-15",72
"2017-01-22",72
"2017-01-29",72
"2017-02-05",70
"2017-02-12",70
"2017-02-19",68
"2017-02-26",69
"2017-03-05",67
"2017-03-12",69
"2017-03-19",67
"2017-03-26",70
"2017-04-02",71
"2017-04-09",69
"2017-04-16",72
"2017-04-23",69
"2017-04-30",72
"2017-05-07",74
"2017-05-14",70
"2017-05-21",73
"2017-05-28",72
"2017-06-04",72
"2017-06-11",73
"2017-06-18",73
"2017-06-25",72
"2017-07-02",72
"2017-07-09",72
"2017-07-16",71
"2017-07-23",73
"2017-07-30",72
"2017-08-06",67
"2017-08-13",70
"2017-08-20",68
"2017-08-27",67
"2017-09-03",64
"2017-09-10",63
"2017-09-17",63
"2017-09-24",63
"2017-10-01",63
"2017-10-08",59
"2017-10-15",61
"2017-10-22",60
"2017-10-29",60
"2017-11-05",57
"2017-11-12",57
"2017-11-19",58
"2017-11-26",52
"2017-12-03",56
"2017-12-10",57
"2017-12-17",58
"2017-12-24",59
"2017-12-31",54
"2018-01-07",54
"2018-01-14",53
"2018-01-21",54
"2018-01-28",52
"2018-02-04",53
"2018-02-11",54
"2018-02-18",52
"2018-02-25",50
"2018-03-04",51
"2018-03-11",53
"2018-03-18",55
"2018-03-25",54
"2018-04-01",53
"2018-04-08",53
"2018-04-15",50
"2018-04-22",50
"2018-04-29",50
"2018-05-06",50
"2018-05-13",51
"2018-05-20",49
"2018-05-27",53
"2018-06-03",52
"2018-06-10",52
"2018-06-17",54
"2018-06-24",51
"2018-07-01",52
"2018-07-08",54
"2018-07-15",52
"2018-07-22",53
"2018-07-29",54
"2018-08-05",51
"2018-08-12",53
"2018-08-19",52
"2018-08-26",51
"2018-09-02",51
"2018-09-09",51
"2018-09-16",50
"2018-09-23",51
"2018-09-30",48
"2018-10-07",47
"2018-10-14",46
"2018-10-21",46
"2018-10-28",47
"2018-11-04",46
"2018-11-11",48
"2018-11-18",49
