Category: All categories

Week,Amazon.com: (United States)
2013-12-01,82
2013-12-08,76
2013-12-15,74
2013-12-22,70
2013-12-29,60
2014-01-05,54
2014-01-12,52
2014-01-19,51
2014-01-26,49
2014-02-02,48
2014-02-09,48
2014-02-16,49
2014-02-23,48
2014-03-02,49
2014-03-09,47
2014-03-16,47
2014-03-23,47
2014-03-30,47
2014-04-06,45
2014-04-13,47
2014-04-20,46
2014-04-27,47
2014-05-04,47
2014-05-11,46
2014-05-18,46
2014-05-25,46
2014-06-01,49
2014-06-08,49
2014-06-15,52
2014-06-22,47
2014-06-29,48
2014-07-06,49
2014-07-13,49
2014-07-20,50
2014-07-27,51
2014-08-03,52
2014-08-10,51
2014-08-17,53
2014-08-24,53
2014-08-31,52
2014-09-07,50
2014-09-14,51
2014-09-21,50
2014-09-28,50
2014-10-05,50
2014-10-12,50
2014-10-19,52
2014-10-26,49
2014-11-02,53
2014-11-09,56
2014-11-16,59
2014-11-23,75
2014-11-30,80
2014-12-07,76
2014-12-14,78
2014-12-21,70
2014-12-28,65
2015-01-04,56
2015-01-11,54
2015-01-18,55
2015-01-25,52
2015-02-01,50
2015-02-08,51
2015-02-15,50
2015-02-22,50
2015-03-01,50
2015-03-08,50
2015-03-15,49
2015-03-22,49
2015-03-29,51
2015-04-05,48
2015-04-12,49
2015-04-19,49
2015-04-26,47
2015-05-03,50
2015-05-10,50
2015-05-17,50
2015-05-24,51
2015-05-31,52
2015-06-07,52
2015-06-14,53
2015-06-21,55
2015-06-28,54
2015-07-05,57
2015-07-12,75
2015-07-19,57
2015-07-26,58
2015-08-02,58
2015-08-09,59
2015-08-16,61
2015-08-23,61
2015-08-30,58
2015-09-06,55
2015-09-13,53
2015-09-20,55
2015-09-27,57
2015-10-04,55
2015-10-11,56
2015-10-18,56
2015-10-25,55
2015-11-01,57
2015-11-08,60
2015-11-15,62
2015-11-22,87
2015-11-29,90
2015-12-06,81
2015-12-13,84
2015-12-20,79
2015-12-27,70
2016-01-03,55
2016-01-10,51
2016-01-17,52
2016-01-24,49
2016-01-31,49
2016-02-07,49
2016-02-14,48
2016-02-21,49
2016-02-28,47
2016-03-06,47
2016-03-13,46
2016-03-20,47
2016-03-27,47
2016-04-03,48
2016-04-10,48
2016-04-17,46
2016-04-24,47
2016-05-01,49
2016-05-08,48
2016-05-15,49
2016-05-22,49
2016-05-29,49
2016-06-05,49
2016-06-12,50
2016-06-19,51
2016-06-26,51
2016-07-03,51
2016-07-10,62
2016-07-17,51
2016-07-24,52
2016-07-31,52
2016-08-07,51
2016-08-14,52
2016-08-21,56
2016-08-28,54
2016-09-04,52
2016-09-11,51
2016-09-18,49
2016-09-25,49
2016-10-02,48
2016-10-09,50
2016-10-16,52
2016-10-23,50
2016-10-30,50
2016-11-06,48
2016-11-13,58
2016-11-20,79
2016-11-27,80
2016-12-04,74
2016-12-11,81
2016-12-18,77
2016-12-25,72
2017-01-01,61
2017-01-08,59
2017-01-15,56
2017-01-22,54
2017-01-29,53
2017-02-05,51
2017-02-12,50
2017-02-19,53
2017-02-26,54
2017-03-05,53
2017-03-12,52
2017-03-19,53
2017-03-26,53
2017-04-02,52
2017-04-09,52
2017-04-16,53
2017-04-23,56
2017-04-30,58
2017-05-07,58
2017-05-14,56
2017-05-21,55
2017-05-28,56
2017-06-04,59
2017-06-11,59
2017-06-18,59
2017-06-25,59
2017-07-02,60
2017-07-09,75
2017-07-16,60
2017-07-23,61
2017-07-30,64
2017-08-06,62
2017-08-13,63
2017-08-20,61
2017-08-27,61
2017-09-03,58
2017-09-10,58
2017-09-17,59
2017-09-24,59
2017-10-01,59
2017-10-08,60
2017-10-15,61
2017-10-22,64
2017-10-29,59
2017-11-05,64
2017-11-12,69
2017-11-19,88
2017-11-26,92
2017-12-03,83
2017-12-10,89
2017-12-17,88
2017-12-24,81
2017-12-31,69
2018-01-07,66
2018-01-14,66
2018-01-21,62
2018-01-28,62
2018-02-04,61
2018-02-11,57
2018-02-18,59
2018-02-25,62
2018-03-04,61
2018-03-11,60
2018-03-18,60
2018-03-25,61
2018-04-01,60
2018-04-08,57
2018-04-15,57
2018-04-22,58
2018-04-29,57
2018-05-06,58
2018-05-13,57
2018-05-20,57
2018-05-27,59
2018-06-03,59
2018-06-10,60
2018-06-17,57
2018-06-24,61
2018-07-01,60
2018-07-08,64
2018-07-15,86
2018-07-22,62
2018-07-29,62
2018-08-05,64
2018-08-12,62
2018-08-19,62
2018-08-26,61
2018-09-02,61
2018-09-09,58
2018-09-16,58
2018-09-23,57
2018-09-30,60
2018-10-07,61
2018-10-14,60
2018-10-21,60
2018-10-28,58
2018-11-04,60
2018-11-11,69
2018-11-18,83
2018-11-25,100
