Category: All categories

Week,"Facebook, Inc.: (United States)"
2013-12-01,10
2013-12-08,26
2013-12-15,11
2013-12-22,13
2013-12-29,0
2014-01-05,21
2014-01-12,0
2014-01-19,10
2014-01-26,10
2014-02-02,38
2014-02-09,20
2014-02-16,36
2014-02-23,15
2014-03-02,20
2014-03-09,10
2014-03-16,10
2014-03-23,15
2014-03-30,41
2014-04-06,26
2014-04-13,21
2014-04-20,10
2014-04-27,15
2014-05-04,10
2014-05-11,11
2014-05-18,11
2014-05-25,25
2014-06-01,0
2014-06-08,0
2014-06-15,19
2014-06-22,31
2014-06-29,13
2014-07-06,18
2014-07-13,24
2014-07-20,24
2014-07-27,12
2014-08-03,26
2014-08-10,24
2014-08-17,0
2014-08-24,24
2014-08-31,23
2014-09-07,23
2014-09-14,0
2014-09-21,29
2014-09-28,11
2014-10-05,23
2014-10-12,23
2014-10-19,45
2014-10-26,23
2014-11-02,34
2014-11-09,17
2014-11-16,11
2014-11-23,24
2014-11-30,48
2014-12-07,22
2014-12-14,18
2014-12-21,0
2014-12-28,0
2015-01-04,23
2015-01-11,22
2015-01-18,34
2015-01-25,33
2015-02-01,21
2015-02-08,32
2015-02-15,22
2015-02-22,16
2015-03-01,22
2015-03-08,11
2015-03-15,28
2015-03-22,12
2015-03-29,12
2015-04-05,11
2015-04-12,17
2015-04-19,56
2015-04-26,40
2015-05-03,23
2015-05-10,29
2015-05-17,48
2015-05-24,0
2015-05-31,24
2015-06-07,12
2015-06-14,18
2015-06-21,0
2015-06-28,13
2015-07-05,30
2015-07-12,12
2015-07-19,18
2015-07-26,24
2015-08-02,12
2015-08-09,24
2015-08-16,0
2015-08-23,17
2015-08-30,11
2015-09-06,35
2015-09-13,22
2015-09-20,28
2015-09-27,16
2015-10-04,22
2015-10-11,11
2015-10-18,16
2015-10-25,32
2015-11-01,16
2015-11-08,22
2015-11-15,11
2015-11-22,35
2015-11-29,16
2015-12-06,31
2015-12-13,22
2015-12-20,19
2015-12-27,18
2016-01-03,23
2016-01-10,22
2016-01-17,36
2016-01-24,9
2016-01-31,35
2016-02-07,31
2016-02-14,22
2016-02-21,18
2016-02-28,26
2016-03-06,26
2016-03-13,27
2016-03-20,23
2016-03-27,32
2016-04-03,31
2016-04-10,18
2016-04-17,22
2016-04-24,26
2016-05-01,22
2016-05-08,9
2016-05-15,18
2016-05-22,14
2016-05-29,10
2016-06-05,32
2016-06-12,9
2016-06-19,14
2016-06-26,9
2016-07-03,35
2016-07-10,29
2016-07-17,14
2016-07-24,33
2016-07-31,10
2016-08-07,20
2016-08-14,31
2016-08-21,15
2016-08-28,18
2016-09-04,14
2016-09-11,22
2016-09-18,13
2016-09-25,22
2016-10-02,22
2016-10-09,18
2016-10-16,9
2016-10-23,18
2016-10-30,18
2016-11-06,33
2016-11-13,22
2016-11-20,37
2016-11-27,24
2016-12-04,8
2016-12-11,8
2016-12-18,9
2016-12-25,18
2017-01-01,13
2017-01-08,8
2017-01-15,25
2017-01-22,20
2017-01-29,20
2017-02-05,8
2017-02-12,16
2017-02-19,16
2017-02-26,27
2017-03-05,27
2017-03-12,16
2017-03-19,16
2017-03-26,16
2017-04-02,16
2017-04-09,8
2017-04-16,24
2017-04-23,32
2017-04-30,12
2017-05-07,17
2017-05-14,22
2017-05-21,13
2017-05-28,9
2017-06-04,13
2017-06-11,22
2017-06-18,38
2017-06-25,27
2017-07-02,14
2017-07-09,35
2017-07-16,18
2017-07-23,13
2017-07-30,17
2017-08-06,30
2017-08-13,43
2017-08-20,25
2017-08-27,25
2017-09-03,8
2017-09-10,16
2017-09-17,12
2017-09-24,16
2017-10-01,24
2017-10-08,20
2017-10-15,41
2017-10-22,16
2017-10-29,24
2017-11-05,8
2017-11-12,20
2017-11-19,13
2017-11-26,16
2017-12-03,59
2017-12-10,28
2017-12-17,30
2017-12-24,0
2017-12-31,25
2018-01-07,36
2018-01-14,20
2018-01-21,23
2018-01-28,23
2018-02-04,27
2018-02-11,23
2018-02-18,23
2018-02-25,23
2018-03-04,12
2018-03-11,27
2018-03-18,94
2018-03-25,73
2018-04-01,48
2018-04-08,87
2018-04-15,58
2018-04-22,27
2018-04-29,39
2018-05-06,24
2018-05-13,16
2018-05-20,8
2018-05-27,25
2018-06-03,33
2018-06-10,24
2018-06-17,17
2018-06-24,8
2018-07-01,21
2018-07-08,17
2018-07-15,17
2018-07-22,100
2018-07-29,29
2018-08-05,42
2018-08-12,29
2018-08-19,17
2018-08-26,25
2018-09-02,16
2018-09-09,27
2018-09-16,24
2018-09-23,36
2018-09-30,32
2018-10-07,24
2018-10-14,29
2018-10-21,32
2018-10-28,24
2018-11-04,30
2018-11-11,20
2018-11-18,21
2018-11-25,27
