Category: All categories

Week,Twitter: (United States)
2013-12-01,98
2013-12-08,92
2013-12-15,92
2013-12-22,95
2013-12-29,97
2014-01-05,93
2014-01-12,91
2014-01-19,97
2014-01-26,96
2014-02-02,100
2014-02-09,95
2014-02-16,92
2014-02-23,89
2014-03-02,98
2014-03-09,96
2014-03-16,93
2014-03-23,91
2014-03-30,91
2014-04-06,90
2014-04-13,91
2014-04-20,90
2014-04-27,90
2014-05-04,89
2014-05-11,92
2014-05-18,90
2014-05-25,91
2014-06-01,92
2014-06-08,92
2014-06-15,92
2014-06-22,92
2014-06-29,92
2014-07-06,96
2014-07-13,92
2014-07-20,91
2014-07-27,91
2014-08-03,90
2014-08-10,96
2014-08-17,90
2014-08-24,88
2014-08-31,94
2014-09-07,87
2014-09-14,85
2014-09-21,87
2014-09-28,83
2014-10-05,83
2014-10-12,82
2014-10-19,81
2014-10-26,80
2014-11-02,83
2014-11-09,84
2014-11-16,82
2014-11-23,82
2014-11-30,80
2014-12-07,78
2014-12-14,77
2014-12-21,83
2014-12-28,88
2015-01-04,83
2015-01-11,80
2015-01-18,79
2015-01-25,81
2015-02-01,84
2015-02-08,77
2015-02-15,85
2015-02-22,85
2015-03-01,80
2015-03-08,80
2015-03-15,76
2015-03-22,76
2015-03-29,76
2015-04-05,76
2015-04-12,75
2015-04-19,74
2015-04-26,76
2015-05-03,75
2015-05-10,74
2015-05-17,72
2015-05-24,72
2015-05-31,73
2015-06-07,74
2015-06-14,74
2015-06-21,78
2015-06-28,73
2015-07-05,75
2015-07-12,79
2015-07-19,81
2015-07-26,80
2015-08-02,77
2015-08-09,74
2015-08-16,75
2015-08-23,78
2015-08-30,74
2015-09-06,70
2015-09-13,70
2015-09-20,70
2015-09-27,70
2015-10-04,69
2015-10-11,76
2015-10-18,70
2015-10-25,70
2015-11-01,71
2015-11-08,73
2015-11-15,71
2015-11-22,66
2015-11-29,67
2015-12-06,68
2015-12-13,66
2015-12-20,68
2015-12-27,68
2016-01-03,67
2016-01-10,69
2016-01-17,72
2016-01-24,78
2016-01-31,70
2016-02-07,72
2016-02-14,75
2016-02-21,71
2016-02-28,72
2016-03-06,76
2016-03-13,69
2016-03-20,71
2016-03-27,70
2016-04-03,68
2016-04-10,66
2016-04-17,67
2016-04-24,69
2016-05-01,68
2016-05-08,67
2016-05-15,67
2016-05-22,67
2016-05-29,69
2016-06-05,69
2016-06-12,77
2016-06-19,73
2016-06-26,69
2016-07-03,75
2016-07-10,68
2016-07-17,81
2016-07-24,81
2016-07-31,74
2016-08-07,68
2016-08-14,64
2016-08-21,65
2016-08-28,70
2016-09-04,64
2016-09-11,68
2016-09-18,67
2016-09-25,73
2016-10-02,75
2016-10-09,78
2016-10-16,79
2016-10-23,69
2016-10-30,69
2016-11-06,94
2016-11-13,66
2016-11-20,65
2016-11-27,65
2016-12-04,64
2016-12-11,63
2016-12-18,63
2016-12-25,62
2017-01-01,72
2017-01-08,77
2017-01-15,80
2017-01-22,84
2017-01-29,83
2017-02-05,86
2017-02-12,78
2017-02-19,72
2017-02-26,76
2017-03-05,73
2017-03-12,71
2017-03-19,73
2017-03-26,68
2017-04-02,67
2017-04-09,65
2017-04-16,63
2017-04-23,67
2017-04-30,67
2017-05-07,70
2017-05-14,71
2017-05-21,66
2017-05-28,69
2017-06-04,76
2017-06-11,71
2017-06-18,66
2017-06-25,74
2017-07-02,78
2017-07-09,68
2017-07-16,70
2017-07-23,75
2017-07-30,68
2017-08-06,68
2017-08-13,79
2017-08-20,68
2017-08-27,68
2017-09-03,63
2017-09-10,65
2017-09-17,66
2017-09-24,75
2017-10-01,68
2017-10-08,68
2017-10-15,64
2017-10-22,63
2017-10-29,70
2017-11-05,64
2017-11-12,64
2017-11-19,62
2017-11-26,67
2017-12-03,66
2017-12-10,70
2017-12-17,62
2017-12-24,60
2017-12-31,74
2018-01-07,71
2018-01-14,73
2018-01-21,67
2018-01-28,68
2018-02-04,73
2018-02-11,62
2018-02-18,69
2018-02-25,67
2018-03-04,66
2018-03-11,67
2018-03-18,70
2018-03-25,64
2018-04-01,66
2018-04-08,71
2018-04-15,66
2018-04-22,78
2018-04-29,67
2018-05-06,62
2018-05-13,62
2018-05-20,63
2018-05-27,81
2018-06-03,64
2018-06-10,67
2018-06-17,69
2018-06-24,68
2018-07-01,66
2018-07-08,63
2018-07-15,72
2018-07-22,70
2018-07-29,67
2018-08-05,70
2018-08-12,67
2018-08-19,72
2018-08-26,68
2018-09-02,72
2018-09-09,71
2018-09-16,65
2018-09-23,68
2018-09-30,64
2018-10-07,65
2018-10-14,62
2018-10-21,63
2018-10-28,64
2018-11-04,64
2018-11-11,64
2018-11-18,57
2018-11-25,59
