Category: All categories

Region,Amazon: (12/1/13 - 12/1/18)
Vermont,100
Maine,95
Washington,95
Alaska,95
Montana,93
Idaho,93
Wyoming,90
New Hampshire,90
Delaware,88
Maryland,84
New Jersey,84
Utah,83
North Dakota,83
Connecticut,82
Arizona,82
Rhode Island,81
New Mexico,80
California,80
West Virginia,79
Wisconsin,79
Colorado,79
New York,79
Pennsylvania,78
Massachusetts,78
Iowa,78
Hawaii,77
South Dakota,76
Florida,76
Ohio,76
Tennessee,75
Minnesota,75
Kentucky,75
South Carolina,74
North Carolina,74
Louisiana,74
Nevada,74
Nebraska,73
Indiana,73
Alabama,73
Missouri,73
Michigan,73
Oregon,73
Mississippi,72
Illinois,72
Arkansas,71
Virginia,71
Oklahoma,69
Georgia,68
Texas,67
Kansas,66
District of Columbia,64
