Category: All categories

Region,Bitcoin: (12/1/13 - 12/1/18)
Washington,100
California,100
Nevada,95
Hawaii,94
New York,91
New Jersey,87
Utah,87
Colorado,81
Florida,77
Illinois,77
Connecticut,76
Massachusetts,75
Alaska,72
Arizona,71
Maryland,71
New Hampshire,70
Montana,68
Pennsylvania,66
Oregon,66
Idaho,65
North Dakota,65
Minnesota,64
Michigan,64
Vermont,64
Delaware,64
Rhode Island,63
Texas,61
Ohio,59
Wisconsin,58
Virginia,58
Maine,58
Missouri,57
North Carolina,57
Georgia,56
Indiana,56
New Mexico,56
Nebraska,56
Iowa,54
Kansas,54
Tennessee,52
Arkansas,51
District of Columbia,50
South Dakota,50
Oklahoma,50
Louisiana,49
Wyoming,49
Alabama,49
Kentucky,46
South Carolina,45
West Virginia,43
Mississippi,41
