Category: All categories

Region,Facebook: (12/1/13 - 12/1/18)
Virginia,100
West Virginia,85
Mississippi,81
Alabama,81
New Mexico,79
Kansas,78
South Carolina,78
Kentucky,77
Arkansas,76
Oregon,76
Maine,76
Tennessee,75
Montana,74
Georgia,73
Wyoming,73
South Dakota,69
North Carolina,69
Michigan,69
Iowa,69
North Dakota,68
Louisiana,67
Ohio,67
Vermont,66
Indiana,66
Oklahoma,66
Missouri,66
Idaho,64
Wisconsin,64
Arizona,62
Nebraska,62
New Hampshire,62
Illinois,61
Texas,61
Pennsylvania,60
Rhode Island,60
Nevada,59
Delaware,59
Florida,59
Alaska,57
Minnesota,56
Colorado,56
Washington,56
New York,55
Massachusetts,53
Maryland,52
Connecticut,52
New Jersey,51
California,51
District of Columbia,48
Utah,47
Hawaii,42
