Category: All categories

Region,Tesla: (12/1/13 - 12/1/18)
California,100
Nevada,86
Washington,69
Utah,64
Hawaii,64
Arizona,60
Colorado,60
Florida,55
Illinois,53
Connecticut,53
New Jersey,52
District of Columbia,52
Maryland,52
Massachusetts,51
Oregon,48
Minnesota,48
Vermont,46
Texas,46
New York,46
New Hampshire,46
Michigan,46
Delaware,45
Georgia,44
Indiana,44
Ohio,43
Missouri,43
Pennsylvania,43
Rhode Island,42
Idaho,41
New Mexico,41
Wisconsin,40
Virginia,40
Nebraska,40
North Carolina,40
Alaska,38
Montana,38
Wyoming,37
Iowa,37
Tennessee,36
Kansas,36
Oklahoma,36
North Dakota,35
Maine,35
Kentucky,34
South Dakota,34
Arkansas,33
Alabama,32
South Carolina,32
Louisiana,30
West Virginia,30
Mississippi,26
