Category: All categories

Region,Twitter: (12/1/13 - 12/1/18)
District of Columbia,100
Massachusetts,92
New York,88
Maryland,87
Rhode Island,87
New Jersey,85
Virginia,84
Pennsylvania,83
Connecticut,80
Ohio,79
California,78
Nebraska,77
Illinois,76
Iowa,76
West Virginia,75
Delaware,75
Nevada,75
Michigan,74
Oregon,73
Minnesota,73
Kentucky,72
Indiana,72
Washington,71
New Hampshire,71
Tennessee,70
Kansas,70
Missouri,68
Arizona,68
North Carolina,67
Florida,65
Texas,64
Georgia,64
Louisiana,64
Maine,64
Vermont,64
Wisconsin,63
Alabama,63
North Dakota,63
South Carolina,62
South Dakota,61
Oklahoma,61
Mississippi,59
Colorado,58
Hawaii,57
Arkansas,56
New Mexico,56
Utah,55
Alaska,49
Idaho,49
Montana,46
Wyoming,42
