"date","alabama"
"2013-12-01",17
"2013-12-08",13
"2013-12-15",23
"2013-12-22",19
"2013-12-29",14
"2014-01-05",13
"2014-01-12",21
"2014-01-19",18
"2014-01-26",14
"2014-02-02",15
"2014-02-09",21
"2014-02-16",24
"2014-02-23",32
"2014-03-02",20
"2014-03-09",33
"2014-03-16",23
"2014-03-23",17
"2014-03-30",39
"2014-04-06",28
"2014-04-13",26
"2014-04-20",26
"2014-04-27",21
"2014-05-04",27
"2014-05-11",34
"2014-05-18",19
"2014-05-25",27
"2014-06-01",23
"2014-06-08",30
"2014-06-15",24
"2014-06-22",25
"2014-06-29",19
"2014-07-06",25
"2014-07-13",37
"2014-07-20",28
"2014-07-27",31
"2014-08-03",22
"2014-08-10",20
"2014-08-17",22
"2014-08-24",16
"2014-08-31",18
"2014-09-07",28
"2014-09-14",22
"2014-09-21",19
"2014-09-28",23
"2014-10-05",48
"2014-10-12",28
"2014-10-19",20
"2014-10-26",16
"2014-11-02",20
"2014-11-09",11
"2014-11-16",13
"2014-11-23",24
"2014-11-30",26
"2014-12-07",14
"2014-12-14",14
"2014-12-21",29
"2014-12-28",29
"2015-01-04",22
"2015-01-11",30
"2015-01-18",28
"2015-01-25",51
"2015-02-01",26
"2015-02-08",30
"2015-02-15",31
"2015-02-22",27
"2015-03-01",24
"2015-03-08",27
"2015-03-15",26
"2015-03-22",27
"2015-03-29",32
"2015-04-05",33
"2015-04-12",23
"2015-04-19",30
"2015-04-26",31
"2015-05-03",60
"2015-05-10",22
"2015-05-17",30
"2015-05-24",25
"2015-05-31",19
"2015-06-07",30
"2015-06-14",24
"2015-06-21",29
"2015-06-28",38
"2015-07-05",32
"2015-07-12",28
"2015-07-19",30
"2015-07-26",28
"2015-08-02",35
"2015-08-09",28
"2015-08-16",19
"2015-08-23",29
"2015-08-30",32
"2015-09-06",27
"2015-09-13",32
"2015-09-20",24
"2015-09-27",33
"2015-10-04",39
"2015-10-11",30
"2015-10-18",30
"2015-10-25",24
"2015-11-01",34
"2015-11-08",26
"2015-11-15",20
"2015-11-22",33
"2015-11-29",18
"2015-12-06",20
"2015-12-13",16
"2015-12-20",23
"2015-12-27",23
"2016-01-03",21
"2016-01-10",23
"2016-01-17",19
"2016-01-24",22
"2016-01-31",22
"2016-02-07",31
"2016-02-14",20
"2016-02-21",18
"2016-02-28",23
"2016-03-06",17
"2016-03-13",21
"2016-03-20",33
"2016-03-27",100
"2016-04-03",76
"2016-04-10",33
"2016-04-17",37
"2016-04-24",21
"2016-05-01",27
"2016-05-08",32
"2016-05-15",34
"2016-05-22",29
"2016-05-29",21
"2016-06-05",31
"2016-06-12",25
"2016-06-19",25
"2016-06-26",51
"2016-07-03",28
"2016-07-10",36
"2016-07-17",32
"2016-07-24",27
"2016-07-31",32
"2016-08-07",26
"2016-08-14",30
"2016-08-21",28
"2016-08-28",25
"2016-09-04",27
"2016-09-11",25
"2016-09-18",24
"2016-09-25",28
"2016-10-02",32
"2016-10-09",28
"2016-10-16",31
"2016-10-23",34
"2016-10-30",37
"2016-11-06",19
"2016-11-13",27
"2016-11-20",32
"2016-11-27",31
"2016-12-04",34
"2016-12-11",32
"2016-12-18",33
"2016-12-25",31
"2017-01-01",25
"2017-01-08",29
"2017-01-15",20
"2017-01-22",29
"2017-01-29",27
"2017-02-05",25
"2017-02-12",22
"2017-02-19",33
"2017-02-26",18
"2017-03-05",31
"2017-03-12",28
"2017-03-19",35
"2017-03-26",24
"2017-04-02",32
"2017-04-09",44
"2017-04-16",38
"2017-04-23",40
"2017-04-30",46
"2017-05-07",37
"2017-05-14",35
"2017-05-21",31
"2017-05-28",33
"2017-06-04",36
"2017-06-11",38
"2017-06-18",26
"2017-06-25",33
"2017-07-02",60
"2017-07-09",55
"2017-07-16",45
"2017-07-23",57
"2017-07-30",72
"2017-08-06",52
"2017-08-13",27
"2017-08-20",28
"2017-08-27",31
"2017-09-03",36
"2017-09-10",34
"2017-09-17",37
"2017-09-24",34
"2017-10-01",35
"2017-10-08",29
"2017-10-15",40
"2017-10-22",35
"2017-10-29",33
"2017-11-05",39
"2017-11-12",76
"2017-11-19",83
"2017-11-26",61
"2017-12-03",44
"2017-12-10",36
"2017-12-17",56
"2017-12-24",54
"2017-12-31",44
"2018-01-07",47
"2018-01-14",38
"2018-01-21",45
"2018-01-28",42
"2018-02-04",96
"2018-02-11",58
"2018-02-18",53
"2018-02-25",40
"2018-03-04",40
"2018-03-11",41
"2018-03-18",34
"2018-03-25",45
"2018-04-01",52
"2018-04-08",32
"2018-04-15",36
"2018-04-22",28
"2018-04-29",43
"2018-05-06",40
"2018-05-13",42
"2018-05-20",41
"2018-05-27",39
"2018-06-03",35
"2018-06-10",51
"2018-06-17",40
"2018-06-24",38
"2018-07-01",40
"2018-07-08",46
"2018-07-15",39
"2018-07-22",39
"2018-07-29",45
"2018-08-05",55
"2018-08-12",54
"2018-08-19",41
"2018-08-26",39
"2018-09-02",48
"2018-09-09",47
"2018-09-16",55
"2018-09-23",56
"2018-09-30",53
"2018-10-07",42
"2018-10-14",38
"2018-10-21",51
"2018-10-28",38
"2018-11-04",36
"2018-11-11",38
"2018-11-18",38
