"date","arizona"
"2013-12-01",10
"2013-12-08",12
"2013-12-15",10
"2013-12-22",13
"2013-12-29",11
"2014-01-05",9
"2014-01-12",13
"2014-01-19",11
"2014-01-26",14
"2014-02-02",12
"2014-02-09",10
"2014-02-16",17
"2014-02-23",24
"2014-03-02",18
"2014-03-09",20
"2014-03-16",19
"2014-03-23",15
"2014-03-30",25
"2014-04-06",18
"2014-04-13",16
"2014-04-20",16
"2014-04-27",15
"2014-05-04",17
"2014-05-11",19
"2014-05-18",16
"2014-05-25",15
"2014-06-01",15
"2014-06-08",24
"2014-06-15",20
"2014-06-22",13
"2014-06-29",15
"2014-07-06",18
"2014-07-13",20
"2014-07-20",16
"2014-07-27",20
"2014-08-03",17
"2014-08-10",18
"2014-08-17",13
"2014-08-24",15
"2014-08-31",19
"2014-09-07",13
"2014-09-14",16
"2014-09-21",12
"2014-09-28",18
"2014-10-05",26
"2014-10-12",20
"2014-10-19",19
"2014-10-26",17
"2014-11-02",12
"2014-11-09",13
"2014-11-16",12
"2014-11-23",12
"2014-11-30",10
"2014-12-07",12
"2014-12-14",12
"2014-12-21",13
"2014-12-28",15
"2015-01-04",14
"2015-01-11",14
"2015-01-18",16
"2015-01-25",24
"2015-02-01",14
"2015-02-08",18
"2015-02-15",19
"2015-02-22",14
"2015-03-01",13
"2015-03-08",10
"2015-03-15",17
"2015-03-22",12
"2015-03-29",18
"2015-04-05",15
"2015-04-12",17
"2015-04-19",18
"2015-04-26",30
"2015-05-03",30
"2015-05-10",20
"2015-05-17",19
"2015-05-24",20
"2015-05-31",13
"2015-06-07",19
"2015-06-14",22
"2015-06-21",17
"2015-06-28",15
"2015-07-05",20
"2015-07-12",19
"2015-07-19",17
"2015-07-26",17
"2015-08-02",20
"2015-08-09",19
"2015-08-16",18
"2015-08-23",23
"2015-08-30",22
"2015-09-06",18
"2015-09-13",22
"2015-09-20",23
"2015-09-27",27
"2015-10-04",21
"2015-10-11",22
"2015-10-18",20
"2015-10-25",19
"2015-11-01",19
"2015-11-08",15
"2015-11-15",14
"2015-11-22",15
"2015-11-29",17
"2015-12-06",14
"2015-12-13",15
"2015-12-20",19
"2015-12-27",16
"2016-01-03",17
"2016-01-10",17
"2016-01-17",16
"2016-01-24",20
"2016-01-31",20
"2016-02-07",24
"2016-02-14",18
"2016-02-21",17
"2016-02-28",18
"2016-03-06",14
"2016-03-13",19
"2016-03-20",22
"2016-03-27",100
"2016-04-03",62
"2016-04-10",28
"2016-04-17",23
"2016-04-24",21
"2016-05-01",23
"2016-05-08",19
"2016-05-15",17
"2016-05-22",21
"2016-05-29",18
"2016-06-05",20
"2016-06-12",16
"2016-06-19",23
"2016-06-26",24
"2016-07-03",20
"2016-07-10",21
"2016-07-17",19
"2016-07-24",18
"2016-07-31",23
"2016-08-07",16
"2016-08-14",17
"2016-08-21",22
"2016-08-28",22
"2016-09-04",19
"2016-09-11",19
"2016-09-18",21
"2016-09-25",20
"2016-10-02",17
"2016-10-09",20
"2016-10-16",24
"2016-10-23",21
"2016-10-30",26
"2016-11-06",19
"2016-11-13",20
"2016-11-20",21
"2016-11-27",21
"2016-12-04",20
"2016-12-11",19
"2016-12-18",20
"2016-12-25",24
"2017-01-01",23
"2017-01-08",19
"2017-01-15",20
"2017-01-22",18
"2017-01-29",22
"2017-02-05",22
"2017-02-12",21
"2017-02-19",23
"2017-02-26",21
"2017-03-05",22
"2017-03-12",22
"2017-03-19",21
"2017-03-26",24
"2017-04-02",29
"2017-04-09",26
"2017-04-16",26
"2017-04-23",26
"2017-04-30",28
"2017-05-07",27
"2017-05-14",24
"2017-05-21",24
"2017-05-28",23
"2017-06-04",23
"2017-06-11",22
"2017-06-18",27
"2017-06-25",24
"2017-07-02",39
"2017-07-09",31
"2017-07-16",31
"2017-07-23",42
"2017-07-30",45
"2017-08-06",31
"2017-08-13",29
"2017-08-20",25
"2017-08-27",25
"2017-09-03",24
"2017-09-10",26
"2017-09-17",24
"2017-09-24",25
"2017-10-01",25
"2017-10-08",23
"2017-10-15",28
"2017-10-22",26
"2017-10-29",24
"2017-11-05",26
"2017-11-12",58
"2017-11-19",50
"2017-11-26",31
"2017-12-03",32
"2017-12-10",28
"2017-12-17",29
"2017-12-24",34
"2017-12-31",30
"2018-01-07",30
"2018-01-14",31
"2018-01-21",34
"2018-01-28",31
"2018-02-04",64
"2018-02-11",37
"2018-02-18",28
"2018-02-25",27
"2018-03-04",26
"2018-03-11",27
"2018-03-18",31
"2018-03-25",38
"2018-04-01",31
"2018-04-08",35
"2018-04-15",32
"2018-04-22",31
"2018-04-29",34
"2018-05-06",31
"2018-05-13",34
"2018-05-20",32
"2018-05-27",27
"2018-06-03",26
"2018-06-10",29
"2018-06-17",32
"2018-06-24",32
"2018-07-01",31
"2018-07-08",31
"2018-07-15",32
"2018-07-22",32
"2018-07-29",36
"2018-08-05",40
"2018-08-12",37
"2018-08-19",37
"2018-08-26",31
"2018-09-02",40
"2018-09-09",42
"2018-09-16",37
"2018-09-23",42
"2018-09-30",42
"2018-10-07",38
"2018-10-14",34
"2018-10-21",46
"2018-10-28",34
"2018-11-04",29
"2018-11-11",32
"2018-11-18",32
