"date","arkansas"
"2013-12-01",28
"2013-12-08",10
"2013-12-15",23
"2013-12-22",27
"2013-12-29",7
"2014-01-05",6
"2014-01-12",26
"2014-01-19",17
"2014-01-26",30
"2014-02-02",23
"2014-02-09",13
"2014-02-16",33
"2014-02-23",40
"2014-03-02",23
"2014-03-09",37
"2014-03-16",28
"2014-03-23",18
"2014-03-30",39
"2014-04-06",18
"2014-04-13",22
"2014-04-20",28
"2014-04-27",26
"2014-05-04",32
"2014-05-11",36
"2014-05-18",26
"2014-05-25",16
"2014-06-01",30
"2014-06-08",43
"2014-06-15",23
"2014-06-22",35
"2014-06-29",50
"2014-07-06",37
"2014-07-13",37
"2014-07-20",28
"2014-07-27",20
"2014-08-03",19
"2014-08-10",23
"2014-08-17",24
"2014-08-24",20
"2014-08-31",26
"2014-09-07",25
"2014-09-14",27
"2014-09-21",11
"2014-09-28",24
"2014-10-05",38
"2014-10-12",14
"2014-10-19",21
"2014-10-26",27
"2014-11-02",25
"2014-11-09",26
"2014-11-16",26
"2014-11-23",25
"2014-11-30",13
"2014-12-07",14
"2014-12-14",23
"2014-12-21",26
"2014-12-28",20
"2015-01-04",35
"2015-01-11",21
"2015-01-18",36
"2015-01-25",48
"2015-02-01",25
"2015-02-08",31
"2015-02-15",15
"2015-02-22",19
"2015-03-01",20
"2015-03-08",19
"2015-03-15",28
"2015-03-22",19
"2015-03-29",33
"2015-04-05",32
"2015-04-12",25
"2015-04-19",27
"2015-04-26",58
"2015-05-03",35
"2015-05-10",34
"2015-05-17",35
"2015-05-24",12
"2015-05-31",18
"2015-06-07",31
"2015-06-14",28
"2015-06-21",16
"2015-06-28",21
"2015-07-05",20
"2015-07-12",22
"2015-07-19",33
"2015-07-26",31
"2015-08-02",26
"2015-08-09",26
"2015-08-16",29
"2015-08-23",22
"2015-08-30",38
"2015-09-06",34
"2015-09-13",28
"2015-09-20",32
"2015-09-27",59
"2015-10-04",23
"2015-10-11",31
"2015-10-18",31
"2015-10-25",29
"2015-11-01",35
"2015-11-08",21
"2015-11-15",13
"2015-11-22",29
"2015-11-29",21
"2015-12-06",21
"2015-12-13",19
"2015-12-20",27
"2015-12-27",33
"2016-01-03",31
"2016-01-10",20
"2016-01-17",25
"2016-01-24",26
"2016-01-31",38
"2016-02-07",24
"2016-02-14",26
"2016-02-21",21
"2016-02-28",23
"2016-03-06",26
"2016-03-13",15
"2016-03-20",31
"2016-03-27",100
"2016-04-03",80
"2016-04-10",36
"2016-04-17",36
"2016-04-24",32
"2016-05-01",28
"2016-05-08",44
"2016-05-15",31
"2016-05-22",32
"2016-05-29",24
"2016-06-05",28
"2016-06-12",15
"2016-06-19",27
"2016-06-26",32
"2016-07-03",33
"2016-07-10",36
"2016-07-17",35
"2016-07-24",21
"2016-07-31",31
"2016-08-07",27
"2016-08-14",22
"2016-08-21",31
"2016-08-28",28
"2016-09-04",24
"2016-09-11",28
"2016-09-18",28
"2016-09-25",28
"2016-10-02",31
"2016-10-09",20
"2016-10-16",33
"2016-10-23",49
"2016-10-30",38
"2016-11-06",23
"2016-11-13",27
"2016-11-20",33
"2016-11-27",24
"2016-12-04",23
"2016-12-11",26
"2016-12-18",27
"2016-12-25",30
"2017-01-01",40
"2017-01-08",41
"2017-01-15",31
"2017-01-22",38
"2017-01-29",25
"2017-02-05",37
"2017-02-12",35
"2017-02-19",45
"2017-02-26",30
"2017-03-05",35
"2017-03-12",40
"2017-03-19",22
"2017-03-26",25
"2017-04-02",45
"2017-04-09",42
"2017-04-16",36
"2017-04-23",31
"2017-04-30",39
"2017-05-07",45
"2017-05-14",36
"2017-05-21",26
"2017-05-28",33
"2017-06-04",36
"2017-06-11",35
"2017-06-18",33
"2017-06-25",33
"2017-07-02",65
"2017-07-09",50
"2017-07-16",51
"2017-07-23",64
"2017-07-30",63
"2017-08-06",57
"2017-08-13",41
"2017-08-20",51
"2017-08-27",25
"2017-09-03",38
"2017-09-10",26
"2017-09-17",30
"2017-09-24",35
"2017-10-01",36
"2017-10-08",41
"2017-10-15",36
"2017-10-22",44
"2017-10-29",37
"2017-11-05",46
"2017-11-12",88
"2017-11-19",82
"2017-11-26",56
"2017-12-03",40
"2017-12-10",49
"2017-12-17",44
"2017-12-24",58
"2017-12-31",51
"2018-01-07",49
"2018-01-14",50
"2018-01-21",43
"2018-01-28",44
"2018-02-04",92
"2018-02-11",63
"2018-02-18",36
"2018-02-25",37
"2018-03-04",42
"2018-03-11",29
"2018-03-18",35
"2018-03-25",54
"2018-04-01",38
"2018-04-08",46
"2018-04-15",35
"2018-04-22",35
"2018-04-29",42
"2018-05-06",45
"2018-05-13",32
"2018-05-20",39
"2018-05-27",43
"2018-06-03",40
"2018-06-10",39
"2018-06-17",36
"2018-06-24",42
"2018-07-01",53
"2018-07-08",32
"2018-07-15",42
"2018-07-22",34
"2018-07-29",48
"2018-08-05",53
"2018-08-12",46
"2018-08-19",40
"2018-08-26",40
"2018-09-02",47
"2018-09-09",61
"2018-09-16",50
"2018-09-23",46
"2018-09-30",59
"2018-10-07",42
"2018-10-14",40
"2018-10-21",44
"2018-10-28",31
"2018-11-04",32
"2018-11-11",39
"2018-11-18",37
