"date","california"
"2013-12-01",11
"2013-12-08",10
"2013-12-15",11
"2013-12-22",10
"2013-12-29",9
"2014-01-05",9
"2014-01-12",11
"2014-01-19",10
"2014-01-26",11
"2014-02-02",10
"2014-02-09",11
"2014-02-16",16
"2014-02-23",18
"2014-03-02",13
"2014-03-09",14
"2014-03-16",13
"2014-03-23",13
"2014-03-30",15
"2014-04-06",13
"2014-04-13",12
"2014-04-20",14
"2014-04-27",13
"2014-05-04",14
"2014-05-11",14
"2014-05-18",12
"2014-05-25",12
"2014-06-01",11
"2014-06-08",15
"2014-06-15",15
"2014-06-22",12
"2014-06-29",14
"2014-07-06",16
"2014-07-13",18
"2014-07-20",14
"2014-07-27",15
"2014-08-03",13
"2014-08-10",13
"2014-08-17",12
"2014-08-24",11
"2014-08-31",15
"2014-09-07",11
"2014-09-14",12
"2014-09-21",11
"2014-09-28",15
"2014-10-05",26
"2014-10-12",14
"2014-10-19",12
"2014-10-26",11
"2014-11-02",11
"2014-11-09",10
"2014-11-16",10
"2014-11-23",10
"2014-11-30",10
"2014-12-07",9
"2014-12-14",10
"2014-12-21",11
"2014-12-28",10
"2015-01-04",10
"2015-01-11",12
"2015-01-18",10
"2015-01-25",15
"2015-02-01",11
"2015-02-08",14
"2015-02-15",13
"2015-02-22",11
"2015-03-01",10
"2015-03-08",11
"2015-03-15",14
"2015-03-22",11
"2015-03-29",13
"2015-04-05",14
"2015-04-12",11
"2015-04-19",12
"2015-04-26",22
"2015-05-03",20
"2015-05-10",16
"2015-05-17",13
"2015-05-24",13
"2015-05-31",12
"2015-06-07",13
"2015-06-14",14
"2015-06-21",14
"2015-06-28",15
"2015-07-05",15
"2015-07-12",16
"2015-07-19",16
"2015-07-26",15
"2015-08-02",18
"2015-08-09",15
"2015-08-16",15
"2015-08-23",17
"2015-08-30",19
"2015-09-06",15
"2015-09-13",15
"2015-09-20",14
"2015-09-27",28
"2015-10-04",16
"2015-10-11",17
"2015-10-18",17
"2015-10-25",14
"2015-11-01",14
"2015-11-08",12
"2015-11-15",13
"2015-11-22",12
"2015-11-29",12
"2015-12-06",12
"2015-12-13",12
"2015-12-20",12
"2015-12-27",14
"2016-01-03",13
"2016-01-10",14
"2016-01-17",13
"2016-01-24",15
"2016-01-31",16
"2016-02-07",20
"2016-02-14",16
"2016-02-21",15
"2016-02-28",14
"2016-03-06",15
"2016-03-13",16
"2016-03-20",20
"2016-03-27",100
"2016-04-03",47
"2016-04-10",25
"2016-04-17",20
"2016-04-24",18
"2016-05-01",19
"2016-05-08",18
"2016-05-15",17
"2016-05-22",17
"2016-05-29",16
"2016-06-05",17
"2016-06-12",15
"2016-06-19",19
"2016-06-26",23
"2016-07-03",18
"2016-07-10",18
"2016-07-17",17
"2016-07-24",16
"2016-07-31",17
"2016-08-07",15
"2016-08-14",15
"2016-08-21",19
"2016-08-28",16
"2016-09-04",15
"2016-09-11",16
"2016-09-18",16
"2016-09-25",17
"2016-10-02",15
"2016-10-09",15
"2016-10-16",21
"2016-10-23",18
"2016-10-30",17
"2016-11-06",15
"2016-11-13",16
"2016-11-20",15
"2016-11-27",14
"2016-12-04",14
"2016-12-11",15
"2016-12-18",16
"2016-12-25",17
"2017-01-01",17
"2017-01-08",15
"2017-01-15",16
"2017-01-22",16
"2017-01-29",15
"2017-02-05",17
"2017-02-12",16
"2017-02-19",18
"2017-02-26",16
"2017-03-05",16
"2017-03-12",17
"2017-03-19",17
"2017-03-26",18
"2017-04-02",21
"2017-04-09",22
"2017-04-16",19
"2017-04-23",19
"2017-04-30",21
"2017-05-07",22
"2017-05-14",20
"2017-05-21",18
"2017-05-28",20
"2017-06-04",22
"2017-06-11",21
"2017-06-18",21
"2017-06-25",20
"2017-07-02",34
"2017-07-09",28
"2017-07-16",23
"2017-07-23",34
"2017-07-30",40
"2017-08-06",25
"2017-08-13",22
"2017-08-20",20
"2017-08-27",19
"2017-09-03",18
"2017-09-10",21
"2017-09-17",21
"2017-09-24",20
"2017-10-01",21
"2017-10-08",22
"2017-10-15",21
"2017-10-22",20
"2017-10-29",22
"2017-11-05",20
"2017-11-12",47
"2017-11-19",35
"2017-11-26",24
"2017-12-03",21
"2017-12-10",22
"2017-12-17",23
"2017-12-24",26
"2017-12-31",23
"2018-01-07",23
"2018-01-14",23
"2018-01-21",24
"2018-01-28",23
"2018-02-04",39
"2018-02-11",27
"2018-02-18",24
"2018-02-25",22
"2018-03-04",22
"2018-03-11",21
"2018-03-18",23
"2018-03-25",35
"2018-04-01",31
"2018-04-08",24
"2018-04-15",26
"2018-04-22",24
"2018-04-29",27
"2018-05-06",25
"2018-05-13",26
"2018-05-20",27
"2018-05-27",24
"2018-06-03",25
"2018-06-10",28
"2018-06-17",26
"2018-06-24",26
"2018-07-01",28
"2018-07-08",28
"2018-07-15",27
"2018-07-22",30
"2018-07-29",36
"2018-08-05",38
"2018-08-12",34
"2018-08-19",32
"2018-08-26",27
"2018-09-02",34
"2018-09-09",35
"2018-09-16",30
"2018-09-23",36
"2018-09-30",38
"2018-10-07",33
"2018-10-14",31
"2018-10-21",36
"2018-10-28",31
"2018-11-04",27
"2018-11-11",27
"2018-11-18",26
