"date","colorado"
"2013-12-01",11
"2013-12-08",8
"2013-12-15",12
"2013-12-22",13
"2013-12-29",13
"2014-01-05",10
"2014-01-12",11
"2014-01-19",10
"2014-01-26",9
"2014-02-02",9
"2014-02-09",11
"2014-02-16",17
"2014-02-23",21
"2014-03-02",15
"2014-03-09",17
"2014-03-16",18
"2014-03-23",15
"2014-03-30",24
"2014-04-06",15
"2014-04-13",13
"2014-04-20",13
"2014-04-27",15
"2014-05-04",16
"2014-05-11",25
"2014-05-18",13
"2014-05-25",15
"2014-06-01",10
"2014-06-08",20
"2014-06-15",17
"2014-06-22",16
"2014-06-29",15
"2014-07-06",20
"2014-07-13",25
"2014-07-20",21
"2014-07-27",15
"2014-08-03",11
"2014-08-10",18
"2014-08-17",14
"2014-08-24",14
"2014-08-31",18
"2014-09-07",18
"2014-09-14",16
"2014-09-21",12
"2014-09-28",15
"2014-10-05",31
"2014-10-12",25
"2014-10-19",15
"2014-10-26",17
"2014-11-02",17
"2014-11-09",12
"2014-11-16",13
"2014-11-23",11
"2014-11-30",11
"2014-12-07",17
"2014-12-14",10
"2014-12-21",19
"2014-12-28",13
"2015-01-04",11
"2015-01-11",12
"2015-01-18",17
"2015-01-25",25
"2015-02-01",18
"2015-02-08",17
"2015-02-15",19
"2015-02-22",16
"2015-03-01",11
"2015-03-08",13
"2015-03-15",18
"2015-03-22",18
"2015-03-29",17
"2015-04-05",24
"2015-04-12",18
"2015-04-19",16
"2015-04-26",25
"2015-05-03",28
"2015-05-10",23
"2015-05-17",15
"2015-05-24",15
"2015-05-31",15
"2015-06-07",14
"2015-06-14",16
"2015-06-21",20
"2015-06-28",13
"2015-07-05",10
"2015-07-12",19
"2015-07-19",19
"2015-07-26",16
"2015-08-02",26
"2015-08-09",20
"2015-08-16",19
"2015-08-23",27
"2015-08-30",24
"2015-09-06",17
"2015-09-13",22
"2015-09-20",24
"2015-09-27",33
"2015-10-04",21
"2015-10-11",21
"2015-10-18",26
"2015-10-25",21
"2015-11-01",14
"2015-11-08",13
"2015-11-15",16
"2015-11-22",18
"2015-11-29",14
"2015-12-06",14
"2015-12-13",13
"2015-12-20",15
"2015-12-27",17
"2016-01-03",15
"2016-01-10",18
"2016-01-17",12
"2016-01-24",15
"2016-01-31",17
"2016-02-07",26
"2016-02-14",17
"2016-02-21",19
"2016-02-28",18
"2016-03-06",14
"2016-03-13",17
"2016-03-20",17
"2016-03-27",100
"2016-04-03",48
"2016-04-10",30
"2016-04-17",25
"2016-04-24",20
"2016-05-01",21
"2016-05-08",14
"2016-05-15",18
"2016-05-22",17
"2016-05-29",20
"2016-06-05",21
"2016-06-12",14
"2016-06-19",19
"2016-06-26",22
"2016-07-03",20
"2016-07-10",24
"2016-07-17",22
"2016-07-24",21
"2016-07-31",22
"2016-08-07",16
"2016-08-14",15
"2016-08-21",22
"2016-08-28",16
"2016-09-04",20
"2016-09-11",19
"2016-09-18",21
"2016-09-25",16
"2016-10-02",21
"2016-10-09",16
"2016-10-16",30
"2016-10-23",21
"2016-10-30",24
"2016-11-06",17
"2016-11-13",26
"2016-11-20",20
"2016-11-27",18
"2016-12-04",17
"2016-12-11",18
"2016-12-18",17
"2016-12-25",25
"2017-01-01",21
"2017-01-08",21
"2017-01-15",24
"2017-01-22",16
"2017-01-29",18
"2017-02-05",18
"2017-02-12",23
"2017-02-19",18
"2017-02-26",18
"2017-03-05",22
"2017-03-12",21
"2017-03-19",22
"2017-03-26",21
"2017-04-02",26
"2017-04-09",26
"2017-04-16",25
"2017-04-23",21
"2017-04-30",23
"2017-05-07",29
"2017-05-14",21
"2017-05-21",24
"2017-05-28",24
"2017-06-04",19
"2017-06-11",27
"2017-06-18",19
"2017-06-25",29
"2017-07-02",42
"2017-07-09",33
"2017-07-16",27
"2017-07-23",40
"2017-07-30",48
"2017-08-06",22
"2017-08-13",23
"2017-08-20",25
"2017-08-27",23
"2017-09-03",21
"2017-09-10",22
"2017-09-17",22
"2017-09-24",22
"2017-10-01",28
"2017-10-08",20
"2017-10-15",24
"2017-10-22",26
"2017-10-29",25
"2017-11-05",19
"2017-11-12",52
"2017-11-19",49
"2017-11-26",34
"2017-12-03",28
"2017-12-10",32
"2017-12-17",32
"2017-12-24",29
"2017-12-31",28
"2018-01-07",27
"2018-01-14",27
"2018-01-21",26
"2018-01-28",26
"2018-02-04",68
"2018-02-11",30
"2018-02-18",30
"2018-02-25",24
"2018-03-04",25
"2018-03-11",23
"2018-03-18",26
"2018-03-25",33
"2018-04-01",31
"2018-04-08",28
"2018-04-15",27
"2018-04-22",24
"2018-04-29",32
"2018-05-06",29
"2018-05-13",27
"2018-05-20",31
"2018-05-27",25
"2018-06-03",28
"2018-06-10",29
"2018-06-17",33
"2018-06-24",29
"2018-07-01",32
"2018-07-08",32
"2018-07-15",30
"2018-07-22",33
"2018-07-29",35
"2018-08-05",38
"2018-08-12",34
"2018-08-19",39
"2018-08-26",30
"2018-09-02",42
"2018-09-09",43
"2018-09-16",34
"2018-09-23",37
"2018-09-30",47
"2018-10-07",34
"2018-10-14",34
"2018-10-21",45
"2018-10-28",37
"2018-11-04",31
"2018-11-11",32
"2018-11-18",30
