"date","delaware"
"2013-12-01",24
"2013-12-08",9
"2013-12-15",9
"2013-12-22",10
"2013-12-29",14
"2014-01-05",10
"2014-01-12",20
"2014-01-19",8
"2014-01-26",14
"2014-02-02",8
"2014-02-09",6
"2014-02-16",21
"2014-02-23",30
"2014-03-02",11
"2014-03-09",29
"2014-03-16",11
"2014-03-23",15
"2014-03-30",24
"2014-04-06",14
"2014-04-13",14
"2014-04-20",19
"2014-04-27",8
"2014-05-04",22
"2014-05-11",24
"2014-05-18",13
"2014-05-25",17
"2014-06-01",19
"2014-06-08",28
"2014-06-15",22
"2014-06-22",15
"2014-06-29",12
"2014-07-06",19
"2014-07-13",25
"2014-07-20",22
"2014-07-27",23
"2014-08-03",17
"2014-08-10",27
"2014-08-17",14
"2014-08-24",7
"2014-08-31",22
"2014-09-07",21
"2014-09-14",29
"2014-09-21",19
"2014-09-28",27
"2014-10-05",51
"2014-10-12",21
"2014-10-19",17
"2014-10-26",11
"2014-11-02",21
"2014-11-09",15
"2014-11-16",13
"2014-11-23",23
"2014-11-30",8
"2014-12-07",11
"2014-12-14",19
"2014-12-21",16
"2014-12-28",20
"2015-01-04",24
"2015-01-11",20
"2015-01-18",18
"2015-01-25",24
"2015-02-01",26
"2015-02-08",21
"2015-02-15",15
"2015-02-22",17
"2015-03-01",10
"2015-03-08",17
"2015-03-15",11
"2015-03-22",11
"2015-03-29",14
"2015-04-05",25
"2015-04-12",22
"2015-04-19",17
"2015-04-26",31
"2015-05-03",44
"2015-05-10",22
"2015-05-17",16
"2015-05-24",29
"2015-05-31",24
"2015-06-07",15
"2015-06-14",28
"2015-06-21",30
"2015-06-28",12
"2015-07-05",7
"2015-07-12",22
"2015-07-19",40
"2015-07-26",27
"2015-08-02",27
"2015-08-09",17
"2015-08-16",24
"2015-08-23",29
"2015-08-30",25
"2015-09-06",16
"2015-09-13",21
"2015-09-20",14
"2015-09-27",41
"2015-10-04",16
"2015-10-11",31
"2015-10-18",25
"2015-10-25",12
"2015-11-01",21
"2015-11-08",23
"2015-11-15",17
"2015-11-22",27
"2015-11-29",29
"2015-12-06",21
"2015-12-13",28
"2015-12-20",21
"2015-12-27",31
"2016-01-03",26
"2016-01-10",24
"2016-01-17",16
"2016-01-24",22
"2016-01-31",12
"2016-02-07",19
"2016-02-14",22
"2016-02-21",22
"2016-02-28",18
"2016-03-06",14
"2016-03-13",22
"2016-03-20",21
"2016-03-27",100
"2016-04-03",76
"2016-04-10",34
"2016-04-17",20
"2016-04-24",27
"2016-05-01",32
"2016-05-08",25
"2016-05-15",21
"2016-05-22",31
"2016-05-29",19
"2016-06-05",27
"2016-06-12",9
"2016-06-19",30
"2016-06-26",34
"2016-07-03",26
"2016-07-10",20
"2016-07-17",30
"2016-07-24",33
"2016-07-31",32
"2016-08-07",30
"2016-08-14",26
"2016-08-21",28
"2016-08-28",12
"2016-09-04",25
"2016-09-11",16
"2016-09-18",21
"2016-09-25",23
"2016-10-02",31
"2016-10-09",25
"2016-10-16",21
"2016-10-23",33
"2016-10-30",20
"2016-11-06",22
"2016-11-13",26
"2016-11-20",28
"2016-11-27",20
"2016-12-04",24
"2016-12-11",14
"2016-12-18",24
"2016-12-25",28
"2017-01-01",18
"2017-01-08",30
"2017-01-15",23
"2017-01-22",21
"2017-01-29",21
"2017-02-05",23
"2017-02-12",21
"2017-02-19",25
"2017-02-26",17
"2017-03-05",20
"2017-03-12",26
"2017-03-19",23
"2017-03-26",31
"2017-04-02",26
"2017-04-09",46
"2017-04-16",30
"2017-04-23",31
"2017-04-30",29
"2017-05-07",18
"2017-05-14",35
"2017-05-21",30
"2017-05-28",26
"2017-06-04",38
"2017-06-11",26
"2017-06-18",35
"2017-06-25",29
"2017-07-02",63
"2017-07-09",38
"2017-07-16",29
"2017-07-23",38
"2017-07-30",55
"2017-08-06",55
"2017-08-13",30
"2017-08-20",41
"2017-08-27",26
"2017-09-03",32
"2017-09-10",34
"2017-09-17",33
"2017-09-24",28
"2017-10-01",36
"2017-10-08",33
"2017-10-15",30
"2017-10-22",21
"2017-10-29",34
"2017-11-05",27
"2017-11-12",62
"2017-11-19",53
"2017-11-26",40
"2017-12-03",29
"2017-12-10",38
"2017-12-17",29
"2017-12-24",32
"2017-12-31",45
"2018-01-07",33
"2018-01-14",36
"2018-01-21",35
"2018-01-28",38
"2018-02-04",62
"2018-02-11",46
"2018-02-18",31
"2018-02-25",33
"2018-03-04",26
"2018-03-11",20
"2018-03-18",37
"2018-03-25",56
"2018-04-01",50
"2018-04-08",34
"2018-04-15",32
"2018-04-22",30
"2018-04-29",35
"2018-05-06",40
"2018-05-13",33
"2018-05-20",27
"2018-05-27",31
"2018-06-03",20
"2018-06-10",31
"2018-06-17",20
"2018-06-24",37
"2018-07-01",29
"2018-07-08",48
"2018-07-15",34
"2018-07-22",46
"2018-07-29",50
"2018-08-05",45
"2018-08-12",38
"2018-08-19",45
"2018-08-26",37
"2018-09-02",42
"2018-09-09",41
"2018-09-16",40
"2018-09-23",47
"2018-09-30",59
"2018-10-07",40
"2018-10-14",41
"2018-10-21",51
"2018-10-28",40
"2018-11-04",26
"2018-11-11",34
"2018-11-18",31
