"date","district of columbia"
"2013-12-01",7
"2013-12-08",7
"2013-12-15",10
"2013-12-22",15
"2013-12-29",14
"2014-01-05",11
"2014-01-12",13
"2014-01-19",10
"2014-01-26",7
"2014-02-02",9
"2014-02-09",7
"2014-02-16",17
"2014-02-23",25
"2014-03-02",13
"2014-03-09",19
"2014-03-16",14
"2014-03-23",15
"2014-03-30",23
"2014-04-06",13
"2014-04-13",13
"2014-04-20",12
"2014-04-27",12
"2014-05-04",14
"2014-05-11",26
"2014-05-18",14
"2014-05-25",10
"2014-06-01",9
"2014-06-08",18
"2014-06-15",15
"2014-06-22",14
"2014-06-29",14
"2014-07-06",16
"2014-07-13",25
"2014-07-20",14
"2014-07-27",15
"2014-08-03",13
"2014-08-10",17
"2014-08-17",14
"2014-08-24",16
"2014-08-31",19
"2014-09-07",12
"2014-09-14",12
"2014-09-21",14
"2014-09-28",16
"2014-10-05",36
"2014-10-12",20
"2014-10-19",18
"2014-10-26",14
"2014-11-02",16
"2014-11-09",16
"2014-11-16",13
"2014-11-23",15
"2014-11-30",16
"2014-12-07",12
"2014-12-14",11
"2014-12-21",13
"2014-12-28",15
"2015-01-04",15
"2015-01-11",18
"2015-01-18",16
"2015-01-25",26
"2015-02-01",15
"2015-02-08",18
"2015-02-15",18
"2015-02-22",17
"2015-03-01",15
"2015-03-08",19
"2015-03-15",22
"2015-03-22",18
"2015-03-29",20
"2015-04-05",24
"2015-04-12",19
"2015-04-19",18
"2015-04-26",27
"2015-05-03",32
"2015-05-10",23
"2015-05-17",21
"2015-05-24",18
"2015-05-31",19
"2015-06-07",23
"2015-06-14",23
"2015-06-21",19
"2015-06-28",18
"2015-07-05",14
"2015-07-12",16
"2015-07-19",20
"2015-07-26",18
"2015-08-02",15
"2015-08-09",18
"2015-08-16",19
"2015-08-23",20
"2015-08-30",20
"2015-09-06",17
"2015-09-13",12
"2015-09-20",20
"2015-09-27",27
"2015-10-04",15
"2015-10-11",21
"2015-10-18",19
"2015-10-25",16
"2015-11-01",15
"2015-11-08",15
"2015-11-15",12
"2015-11-22",16
"2015-11-29",13
"2015-12-06",14
"2015-12-13",14
"2015-12-20",19
"2015-12-27",13
"2016-01-03",16
"2016-01-10",18
"2016-01-17",10
"2016-01-24",17
"2016-01-31",21
"2016-02-07",26
"2016-02-14",21
"2016-02-21",18
"2016-02-28",17
"2016-03-06",15
"2016-03-13",15
"2016-03-20",21
"2016-03-27",100
"2016-04-03",57
"2016-04-10",27
"2016-04-17",22
"2016-04-24",23
"2016-05-01",21
"2016-05-08",26
"2016-05-15",23
"2016-05-22",27
"2016-05-29",19
"2016-06-05",24
"2016-06-12",17
"2016-06-19",26
"2016-06-26",28
"2016-07-03",24
"2016-07-10",26
"2016-07-17",20
"2016-07-24",19
"2016-07-31",24
"2016-08-07",18
"2016-08-14",19
"2016-08-21",23
"2016-08-28",21
"2016-09-04",21
"2016-09-11",19
"2016-09-18",21
"2016-09-25",21
"2016-10-02",22
"2016-10-09",20
"2016-10-16",27
"2016-10-23",20
"2016-10-30",25
"2016-11-06",17
"2016-11-13",24
"2016-11-20",23
"2016-11-27",18
"2016-12-04",14
"2016-12-11",16
"2016-12-18",20
"2016-12-25",20
"2017-01-01",17
"2017-01-08",17
"2017-01-15",18
"2017-01-22",18
"2017-01-29",18
"2017-02-05",19
"2017-02-12",20
"2017-02-19",23
"2017-02-26",20
"2017-03-05",19
"2017-03-12",17
"2017-03-19",19
"2017-03-26",18
"2017-04-02",29
"2017-04-09",32
"2017-04-16",25
"2017-04-23",22
"2017-04-30",24
"2017-05-07",25
"2017-05-14",24
"2017-05-21",22
"2017-05-28",22
"2017-06-04",29
"2017-06-11",29
"2017-06-18",27
"2017-06-25",26
"2017-07-02",43
"2017-07-09",35
"2017-07-16",35
"2017-07-23",42
"2017-07-30",44
"2017-08-06",30
"2017-08-13",25
"2017-08-20",27
"2017-08-27",19
"2017-09-03",22
"2017-09-10",27
"2017-09-17",24
"2017-09-24",21
"2017-10-01",30
"2017-10-08",25
"2017-10-15",22
"2017-10-22",24
"2017-10-29",29
"2017-11-05",18
"2017-11-12",46
"2017-11-19",36
"2017-11-26",29
"2017-12-03",27
"2017-12-10",26
"2017-12-17",22
"2017-12-24",25
"2017-12-31",25
"2018-01-07",21
"2018-01-14",21
"2018-01-21",30
"2018-01-28",27
"2018-02-04",42
"2018-02-11",32
"2018-02-18",28
"2018-02-25",20
"2018-03-04",21
"2018-03-11",18
"2018-03-18",26
"2018-03-25",42
"2018-04-01",37
"2018-04-08",26
"2018-04-15",31
"2018-04-22",16
"2018-04-29",26
"2018-05-06",23
"2018-05-13",23
"2018-05-20",33
"2018-05-27",25
"2018-06-03",29
"2018-06-10",22
"2018-06-17",33
"2018-06-24",27
"2018-07-01",33
"2018-07-08",33
"2018-07-15",28
"2018-07-22",29
"2018-07-29",30
"2018-08-05",61
"2018-08-12",43
"2018-08-19",29
"2018-08-26",28
"2018-09-02",45
"2018-09-09",38
"2018-09-16",34
"2018-09-23",35
"2018-09-30",42
"2018-10-07",32
"2018-10-14",30
"2018-10-21",32
"2018-10-28",32
"2018-11-04",32
"2018-11-11",24
"2018-11-18",28
