"date","florida"
"2013-12-01",16
"2013-12-08",14
"2013-12-15",16
"2013-12-22",17
"2013-12-29",15
"2014-01-05",13
"2014-01-12",16
"2014-01-19",16
"2014-01-26",15
"2014-02-02",15
"2014-02-09",16
"2014-02-16",22
"2014-02-23",28
"2014-03-02",19
"2014-03-09",23
"2014-03-16",22
"2014-03-23",18
"2014-03-30",31
"2014-04-06",20
"2014-04-13",19
"2014-04-20",20
"2014-04-27",21
"2014-05-04",21
"2014-05-11",22
"2014-05-18",20
"2014-05-25",17
"2014-06-01",18
"2014-06-08",21
"2014-06-15",21
"2014-06-22",16
"2014-06-29",19
"2014-07-06",19
"2014-07-13",23
"2014-07-20",17
"2014-07-27",21
"2014-08-03",17
"2014-08-10",17
"2014-08-17",18
"2014-08-24",17
"2014-08-31",22
"2014-09-07",17
"2014-09-14",16
"2014-09-21",15
"2014-09-28",21
"2014-10-05",33
"2014-10-12",23
"2014-10-19",20
"2014-10-26",18
"2014-11-02",17
"2014-11-09",17
"2014-11-16",17
"2014-11-23",17
"2014-11-30",15
"2014-12-07",15
"2014-12-14",18
"2014-12-21",17
"2014-12-28",18
"2015-01-04",18
"2015-01-11",22
"2015-01-18",21
"2015-01-25",31
"2015-02-01",20
"2015-02-08",21
"2015-02-15",22
"2015-02-22",18
"2015-03-01",16
"2015-03-08",16
"2015-03-15",24
"2015-03-22",17
"2015-03-29",20
"2015-04-05",22
"2015-04-12",22
"2015-04-19",18
"2015-04-26",34
"2015-05-03",33
"2015-05-10",24
"2015-05-17",20
"2015-05-24",21
"2015-05-31",20
"2015-06-07",19
"2015-06-14",22
"2015-06-21",25
"2015-06-28",20
"2015-07-05",19
"2015-07-12",22
"2015-07-19",24
"2015-07-26",20
"2015-08-02",22
"2015-08-09",22
"2015-08-16",21
"2015-08-23",21
"2015-08-30",29
"2015-09-06",22
"2015-09-13",21
"2015-09-20",23
"2015-09-27",35
"2015-10-04",25
"2015-10-11",26
"2015-10-18",27
"2015-10-25",24
"2015-11-01",23
"2015-11-08",19
"2015-11-15",18
"2015-11-22",22
"2015-11-29",22
"2015-12-06",20
"2015-12-13",19
"2015-12-20",22
"2015-12-27",21
"2016-01-03",20
"2016-01-10",21
"2016-01-17",21
"2016-01-24",24
"2016-01-31",26
"2016-02-07",28
"2016-02-14",21
"2016-02-21",21
"2016-02-28",19
"2016-03-06",21
"2016-03-13",19
"2016-03-20",22
"2016-03-27",100
"2016-04-03",61
"2016-04-10",34
"2016-04-17",29
"2016-04-24",25
"2016-05-01",28
"2016-05-08",27
"2016-05-15",27
"2016-05-22",25
"2016-05-29",26
"2016-06-05",24
"2016-06-12",19
"2016-06-19",25
"2016-06-26",31
"2016-07-03",26
"2016-07-10",24
"2016-07-17",24
"2016-07-24",24
"2016-07-31",21
"2016-08-07",23
"2016-08-14",21
"2016-08-21",25
"2016-08-28",23
"2016-09-04",22
"2016-09-11",23
"2016-09-18",24
"2016-09-25",24
"2016-10-02",20
"2016-10-09",22
"2016-10-16",30
"2016-10-23",26
"2016-10-30",29
"2016-11-06",26
"2016-11-13",27
"2016-11-20",26
"2016-11-27",23
"2016-12-04",23
"2016-12-11",24
"2016-12-18",26
"2016-12-25",31
"2017-01-01",27
"2017-01-08",26
"2017-01-15",25
"2017-01-22",24
"2017-01-29",23
"2017-02-05",25
"2017-02-12",25
"2017-02-19",28
"2017-02-26",25
"2017-03-05",25
"2017-03-12",26
"2017-03-19",26
"2017-03-26",28
"2017-04-02",31
"2017-04-09",33
"2017-04-16",29
"2017-04-23",29
"2017-04-30",32
"2017-05-07",32
"2017-05-14",32
"2017-05-21",28
"2017-05-28",32
"2017-06-04",31
"2017-06-11",28
"2017-06-18",30
"2017-06-25",27
"2017-07-02",52
"2017-07-09",38
"2017-07-16",34
"2017-07-23",46
"2017-07-30",53
"2017-08-06",38
"2017-08-13",33
"2017-08-20",28
"2017-08-27",28
"2017-09-03",21
"2017-09-10",29
"2017-09-17",30
"2017-09-24",30
"2017-10-01",34
"2017-10-08",30
"2017-10-15",28
"2017-10-22",31
"2017-10-29",33
"2017-11-05",28
"2017-11-12",69
"2017-11-19",63
"2017-11-26",38
"2017-12-03",34
"2017-12-10",32
"2017-12-17",37
"2017-12-24",41
"2017-12-31",38
"2018-01-07",34
"2018-01-14",35
"2018-01-21",37
"2018-01-28",34
"2018-02-04",86
"2018-02-11",44
"2018-02-18",35
"2018-02-25",32
"2018-03-04",35
"2018-03-11",31
"2018-03-18",30
"2018-03-25",42
"2018-04-01",42
"2018-04-08",33
"2018-04-15",35
"2018-04-22",32
"2018-04-29",38
"2018-05-06",46
"2018-05-13",37
"2018-05-20",36
"2018-05-27",33
"2018-06-03",33
"2018-06-10",34
"2018-06-17",33
"2018-06-24",35
"2018-07-01",35
"2018-07-08",35
"2018-07-15",38
"2018-07-22",36
"2018-07-29",43
"2018-08-05",49
"2018-08-12",42
"2018-08-19",40
"2018-08-26",36
"2018-09-02",46
"2018-09-09",44
"2018-09-16",40
"2018-09-23",44
"2018-09-30",49
"2018-10-07",40
"2018-10-14",38
"2018-10-21",47
"2018-10-28",36
"2018-11-04",35
"2018-11-11",34
"2018-11-18",35
