"date","georgia"
"2013-12-01",15
"2013-12-08",10
"2013-12-15",12
"2013-12-22",13
"2013-12-29",10
"2014-01-05",14
"2014-01-12",13
"2014-01-19",15
"2014-01-26",13
"2014-02-02",12
"2014-02-09",11
"2014-02-16",18
"2014-02-23",27
"2014-03-02",20
"2014-03-09",22
"2014-03-16",17
"2014-03-23",18
"2014-03-30",27
"2014-04-06",18
"2014-04-13",16
"2014-04-20",18
"2014-04-27",18
"2014-05-04",19
"2014-05-11",24
"2014-05-18",17
"2014-05-25",17
"2014-06-01",19
"2014-06-08",20
"2014-06-15",21
"2014-06-22",16
"2014-06-29",19
"2014-07-06",21
"2014-07-13",25
"2014-07-20",18
"2014-07-27",18
"2014-08-03",19
"2014-08-10",17
"2014-08-17",20
"2014-08-24",18
"2014-08-31",21
"2014-09-07",15
"2014-09-14",17
"2014-09-21",16
"2014-09-28",19
"2014-10-05",32
"2014-10-12",22
"2014-10-19",19
"2014-10-26",16
"2014-11-02",14
"2014-11-09",19
"2014-11-16",14
"2014-11-23",15
"2014-11-30",14
"2014-12-07",16
"2014-12-14",15
"2014-12-21",16
"2014-12-28",15
"2015-01-04",16
"2015-01-11",18
"2015-01-18",17
"2015-01-25",25
"2015-02-01",18
"2015-02-08",15
"2015-02-15",19
"2015-02-22",18
"2015-03-01",16
"2015-03-08",13
"2015-03-15",21
"2015-03-22",18
"2015-03-29",20
"2015-04-05",18
"2015-04-12",18
"2015-04-19",17
"2015-04-26",28
"2015-05-03",30
"2015-05-10",20
"2015-05-17",20
"2015-05-24",21
"2015-05-31",14
"2015-06-07",22
"2015-06-14",18
"2015-06-21",20
"2015-06-28",23
"2015-07-05",21
"2015-07-12",23
"2015-07-19",24
"2015-07-26",22
"2015-08-02",26
"2015-08-09",21
"2015-08-16",23
"2015-08-23",26
"2015-08-30",25
"2015-09-06",20
"2015-09-13",21
"2015-09-20",19
"2015-09-27",31
"2015-10-04",24
"2015-10-11",22
"2015-10-18",22
"2015-10-25",19
"2015-11-01",23
"2015-11-08",19
"2015-11-15",19
"2015-11-22",23
"2015-11-29",18
"2015-12-06",18
"2015-12-13",20
"2015-12-20",20
"2015-12-27",19
"2016-01-03",19
"2016-01-10",18
"2016-01-17",15
"2016-01-24",22
"2016-01-31",26
"2016-02-07",26
"2016-02-14",24
"2016-02-21",17
"2016-02-28",21
"2016-03-06",19
"2016-03-13",19
"2016-03-20",26
"2016-03-27",100
"2016-04-03",64
"2016-04-10",29
"2016-04-17",27
"2016-04-24",26
"2016-05-01",24
"2016-05-08",26
"2016-05-15",23
"2016-05-22",25
"2016-05-29",20
"2016-06-05",24
"2016-06-12",20
"2016-06-19",26
"2016-06-26",33
"2016-07-03",25
"2016-07-10",22
"2016-07-17",25
"2016-07-24",23
"2016-07-31",23
"2016-08-07",21
"2016-08-14",18
"2016-08-21",22
"2016-08-28",20
"2016-09-04",19
"2016-09-11",18
"2016-09-18",22
"2016-09-25",22
"2016-10-02",20
"2016-10-09",20
"2016-10-16",30
"2016-10-23",30
"2016-10-30",27
"2016-11-06",20
"2016-11-13",24
"2016-11-20",22
"2016-11-27",21
"2016-12-04",19
"2016-12-11",20
"2016-12-18",23
"2016-12-25",23
"2017-01-01",24
"2017-01-08",20
"2017-01-15",20
"2017-01-22",21
"2017-01-29",20
"2017-02-05",21
"2017-02-12",23
"2017-02-19",22
"2017-02-26",22
"2017-03-05",25
"2017-03-12",23
"2017-03-19",24
"2017-03-26",23
"2017-04-02",32
"2017-04-09",32
"2017-04-16",27
"2017-04-23",28
"2017-04-30",30
"2017-05-07",30
"2017-05-14",27
"2017-05-21",25
"2017-05-28",27
"2017-06-04",29
"2017-06-11",27
"2017-06-18",27
"2017-06-25",28
"2017-07-02",50
"2017-07-09",37
"2017-07-16",28
"2017-07-23",44
"2017-07-30",51
"2017-08-06",41
"2017-08-13",27
"2017-08-20",27
"2017-08-27",26
"2017-09-03",24
"2017-09-10",29
"2017-09-17",33
"2017-09-24",31
"2017-10-01",31
"2017-10-08",30
"2017-10-15",28
"2017-10-22",26
"2017-10-29",31
"2017-11-05",28
"2017-11-12",65
"2017-11-19",54
"2017-11-26",35
"2017-12-03",33
"2017-12-10",31
"2017-12-17",30
"2017-12-24",36
"2017-12-31",30
"2018-01-07",27
"2018-01-14",28
"2018-01-21",33
"2018-01-28",30
"2018-02-04",64
"2018-02-11",37
"2018-02-18",31
"2018-02-25",29
"2018-03-04",30
"2018-03-11",29
"2018-03-18",26
"2018-03-25",36
"2018-04-01",33
"2018-04-08",27
"2018-04-15",28
"2018-04-22",26
"2018-04-29",32
"2018-05-06",34
"2018-05-13",29
"2018-05-20",28
"2018-05-27",31
"2018-06-03",28
"2018-06-10",30
"2018-06-17",35
"2018-06-24",35
"2018-07-01",35
"2018-07-08",35
"2018-07-15",34
"2018-07-22",39
"2018-07-29",38
"2018-08-05",47
"2018-08-12",39
"2018-08-19",36
"2018-08-26",32
"2018-09-02",43
"2018-09-09",38
"2018-09-16",35
"2018-09-23",37
"2018-09-30",45
"2018-10-07",35
"2018-10-14",39
"2018-10-21",40
"2018-10-28",36
"2018-11-04",32
"2018-11-11",33
"2018-11-18",30
