"date","idaho"
"2013-12-01",23
"2013-12-08",24
"2013-12-15",12
"2013-12-22",12
"2013-12-29",12
"2014-01-05",14
"2014-01-12",17
"2014-01-19",10
"2014-01-26",12
"2014-02-02",14
"2014-02-09",17
"2014-02-16",29
"2014-02-23",30
"2014-03-02",24
"2014-03-09",19
"2014-03-16",23
"2014-03-23",17
"2014-03-30",44
"2014-04-06",18
"2014-04-13",17
"2014-04-20",29
"2014-04-27",21
"2014-05-04",12
"2014-05-11",35
"2014-05-18",19
"2014-05-25",18
"2014-06-01",29
"2014-06-08",27
"2014-06-15",17
"2014-06-22",12
"2014-06-29",19
"2014-07-06",42
"2014-07-13",33
"2014-07-20",16
"2014-07-27",30
"2014-08-03",22
"2014-08-10",21
"2014-08-17",17
"2014-08-24",22
"2014-08-31",25
"2014-09-07",19
"2014-09-14",19
"2014-09-21",26
"2014-09-28",30
"2014-10-05",24
"2014-10-12",28
"2014-10-19",14
"2014-10-26",14
"2014-11-02",19
"2014-11-09",18
"2014-11-16",15
"2014-11-23",14
"2014-11-30",17
"2014-12-07",22
"2014-12-14",17
"2014-12-21",20
"2014-12-28",8
"2015-01-04",13
"2015-01-11",25
"2015-01-18",16
"2015-01-25",35
"2015-02-01",23
"2015-02-08",28
"2015-02-15",26
"2015-02-22",25
"2015-03-01",21
"2015-03-08",21
"2015-03-15",30
"2015-03-22",14
"2015-03-29",28
"2015-04-05",26
"2015-04-12",26
"2015-04-19",21
"2015-04-26",56
"2015-05-03",43
"2015-05-10",31
"2015-05-17",44
"2015-05-24",16
"2015-05-31",16
"2015-06-07",29
"2015-06-14",31
"2015-06-21",39
"2015-06-28",26
"2015-07-05",28
"2015-07-12",18
"2015-07-19",27
"2015-07-26",32
"2015-08-02",36
"2015-08-09",22
"2015-08-16",20
"2015-08-23",31
"2015-08-30",22
"2015-09-06",29
"2015-09-13",30
"2015-09-20",33
"2015-09-27",55
"2015-10-04",26
"2015-10-11",32
"2015-10-18",29
"2015-10-25",34
"2015-11-01",29
"2015-11-08",21
"2015-11-15",20
"2015-11-22",18
"2015-11-29",18
"2015-12-06",32
"2015-12-13",14
"2015-12-20",20
"2015-12-27",19
"2016-01-03",23
"2016-01-10",26
"2016-01-17",15
"2016-01-24",13
"2016-01-31",41
"2016-02-07",27
"2016-02-14",30
"2016-02-21",21
"2016-02-28",23
"2016-03-06",17
"2016-03-13",28
"2016-03-20",26
"2016-03-27",100
"2016-04-03",69
"2016-04-10",44
"2016-04-17",38
"2016-04-24",30
"2016-05-01",28
"2016-05-08",32
"2016-05-15",36
"2016-05-22",32
"2016-05-29",25
"2016-06-05",19
"2016-06-12",25
"2016-06-19",27
"2016-06-26",39
"2016-07-03",31
"2016-07-10",30
"2016-07-17",31
"2016-07-24",35
"2016-07-31",25
"2016-08-07",21
"2016-08-14",23
"2016-08-21",26
"2016-08-28",27
"2016-09-04",25
"2016-09-11",26
"2016-09-18",35
"2016-09-25",40
"2016-10-02",19
"2016-10-09",30
"2016-10-16",26
"2016-10-23",33
"2016-10-30",25
"2016-11-06",16
"2016-11-13",34
"2016-11-20",31
"2016-11-27",37
"2016-12-04",28
"2016-12-11",20
"2016-12-18",18
"2016-12-25",21
"2017-01-01",22
"2017-01-08",20
"2017-01-15",24
"2017-01-22",15
"2017-01-29",23
"2017-02-05",27
"2017-02-12",25
"2017-02-19",26
"2017-02-26",31
"2017-03-05",20
"2017-03-12",21
"2017-03-19",16
"2017-03-26",32
"2017-04-02",33
"2017-04-09",48
"2017-04-16",31
"2017-04-23",40
"2017-04-30",39
"2017-05-07",39
"2017-05-14",31
"2017-05-21",43
"2017-05-28",26
"2017-06-04",35
"2017-06-11",29
"2017-06-18",29
"2017-06-25",31
"2017-07-02",62
"2017-07-09",49
"2017-07-16",47
"2017-07-23",52
"2017-07-30",54
"2017-08-06",21
"2017-08-13",34
"2017-08-20",31
"2017-08-27",41
"2017-09-03",34
"2017-09-10",33
"2017-09-17",29
"2017-09-24",34
"2017-10-01",34
"2017-10-08",29
"2017-10-15",39
"2017-10-22",48
"2017-10-29",38
"2017-11-05",18
"2017-11-12",76
"2017-11-19",86
"2017-11-26",49
"2017-12-03",36
"2017-12-10",35
"2017-12-17",37
"2017-12-24",54
"2017-12-31",41
"2018-01-07",34
"2018-01-14",42
"2018-01-21",38
"2018-01-28",31
"2018-02-04",91
"2018-02-11",61
"2018-02-18",49
"2018-02-25",40
"2018-03-04",32
"2018-03-11",43
"2018-03-18",41
"2018-03-25",51
"2018-04-01",43
"2018-04-08",31
"2018-04-15",50
"2018-04-22",42
"2018-04-29",40
"2018-05-06",32
"2018-05-13",39
"2018-05-20",41
"2018-05-27",27
"2018-06-03",46
"2018-06-10",39
"2018-06-17",39
"2018-06-24",37
"2018-07-01",36
"2018-07-08",37
"2018-07-15",35
"2018-07-22",24
"2018-07-29",51
"2018-08-05",44
"2018-08-12",53
"2018-08-19",38
"2018-08-26",33
"2018-09-02",48
"2018-09-09",47
"2018-09-16",37
"2018-09-23",38
"2018-09-30",52
"2018-10-07",38
"2018-10-14",23
"2018-10-21",48
"2018-10-28",37
"2018-11-04",38
"2018-11-11",45
"2018-11-18",33
