"date","illinois"
"2013-12-01",13
"2013-12-08",14
"2013-12-15",12
"2013-12-22",12
"2013-12-29",11
"2014-01-05",10
"2014-01-12",14
"2014-01-19",12
"2014-01-26",11
"2014-02-02",10
"2014-02-09",12
"2014-02-16",19
"2014-02-23",24
"2014-03-02",16
"2014-03-09",16
"2014-03-16",16
"2014-03-23",18
"2014-03-30",22
"2014-04-06",19
"2014-04-13",15
"2014-04-20",16
"2014-04-27",15
"2014-05-04",16
"2014-05-11",18
"2014-05-18",15
"2014-05-25",15
"2014-06-01",15
"2014-06-08",19
"2014-06-15",18
"2014-06-22",15
"2014-06-29",14
"2014-07-06",18
"2014-07-13",23
"2014-07-20",16
"2014-07-27",18
"2014-08-03",16
"2014-08-10",16
"2014-08-17",18
"2014-08-24",14
"2014-08-31",18
"2014-09-07",17
"2014-09-14",15
"2014-09-21",13
"2014-09-28",16
"2014-10-05",31
"2014-10-12",19
"2014-10-19",19
"2014-10-26",15
"2014-11-02",17
"2014-11-09",14
"2014-11-16",14
"2014-11-23",11
"2014-11-30",10
"2014-12-07",12
"2014-12-14",13
"2014-12-21",13
"2014-12-28",13
"2015-01-04",15
"2015-01-11",16
"2015-01-18",14
"2015-01-25",23
"2015-02-01",15
"2015-02-08",18
"2015-02-15",16
"2015-02-22",16
"2015-03-01",14
"2015-03-08",16
"2015-03-15",16
"2015-03-22",15
"2015-03-29",16
"2015-04-05",17
"2015-04-12",17
"2015-04-19",16
"2015-04-26",25
"2015-05-03",26
"2015-05-10",20
"2015-05-17",15
"2015-05-24",17
"2015-05-31",14
"2015-06-07",15
"2015-06-14",16
"2015-06-21",16
"2015-06-28",18
"2015-07-05",19
"2015-07-12",17
"2015-07-19",21
"2015-07-26",19
"2015-08-02",19
"2015-08-09",20
"2015-08-16",19
"2015-08-23",21
"2015-08-30",27
"2015-09-06",20
"2015-09-13",17
"2015-09-20",18
"2015-09-27",35
"2015-10-04",20
"2015-10-11",21
"2015-10-18",23
"2015-10-25",18
"2015-11-01",18
"2015-11-08",15
"2015-11-15",15
"2015-11-22",18
"2015-11-29",14
"2015-12-06",16
"2015-12-13",15
"2015-12-20",16
"2015-12-27",14
"2016-01-03",17
"2016-01-10",15
"2016-01-17",15
"2016-01-24",20
"2016-01-31",20
"2016-02-07",25
"2016-02-14",21
"2016-02-21",17
"2016-02-28",18
"2016-03-06",16
"2016-03-13",17
"2016-03-20",21
"2016-03-27",100
"2016-04-03",56
"2016-04-10",28
"2016-04-17",23
"2016-04-24",23
"2016-05-01",23
"2016-05-08",22
"2016-05-15",20
"2016-05-22",21
"2016-05-29",18
"2016-06-05",22
"2016-06-12",18
"2016-06-19",24
"2016-06-26",27
"2016-07-03",25
"2016-07-10",22
"2016-07-17",22
"2016-07-24",22
"2016-07-31",22
"2016-08-07",19
"2016-08-14",16
"2016-08-21",23
"2016-08-28",20
"2016-09-04",19
"2016-09-11",19
"2016-09-18",19
"2016-09-25",20
"2016-10-02",19
"2016-10-09",17
"2016-10-16",24
"2016-10-23",24
"2016-10-30",21
"2016-11-06",20
"2016-11-13",21
"2016-11-20",21
"2016-11-27",19
"2016-12-04",15
"2016-12-11",16
"2016-12-18",16
"2016-12-25",20
"2017-01-01",20
"2017-01-08",20
"2017-01-15",19
"2017-01-22",21
"2017-01-29",20
"2017-02-05",23
"2017-02-12",23
"2017-02-19",22
"2017-02-26",23
"2017-03-05",21
"2017-03-12",21
"2017-03-19",20
"2017-03-26",22
"2017-04-02",25
"2017-04-09",29
"2017-04-16",24
"2017-04-23",22
"2017-04-30",27
"2017-05-07",29
"2017-05-14",27
"2017-05-21",23
"2017-05-28",24
"2017-06-04",25
"2017-06-11",27
"2017-06-18",27
"2017-06-25",26
"2017-07-02",43
"2017-07-09",37
"2017-07-16",28
"2017-07-23",41
"2017-07-30",46
"2017-08-06",31
"2017-08-13",25
"2017-08-20",24
"2017-08-27",24
"2017-09-03",23
"2017-09-10",26
"2017-09-17",25
"2017-09-24",24
"2017-10-01",26
"2017-10-08",23
"2017-10-15",23
"2017-10-22",24
"2017-10-29",27
"2017-11-05",23
"2017-11-12",57
"2017-11-19",46
"2017-11-26",30
"2017-12-03",27
"2017-12-10",27
"2017-12-17",28
"2017-12-24",28
"2017-12-31",29
"2018-01-07",27
"2018-01-14",28
"2018-01-21",29
"2018-01-28",27
"2018-02-04",54
"2018-02-11",31
"2018-02-18",28
"2018-02-25",22
"2018-03-04",24
"2018-03-11",26
"2018-03-18",26
"2018-03-25",33
"2018-04-01",31
"2018-04-08",26
"2018-04-15",27
"2018-04-22",27
"2018-04-29",31
"2018-05-06",32
"2018-05-13",30
"2018-05-20",31
"2018-05-27",23
"2018-06-03",26
"2018-06-10",30
"2018-06-17",27
"2018-06-24",28
"2018-07-01",33
"2018-07-08",30
"2018-07-15",26
"2018-07-22",29
"2018-07-29",34
"2018-08-05",42
"2018-08-12",35
"2018-08-19",33
"2018-08-26",29
"2018-09-02",39
"2018-09-09",39
"2018-09-16",31
"2018-09-23",39
"2018-09-30",43
"2018-10-07",35
"2018-10-14",34
"2018-10-21",39
"2018-10-28",31
"2018-11-04",28
"2018-11-11",29
"2018-11-18",27
