"date","indiana"
"2013-12-01",13
"2013-12-08",17
"2013-12-15",21
"2013-12-22",23
"2013-12-29",18
"2014-01-05",8
"2014-01-12",17
"2014-01-19",15
"2014-01-26",13
"2014-02-02",18
"2014-02-09",18
"2014-02-16",22
"2014-02-23",28
"2014-03-02",17
"2014-03-09",27
"2014-03-16",26
"2014-03-23",21
"2014-03-30",42
"2014-04-06",24
"2014-04-13",21
"2014-04-20",22
"2014-04-27",22
"2014-05-04",20
"2014-05-11",31
"2014-05-18",16
"2014-05-25",22
"2014-06-01",24
"2014-06-08",32
"2014-06-15",23
"2014-06-22",18
"2014-06-29",18
"2014-07-06",25
"2014-07-13",24
"2014-07-20",30
"2014-07-27",25
"2014-08-03",26
"2014-08-10",22
"2014-08-17",19
"2014-08-24",18
"2014-08-31",27
"2014-09-07",24
"2014-09-14",26
"2014-09-21",21
"2014-09-28",25
"2014-10-05",41
"2014-10-12",24
"2014-10-19",26
"2014-10-26",21
"2014-11-02",18
"2014-11-09",22
"2014-11-16",19
"2014-11-23",21
"2014-11-30",19
"2014-12-07",16
"2014-12-14",18
"2014-12-21",18
"2014-12-28",17
"2015-01-04",18
"2015-01-11",19
"2015-01-18",25
"2015-01-25",44
"2015-02-01",24
"2015-02-08",23
"2015-02-15",25
"2015-02-22",23
"2015-03-01",15
"2015-03-08",22
"2015-03-15",29
"2015-03-22",18
"2015-03-29",17
"2015-04-05",26
"2015-04-12",30
"2015-04-19",23
"2015-04-26",44
"2015-05-03",41
"2015-05-10",32
"2015-05-17",26
"2015-05-24",24
"2015-05-31",22
"2015-06-07",22
"2015-06-14",26
"2015-06-21",24
"2015-06-28",20
"2015-07-05",21
"2015-07-12",26
"2015-07-19",26
"2015-07-26",24
"2015-08-02",37
"2015-08-09",29
"2015-08-16",21
"2015-08-23",27
"2015-08-30",42
"2015-09-06",34
"2015-09-13",22
"2015-09-20",24
"2015-09-27",36
"2015-10-04",26
"2015-10-11",34
"2015-10-18",38
"2015-10-25",31
"2015-11-01",22
"2015-11-08",21
"2015-11-15",25
"2015-11-22",30
"2015-11-29",24
"2015-12-06",31
"2015-12-13",24
"2015-12-20",21
"2015-12-27",20
"2016-01-03",21
"2016-01-10",20
"2016-01-17",18
"2016-01-24",23
"2016-01-31",26
"2016-02-07",30
"2016-02-14",25
"2016-02-21",27
"2016-02-28",24
"2016-03-06",21
"2016-03-13",25
"2016-03-20",28
"2016-03-27",100
"2016-04-03",67
"2016-04-10",38
"2016-04-17",28
"2016-04-24",26
"2016-05-01",25
"2016-05-08",25
"2016-05-15",23
"2016-05-22",25
"2016-05-29",27
"2016-06-05",24
"2016-06-12",22
"2016-06-19",28
"2016-06-26",38
"2016-07-03",34
"2016-07-10",30
"2016-07-17",28
"2016-07-24",30
"2016-07-31",24
"2016-08-07",22
"2016-08-14",18
"2016-08-21",28
"2016-08-28",20
"2016-09-04",19
"2016-09-11",26
"2016-09-18",24
"2016-09-25",24
"2016-10-02",27
"2016-10-09",22
"2016-10-16",32
"2016-10-23",34
"2016-10-30",61
"2016-11-06",34
"2016-11-13",34
"2016-11-20",28
"2016-11-27",25
"2016-12-04",26
"2016-12-11",22
"2016-12-18",22
"2016-12-25",28
"2017-01-01",28
"2017-01-08",27
"2017-01-15",33
"2017-01-22",30
"2017-01-29",29
"2017-02-05",30
"2017-02-12",34
"2017-02-19",31
"2017-02-26",28
"2017-03-05",32
"2017-03-12",29
"2017-03-19",24
"2017-03-26",29
"2017-04-02",38
"2017-04-09",44
"2017-04-16",39
"2017-04-23",31
"2017-04-30",37
"2017-05-07",38
"2017-05-14",35
"2017-05-21",27
"2017-05-28",32
"2017-06-04",25
"2017-06-11",33
"2017-06-18",38
"2017-06-25",36
"2017-07-02",54
"2017-07-09",48
"2017-07-16",43
"2017-07-23",55
"2017-07-30",65
"2017-08-06",38
"2017-08-13",38
"2017-08-20",31
"2017-08-27",30
"2017-09-03",33
"2017-09-10",29
"2017-09-17",37
"2017-09-24",27
"2017-10-01",35
"2017-10-08",32
"2017-10-15",26
"2017-10-22",30
"2017-10-29",30
"2017-11-05",30
"2017-11-12",81
"2017-11-19",70
"2017-11-26",52
"2017-12-03",45
"2017-12-10",31
"2017-12-17",39
"2017-12-24",49
"2017-12-31",37
"2018-01-07",31
"2018-01-14",39
"2018-01-21",45
"2018-01-28",34
"2018-02-04",78
"2018-02-11",46
"2018-02-18",38
"2018-02-25",32
"2018-03-04",32
"2018-03-11",37
"2018-03-18",36
"2018-03-25",50
"2018-04-01",48
"2018-04-08",40
"2018-04-15",40
"2018-04-22",35
"2018-04-29",40
"2018-05-06",34
"2018-05-13",41
"2018-05-20",39
"2018-05-27",32
"2018-06-03",32
"2018-06-10",38
"2018-06-17",35
"2018-06-24",34
"2018-07-01",41
"2018-07-08",42
"2018-07-15",43
"2018-07-22",35
"2018-07-29",46
"2018-08-05",45
"2018-08-12",40
"2018-08-19",39
"2018-08-26",39
"2018-09-02",51
"2018-09-09",51
"2018-09-16",45
"2018-09-23",54
"2018-09-30",50
"2018-10-07",41
"2018-10-14",47
"2018-10-21",57
"2018-10-28",42
"2018-11-04",46
"2018-11-11",43
"2018-11-18",30
