"date","iowa"
"2013-12-01",13
"2013-12-08",10
"2013-12-15",10
"2013-12-22",7
"2013-12-29",9
"2014-01-05",13
"2014-01-12",13
"2014-01-19",22
"2014-01-26",12
"2014-02-02",16
"2014-02-09",13
"2014-02-16",17
"2014-02-23",23
"2014-03-02",17
"2014-03-09",19
"2014-03-16",18
"2014-03-23",19
"2014-03-30",32
"2014-04-06",19
"2014-04-13",21
"2014-04-20",21
"2014-04-27",19
"2014-05-04",19
"2014-05-11",31
"2014-05-18",20
"2014-05-25",15
"2014-06-01",21
"2014-06-08",29
"2014-06-15",19
"2014-06-22",19
"2014-06-29",18
"2014-07-06",30
"2014-07-13",32
"2014-07-20",21
"2014-07-27",28
"2014-08-03",18
"2014-08-10",13
"2014-08-17",19
"2014-08-24",16
"2014-08-31",25
"2014-09-07",22
"2014-09-14",15
"2014-09-21",19
"2014-09-28",19
"2014-10-05",45
"2014-10-12",24
"2014-10-19",30
"2014-10-26",30
"2014-11-02",13
"2014-11-09",19
"2014-11-16",19
"2014-11-23",17
"2014-11-30",20
"2014-12-07",14
"2014-12-14",19
"2014-12-21",21
"2014-12-28",13
"2015-01-04",13
"2015-01-11",27
"2015-01-18",19
"2015-01-25",32
"2015-02-01",22
"2015-02-08",17
"2015-02-15",27
"2015-02-22",26
"2015-03-01",23
"2015-03-08",26
"2015-03-15",30
"2015-03-22",19
"2015-03-29",23
"2015-04-05",21
"2015-04-12",20
"2015-04-19",24
"2015-04-26",45
"2015-05-03",38
"2015-05-10",25
"2015-05-17",28
"2015-05-24",30
"2015-05-31",15
"2015-06-07",17
"2015-06-14",21
"2015-06-21",29
"2015-06-28",15
"2015-07-05",24
"2015-07-12",31
"2015-07-19",20
"2015-07-26",23
"2015-08-02",26
"2015-08-09",30
"2015-08-16",24
"2015-08-23",21
"2015-08-30",27
"2015-09-06",19
"2015-09-13",18
"2015-09-20",19
"2015-09-27",32
"2015-10-04",32
"2015-10-11",24
"2015-10-18",23
"2015-10-25",24
"2015-11-01",22
"2015-11-08",19
"2015-11-15",20
"2015-11-22",17
"2015-11-29",19
"2015-12-06",23
"2015-12-13",18
"2015-12-20",15
"2015-12-27",15
"2016-01-03",20
"2016-01-10",15
"2016-01-17",18
"2016-01-24",19
"2016-01-31",19
"2016-02-07",30
"2016-02-14",23
"2016-02-21",18
"2016-02-28",11
"2016-03-06",17
"2016-03-13",18
"2016-03-20",25
"2016-03-27",100
"2016-04-03",61
"2016-04-10",31
"2016-04-17",17
"2016-04-24",19
"2016-05-01",21
"2016-05-08",24
"2016-05-15",27
"2016-05-22",32
"2016-05-29",15
"2016-06-05",24
"2016-06-12",25
"2016-06-19",14
"2016-06-26",31
"2016-07-03",32
"2016-07-10",33
"2016-07-17",25
"2016-07-24",23
"2016-07-31",20
"2016-08-07",21
"2016-08-14",14
"2016-08-21",27
"2016-08-28",27
"2016-09-04",17
"2016-09-11",23
"2016-09-18",19
"2016-09-25",24
"2016-10-02",20
"2016-10-09",28
"2016-10-16",29
"2016-10-23",35
"2016-10-30",33
"2016-11-06",19
"2016-11-13",26
"2016-11-20",30
"2016-11-27",22
"2016-12-04",21
"2016-12-11",22
"2016-12-18",29
"2016-12-25",19
"2017-01-01",25
"2017-01-08",27
"2017-01-15",26
"2017-01-22",29
"2017-01-29",28
"2017-02-05",25
"2017-02-12",24
"2017-02-19",29
"2017-02-26",31
"2017-03-05",24
"2017-03-12",22
"2017-03-19",25
"2017-03-26",26
"2017-04-02",25
"2017-04-09",41
"2017-04-16",35
"2017-04-23",39
"2017-04-30",35
"2017-05-07",34
"2017-05-14",32
"2017-05-21",23
"2017-05-28",24
"2017-06-04",35
"2017-06-11",30
"2017-06-18",29
"2017-06-25",24
"2017-07-02",54
"2017-07-09",32
"2017-07-16",36
"2017-07-23",44
"2017-07-30",60
"2017-08-06",41
"2017-08-13",37
"2017-08-20",33
"2017-08-27",29
"2017-09-03",21
"2017-09-10",32
"2017-09-17",20
"2017-09-24",25
"2017-10-01",30
"2017-10-08",31
"2017-10-15",28
"2017-10-22",27
"2017-10-29",28
"2017-11-05",33
"2017-11-12",81
"2017-11-19",64
"2017-11-26",44
"2017-12-03",35
"2017-12-10",33
"2017-12-17",37
"2017-12-24",38
"2017-12-31",34
"2018-01-07",40
"2018-01-14",38
"2018-01-21",43
"2018-01-28",31
"2018-02-04",82
"2018-02-11",50
"2018-02-18",29
"2018-02-25",36
"2018-03-04",32
"2018-03-11",37
"2018-03-18",34
"2018-03-25",50
"2018-04-01",46
"2018-04-08",35
"2018-04-15",39
"2018-04-22",37
"2018-04-29",41
"2018-05-06",41
"2018-05-13",36
"2018-05-20",34
"2018-05-27",37
"2018-06-03",32
"2018-06-10",32
"2018-06-17",35
"2018-06-24",37
"2018-07-01",46
"2018-07-08",34
"2018-07-15",36
"2018-07-22",32
"2018-07-29",46
"2018-08-05",55
"2018-08-12",43
"2018-08-19",42
"2018-08-26",37
"2018-09-02",54
"2018-09-09",49
"2018-09-16",35
"2018-09-23",50
"2018-09-30",54
"2018-10-07",44
"2018-10-14",46
"2018-10-21",58
"2018-10-28",42
"2018-11-04",39
"2018-11-11",40
"2018-11-18",41
