"date","kansas"
"2013-12-01",18
"2013-12-08",6
"2013-12-15",12
"2013-12-22",12
"2013-12-29",17
"2014-01-05",8
"2014-01-12",18
"2014-01-19",18
"2014-01-26",15
"2014-02-02",10
"2014-02-09",11
"2014-02-16",22
"2014-02-23",31
"2014-03-02",20
"2014-03-09",22
"2014-03-16",15
"2014-03-23",13
"2014-03-30",30
"2014-04-06",19
"2014-04-13",14
"2014-04-20",23
"2014-04-27",14
"2014-05-04",18
"2014-05-11",22
"2014-05-18",21
"2014-05-25",15
"2014-06-01",18
"2014-06-08",18
"2014-06-15",24
"2014-06-22",17
"2014-06-29",28
"2014-07-06",16
"2014-07-13",28
"2014-07-20",19
"2014-07-27",23
"2014-08-03",22
"2014-08-10",18
"2014-08-17",17
"2014-08-24",20
"2014-08-31",21
"2014-09-07",13
"2014-09-14",17
"2014-09-21",12
"2014-09-28",16
"2014-10-05",24
"2014-10-12",28
"2014-10-19",19
"2014-10-26",11
"2014-11-02",18
"2014-11-09",13
"2014-11-16",20
"2014-11-23",18
"2014-11-30",13
"2014-12-07",15
"2014-12-14",14
"2014-12-21",14
"2014-12-28",21
"2015-01-04",23
"2015-01-11",21
"2015-01-18",18
"2015-01-25",33
"2015-02-01",21
"2015-02-08",24
"2015-02-15",20
"2015-02-22",21
"2015-03-01",23
"2015-03-08",19
"2015-03-15",17
"2015-03-22",16
"2015-03-29",26
"2015-04-05",28
"2015-04-12",20
"2015-04-19",25
"2015-04-26",32
"2015-05-03",43
"2015-05-10",20
"2015-05-17",23
"2015-05-24",28
"2015-05-31",23
"2015-06-07",22
"2015-06-14",20
"2015-06-21",21
"2015-06-28",28
"2015-07-05",27
"2015-07-12",19
"2015-07-19",31
"2015-07-26",22
"2015-08-02",23
"2015-08-09",28
"2015-08-16",26
"2015-08-23",38
"2015-08-30",30
"2015-09-06",30
"2015-09-13",18
"2015-09-20",28
"2015-09-27",39
"2015-10-04",24
"2015-10-11",31
"2015-10-18",21
"2015-10-25",22
"2015-11-01",19
"2015-11-08",19
"2015-11-15",18
"2015-11-22",11
"2015-11-29",10
"2015-12-06",8
"2015-12-13",7
"2015-12-20",7
"2015-12-27",10
"2016-01-03",24
"2016-01-10",19
"2016-01-17",15
"2016-01-24",20
"2016-01-31",20
"2016-02-07",22
"2016-02-14",23
"2016-02-21",27
"2016-02-28",20
"2016-03-06",21
"2016-03-13",18
"2016-03-20",27
"2016-03-27",100
"2016-04-03",65
"2016-04-10",30
"2016-04-17",33
"2016-04-24",17
"2016-05-01",22
"2016-05-08",25
"2016-05-15",26
"2016-05-22",26
"2016-05-29",26
"2016-06-05",21
"2016-06-12",22
"2016-06-19",22
"2016-06-26",27
"2016-07-03",30
"2016-07-10",26
"2016-07-17",23
"2016-07-24",31
"2016-07-31",25
"2016-08-07",23
"2016-08-14",24
"2016-08-21",29
"2016-08-28",27
"2016-09-04",19
"2016-09-11",18
"2016-09-18",23
"2016-09-25",19
"2016-10-02",20
"2016-10-09",17
"2016-10-16",30
"2016-10-23",25
"2016-10-30",26
"2016-11-06",22
"2016-11-13",26
"2016-11-20",25
"2016-11-27",20
"2016-12-04",19
"2016-12-11",20
"2016-12-18",28
"2016-12-25",30
"2017-01-01",33
"2017-01-08",28
"2017-01-15",29
"2017-01-22",26
"2017-01-29",29
"2017-02-05",24
"2017-02-12",23
"2017-02-19",30
"2017-02-26",27
"2017-03-05",25
"2017-03-12",25
"2017-03-19",29
"2017-03-26",36
"2017-04-02",33
"2017-04-09",29
"2017-04-16",28
"2017-04-23",22
"2017-04-30",34
"2017-05-07",42
"2017-05-14",33
"2017-05-21",35
"2017-05-28",26
"2017-06-04",26
"2017-06-11",21
"2017-06-18",25
"2017-06-25",33
"2017-07-02",53
"2017-07-09",44
"2017-07-16",43
"2017-07-23",45
"2017-07-30",54
"2017-08-06",37
"2017-08-13",26
"2017-08-20",29
"2017-08-27",33
"2017-09-03",32
"2017-09-10",37
"2017-09-17",26
"2017-09-24",29
"2017-10-01",29
"2017-10-08",31
"2017-10-15",29
"2017-10-22",22
"2017-10-29",27
"2017-11-05",27
"2017-11-12",78
"2017-11-19",57
"2017-11-26",41
"2017-12-03",35
"2017-12-10",39
"2017-12-17",36
"2017-12-24",40
"2017-12-31",33
"2018-01-07",49
"2018-01-14",33
"2018-01-21",45
"2018-01-28",39
"2018-02-04",85
"2018-02-11",48
"2018-02-18",35
"2018-02-25",40
"2018-03-04",33
"2018-03-11",29
"2018-03-18",24
"2018-03-25",38
"2018-04-01",41
"2018-04-08",30
"2018-04-15",34
"2018-04-22",25
"2018-04-29",36
"2018-05-06",45
"2018-05-13",32
"2018-05-20",38
"2018-05-27",25
"2018-06-03",34
"2018-06-10",26
"2018-06-17",33
"2018-06-24",33
"2018-07-01",32
"2018-07-08",37
"2018-07-15",35
"2018-07-22",41
"2018-07-29",47
"2018-08-05",56
"2018-08-12",39
"2018-08-19",34
"2018-08-26",35
"2018-09-02",50
"2018-09-09",44
"2018-09-16",37
"2018-09-23",48
"2018-09-30",58
"2018-10-07",40
"2018-10-14",49
"2018-10-21",51
"2018-10-28",40
"2018-11-04",39
"2018-11-11",40
"2018-11-18",35
