"date","kentucky"
"2013-12-01",18
"2013-12-08",15
"2013-12-15",13
"2013-12-22",11
"2013-12-29",15
"2014-01-05",14
"2014-01-12",14
"2014-01-19",17
"2014-01-26",19
"2014-02-02",13
"2014-02-09",16
"2014-02-16",26
"2014-02-23",25
"2014-03-02",17
"2014-03-09",22
"2014-03-16",18
"2014-03-23",24
"2014-03-30",50
"2014-04-06",20
"2014-04-13",18
"2014-04-20",20
"2014-04-27",22
"2014-05-04",13
"2014-05-11",36
"2014-05-18",17
"2014-05-25",18
"2014-06-01",24
"2014-06-08",24
"2014-06-15",24
"2014-06-22",16
"2014-06-29",23
"2014-07-06",21
"2014-07-13",24
"2014-07-20",17
"2014-07-27",24
"2014-08-03",18
"2014-08-10",14
"2014-08-17",28
"2014-08-24",26
"2014-08-31",32
"2014-09-07",24
"2014-09-14",24
"2014-09-21",22
"2014-09-28",32
"2014-10-05",41
"2014-10-12",29
"2014-10-19",31
"2014-10-26",18
"2014-11-02",18
"2014-11-09",24
"2014-11-16",18
"2014-11-23",19
"2014-11-30",18
"2014-12-07",16
"2014-12-14",17
"2014-12-21",22
"2014-12-28",22
"2015-01-04",23
"2015-01-11",22
"2015-01-18",18
"2015-01-25",37
"2015-02-01",25
"2015-02-08",33
"2015-02-15",26
"2015-02-22",22
"2015-03-01",20
"2015-03-08",21
"2015-03-15",26
"2015-03-22",21
"2015-03-29",21
"2015-04-05",31
"2015-04-12",21
"2015-04-19",18
"2015-04-26",48
"2015-05-03",41
"2015-05-10",38
"2015-05-17",24
"2015-05-24",32
"2015-05-31",33
"2015-06-07",28
"2015-06-14",30
"2015-06-21",25
"2015-06-28",30
"2015-07-05",25
"2015-07-12",26
"2015-07-19",41
"2015-07-26",34
"2015-08-02",29
"2015-08-09",31
"2015-08-16",27
"2015-08-23",39
"2015-08-30",43
"2015-09-06",22
"2015-09-13",21
"2015-09-20",21
"2015-09-27",31
"2015-10-04",32
"2015-10-11",30
"2015-10-18",32
"2015-10-25",27
"2015-11-01",20
"2015-11-08",26
"2015-11-15",25
"2015-11-22",20
"2015-11-29",20
"2015-12-06",18
"2015-12-13",20
"2015-12-20",30
"2015-12-27",18
"2016-01-03",19
"2016-01-10",15
"2016-01-17",17
"2016-01-24",22
"2016-01-31",31
"2016-02-07",32
"2016-02-14",27
"2016-02-21",21
"2016-02-28",23
"2016-03-06",16
"2016-03-13",21
"2016-03-20",17
"2016-03-27",100
"2016-04-03",68
"2016-04-10",31
"2016-04-17",27
"2016-04-24",26
"2016-05-01",29
"2016-05-08",30
"2016-05-15",27
"2016-05-22",26
"2016-05-29",26
"2016-06-05",25
"2016-06-12",22
"2016-06-19",26
"2016-06-26",39
"2016-07-03",38
"2016-07-10",25
"2016-07-17",22
"2016-07-24",21
"2016-07-31",20
"2016-08-07",24
"2016-08-14",26
"2016-08-21",29
"2016-08-28",25
"2016-09-04",22
"2016-09-11",24
"2016-09-18",26
"2016-09-25",23
"2016-10-02",24
"2016-10-09",25
"2016-10-16",28
"2016-10-23",25
"2016-10-30",31
"2016-11-06",27
"2016-11-13",28
"2016-11-20",27
"2016-11-27",25
"2016-12-04",22
"2016-12-11",26
"2016-12-18",17
"2016-12-25",29
"2017-01-01",21
"2017-01-08",24
"2017-01-15",26
"2017-01-22",25
"2017-01-29",24
"2017-02-05",39
"2017-02-12",36
"2017-02-19",26
"2017-02-26",24
"2017-03-05",28
"2017-03-12",25
"2017-03-19",24
"2017-03-26",29
"2017-04-02",34
"2017-04-09",32
"2017-04-16",41
"2017-04-23",45
"2017-04-30",31
"2017-05-07",35
"2017-05-14",29
"2017-05-21",28
"2017-05-28",38
"2017-06-04",24
"2017-06-11",32
"2017-06-18",27
"2017-06-25",30
"2017-07-02",41
"2017-07-09",47
"2017-07-16",34
"2017-07-23",64
"2017-07-30",54
"2017-08-06",44
"2017-08-13",31
"2017-08-20",40
"2017-08-27",25
"2017-09-03",30
"2017-09-10",35
"2017-09-17",31
"2017-09-24",30
"2017-10-01",37
"2017-10-08",26
"2017-10-15",24
"2017-10-22",38
"2017-10-29",35
"2017-11-05",27
"2017-11-12",79
"2017-11-19",60
"2017-11-26",38
"2017-12-03",41
"2017-12-10",32
"2017-12-17",38
"2017-12-24",42
"2017-12-31",39
"2018-01-07",39
"2018-01-14",36
"2018-01-21",32
"2018-01-28",37
"2018-02-04",69
"2018-02-11",38
"2018-02-18",37
"2018-02-25",25
"2018-03-04",27
"2018-03-11",30
"2018-03-18",35
"2018-03-25",40
"2018-04-01",33
"2018-04-08",37
"2018-04-15",34
"2018-04-22",27
"2018-04-29",42
"2018-05-06",30
"2018-05-13",39
"2018-05-20",38
"2018-05-27",41
"2018-06-03",30
"2018-06-10",32
"2018-06-17",33
"2018-06-24",34
"2018-07-01",39
"2018-07-08",34
"2018-07-15",33
"2018-07-22",38
"2018-07-29",42
"2018-08-05",53
"2018-08-12",36
"2018-08-19",44
"2018-08-26",37
"2018-09-02",44
"2018-09-09",53
"2018-09-16",40
"2018-09-23",43
"2018-09-30",60
"2018-10-07",42
"2018-10-14",39
"2018-10-21",35
"2018-10-28",29
"2018-11-04",31
"2018-11-11",40
"2018-11-18",35
