"date","louisiana"
"2013-12-01",17
"2013-12-08",21
"2013-12-15",14
"2013-12-22",12
"2013-12-29",20
"2014-01-05",7
"2014-01-12",16
"2014-01-19",13
"2014-01-26",14
"2014-02-02",16
"2014-02-09",14
"2014-02-16",16
"2014-02-23",27
"2014-03-02",21
"2014-03-09",39
"2014-03-16",8
"2014-03-23",17
"2014-03-30",35
"2014-04-06",23
"2014-04-13",14
"2014-04-20",26
"2014-04-27",18
"2014-05-04",21
"2014-05-11",28
"2014-05-18",24
"2014-05-25",13
"2014-06-01",24
"2014-06-08",19
"2014-06-15",26
"2014-06-22",20
"2014-06-29",39
"2014-07-06",29
"2014-07-13",36
"2014-07-20",24
"2014-07-27",17
"2014-08-03",17
"2014-08-10",13
"2014-08-17",33
"2014-08-24",36
"2014-08-31",20
"2014-09-07",16
"2014-09-14",24
"2014-09-21",10
"2014-09-28",25
"2014-10-05",28
"2014-10-12",28
"2014-10-19",15
"2014-10-26",10
"2014-11-02",9
"2014-11-09",19
"2014-11-16",19
"2014-11-23",25
"2014-11-30",11
"2014-12-07",14
"2014-12-14",29
"2014-12-21",17
"2014-12-28",15
"2015-01-04",17
"2015-01-11",24
"2015-01-18",31
"2015-01-25",32
"2015-02-01",20
"2015-02-08",20
"2015-02-15",21
"2015-02-22",21
"2015-03-01",15
"2015-03-08",19
"2015-03-15",21
"2015-03-22",21
"2015-03-29",24
"2015-04-05",22
"2015-04-12",20
"2015-04-19",25
"2015-04-26",42
"2015-05-03",38
"2015-05-10",16
"2015-05-17",14
"2015-05-24",18
"2015-05-31",30
"2015-06-07",29
"2015-06-14",24
"2015-06-21",31
"2015-06-28",16
"2015-07-05",31
"2015-07-12",20
"2015-07-19",32
"2015-07-26",16
"2015-08-02",18
"2015-08-09",22
"2015-08-16",18
"2015-08-23",28
"2015-08-30",32
"2015-09-06",25
"2015-09-13",26
"2015-09-20",20
"2015-09-27",40
"2015-10-04",33
"2015-10-11",32
"2015-10-18",27
"2015-10-25",20
"2015-11-01",18
"2015-11-08",16
"2015-11-15",12
"2015-11-22",37
"2015-11-29",29
"2015-12-06",10
"2015-12-13",17
"2015-12-20",33
"2015-12-27",19
"2016-01-03",16
"2016-01-10",30
"2016-01-17",17
"2016-01-24",26
"2016-01-31",23
"2016-02-07",15
"2016-02-14",22
"2016-02-21",15
"2016-02-28",25
"2016-03-06",14
"2016-03-13",19
"2016-03-20",28
"2016-03-27",100
"2016-04-03",77
"2016-04-10",26
"2016-04-17",36
"2016-04-24",26
"2016-05-01",29
"2016-05-08",34
"2016-05-15",29
"2016-05-22",36
"2016-05-29",27
"2016-06-05",22
"2016-06-12",16
"2016-06-19",29
"2016-06-26",33
"2016-07-03",20
"2016-07-10",30
"2016-07-17",23
"2016-07-24",14
"2016-07-31",36
"2016-08-07",19
"2016-08-14",23
"2016-08-21",29
"2016-08-28",22
"2016-09-04",31
"2016-09-11",17
"2016-09-18",24
"2016-09-25",31
"2016-10-02",24
"2016-10-09",28
"2016-10-16",30
"2016-10-23",30
"2016-10-30",27
"2016-11-06",28
"2016-11-13",23
"2016-11-20",33
"2016-11-27",28
"2016-12-04",32
"2016-12-11",29
"2016-12-18",22
"2016-12-25",33
"2017-01-01",24
"2017-01-08",21
"2017-01-15",20
"2017-01-22",21
"2017-01-29",16
"2017-02-05",25
"2017-02-12",18
"2017-02-19",24
"2017-02-26",28
"2017-03-05",32
"2017-03-12",25
"2017-03-19",25
"2017-03-26",29
"2017-04-02",20
"2017-04-09",37
"2017-04-16",39
"2017-04-23",30
"2017-04-30",24
"2017-05-07",34
"2017-05-14",29
"2017-05-21",27
"2017-05-28",24
"2017-06-04",33
"2017-06-11",25
"2017-06-18",31
"2017-06-25",19
"2017-07-02",46
"2017-07-09",43
"2017-07-16",33
"2017-07-23",43
"2017-07-30",58
"2017-08-06",40
"2017-08-13",34
"2017-08-20",28
"2017-08-27",20
"2017-09-03",38
"2017-09-10",33
"2017-09-17",25
"2017-09-24",34
"2017-10-01",28
"2017-10-08",31
"2017-10-15",28
"2017-10-22",33
"2017-10-29",35
"2017-11-05",36
"2017-11-12",76
"2017-11-19",51
"2017-11-26",33
"2017-12-03",44
"2017-12-10",38
"2017-12-17",47
"2017-12-24",34
"2017-12-31",41
"2018-01-07",34
"2018-01-14",34
"2018-01-21",42
"2018-01-28",44
"2018-02-04",77
"2018-02-11",29
"2018-02-18",35
"2018-02-25",30
"2018-03-04",33
"2018-03-11",26
"2018-03-18",26
"2018-03-25",34
"2018-04-01",42
"2018-04-08",37
"2018-04-15",38
"2018-04-22",28
"2018-04-29",29
"2018-05-06",37
"2018-05-13",49
"2018-05-20",33
"2018-05-27",38
"2018-06-03",38
"2018-06-10",28
"2018-06-17",36
"2018-06-24",36
"2018-07-01",42
"2018-07-08",46
"2018-07-15",39
"2018-07-22",39
"2018-07-29",36
"2018-08-05",47
"2018-08-12",53
"2018-08-19",27
"2018-08-26",39
"2018-09-02",40
"2018-09-09",43
"2018-09-16",45
"2018-09-23",30
"2018-09-30",42
"2018-10-07",40
"2018-10-14",37
"2018-10-21",39
"2018-10-28",37
"2018-11-04",32
"2018-11-11",36
"2018-11-18",26
