"date","maine"
"2013-12-01",39
"2013-12-08",16
"2013-12-15",16
"2013-12-22",18
"2013-12-29",21
"2014-01-05",11
"2014-01-12",13
"2014-01-19",16
"2014-01-26",17
"2014-02-02",11
"2014-02-09",9
"2014-02-16",15
"2014-02-23",34
"2014-03-02",13
"2014-03-09",16
"2014-03-16",27
"2014-03-23",20
"2014-03-30",33
"2014-04-06",34
"2014-04-13",13
"2014-04-20",22
"2014-04-27",11
"2014-05-04",18
"2014-05-11",24
"2014-05-18",25
"2014-05-25",12
"2014-06-01",31
"2014-06-08",31
"2014-06-15",21
"2014-06-22",16
"2014-06-29",31
"2014-07-06",39
"2014-07-13",23
"2014-07-20",22
"2014-07-27",41
"2014-08-03",28
"2014-08-10",26
"2014-08-17",17
"2014-08-24",8
"2014-08-31",28
"2014-09-07",20
"2014-09-14",24
"2014-09-21",21
"2014-09-28",33
"2014-10-05",33
"2014-10-12",27
"2014-10-19",10
"2014-10-26",9
"2014-11-02",18
"2014-11-09",9
"2014-11-16",16
"2014-11-23",18
"2014-11-30",5
"2014-12-07",15
"2014-12-14",22
"2014-12-21",22
"2014-12-28",33
"2015-01-04",19
"2015-01-11",15
"2015-01-18",12
"2015-01-25",21
"2015-02-01",21
"2015-02-08",24
"2015-02-15",28
"2015-02-22",24
"2015-03-01",17
"2015-03-08",19
"2015-03-15",15
"2015-03-22",20
"2015-03-29",33
"2015-04-05",45
"2015-04-12",16
"2015-04-19",19
"2015-04-26",35
"2015-05-03",40
"2015-05-10",37
"2015-05-17",33
"2015-05-24",23
"2015-05-31",30
"2015-06-07",11
"2015-06-14",21
"2015-06-21",25
"2015-06-28",22
"2015-07-05",32
"2015-07-12",21
"2015-07-19",19
"2015-07-26",34
"2015-08-02",21
"2015-08-09",25
"2015-08-16",20
"2015-08-23",31
"2015-08-30",33
"2015-09-06",17
"2015-09-13",24
"2015-09-20",17
"2015-09-27",44
"2015-10-04",33
"2015-10-11",13
"2015-10-18",41
"2015-10-25",21
"2015-11-01",16
"2015-11-08",26
"2015-11-15",19
"2015-11-22",16
"2015-11-29",17
"2015-12-06",20
"2015-12-13",24
"2015-12-20",21
"2015-12-27",24
"2016-01-03",16
"2016-01-10",26
"2016-01-17",23
"2016-01-24",16
"2016-01-31",13
"2016-02-07",28
"2016-02-14",30
"2016-02-21",24
"2016-02-28",32
"2016-03-06",24
"2016-03-13",19
"2016-03-20",28
"2016-03-27",100
"2016-04-03",62
"2016-04-10",52
"2016-04-17",30
"2016-04-24",27
"2016-05-01",32
"2016-05-08",43
"2016-05-15",19
"2016-05-22",23
"2016-05-29",19
"2016-06-05",23
"2016-06-12",19
"2016-06-19",50
"2016-06-26",36
"2016-07-03",23
"2016-07-10",19
"2016-07-17",24
"2016-07-24",17
"2016-07-31",18
"2016-08-07",32
"2016-08-14",18
"2016-08-21",38
"2016-08-28",23
"2016-09-04",15
"2016-09-11",31
"2016-09-18",14
"2016-09-25",23
"2016-10-02",25
"2016-10-09",19
"2016-10-16",26
"2016-10-23",29
"2016-10-30",47
"2016-11-06",27
"2016-11-13",43
"2016-11-20",36
"2016-11-27",30
"2016-12-04",29
"2016-12-11",19
"2016-12-18",27
"2016-12-25",43
"2017-01-01",16
"2017-01-08",26
"2017-01-15",19
"2017-01-22",23
"2017-01-29",20
"2017-02-05",28
"2017-02-12",23
"2017-02-19",19
"2017-02-26",35
"2017-03-05",24
"2017-03-12",21
"2017-03-19",16
"2017-03-26",35
"2017-04-02",41
"2017-04-09",31
"2017-04-16",31
"2017-04-23",24
"2017-04-30",32
"2017-05-07",46
"2017-05-14",29
"2017-05-21",31
"2017-05-28",42
"2017-06-04",32
"2017-06-11",12
"2017-06-18",32
"2017-06-25",34
"2017-07-02",70
"2017-07-09",35
"2017-07-16",34
"2017-07-23",63
"2017-07-30",69
"2017-08-06",42
"2017-08-13",34
"2017-08-20",30
"2017-08-27",34
"2017-09-03",30
"2017-09-10",24
"2017-09-17",18
"2017-09-24",28
"2017-10-01",24
"2017-10-08",27
"2017-10-15",36
"2017-10-22",25
"2017-10-29",34
"2017-11-05",33
"2017-11-12",72
"2017-11-19",66
"2017-11-26",38
"2017-12-03",41
"2017-12-10",40
"2017-12-17",29
"2017-12-24",35
"2017-12-31",42
"2018-01-07",31
"2018-01-14",38
"2018-01-21",25
"2018-01-28",30
"2018-02-04",87
"2018-02-11",36
"2018-02-18",31
"2018-02-25",34
"2018-03-04",35
"2018-03-11",27
"2018-03-18",30
"2018-03-25",49
"2018-04-01",37
"2018-04-08",38
"2018-04-15",19
"2018-04-22",32
"2018-04-29",26
"2018-05-06",40
"2018-05-13",52
"2018-05-20",35
"2018-05-27",35
"2018-06-03",41
"2018-06-10",32
"2018-06-17",34
"2018-06-24",42
"2018-07-01",37
"2018-07-08",38
"2018-07-15",38
"2018-07-22",33
"2018-07-29",32
"2018-08-05",44
"2018-08-12",39
"2018-08-19",47
"2018-08-26",35
"2018-09-02",56
"2018-09-09",50
"2018-09-16",47
"2018-09-23",46
"2018-09-30",42
"2018-10-07",37
"2018-10-14",40
"2018-10-21",44
"2018-10-28",27
"2018-11-04",31
"2018-11-11",35
"2018-11-18",36
