"date","maryland"
"2013-12-01",16
"2013-12-08",10
"2013-12-15",11
"2013-12-22",12
"2013-12-29",11
"2014-01-05",10
"2014-01-12",14
"2014-01-19",11
"2014-01-26",12
"2014-02-02",11
"2014-02-09",12
"2014-02-16",16
"2014-02-23",23
"2014-03-02",15
"2014-03-09",18
"2014-03-16",16
"2014-03-23",14
"2014-03-30",25
"2014-04-06",18
"2014-04-13",16
"2014-04-20",19
"2014-04-27",13
"2014-05-04",16
"2014-05-11",22
"2014-05-18",13
"2014-05-25",12
"2014-06-01",22
"2014-06-08",20
"2014-06-15",17
"2014-06-22",15
"2014-06-29",14
"2014-07-06",20
"2014-07-13",22
"2014-07-20",17
"2014-07-27",17
"2014-08-03",15
"2014-08-10",13
"2014-08-17",16
"2014-08-24",12
"2014-08-31",17
"2014-09-07",13
"2014-09-14",16
"2014-09-21",13
"2014-09-28",19
"2014-10-05",34
"2014-10-12",20
"2014-10-19",17
"2014-10-26",15
"2014-11-02",12
"2014-11-09",12
"2014-11-16",10
"2014-11-23",10
"2014-11-30",12
"2014-12-07",13
"2014-12-14",11
"2014-12-21",18
"2014-12-28",16
"2015-01-04",16
"2015-01-11",16
"2015-01-18",14
"2015-01-25",21
"2015-02-01",13
"2015-02-08",21
"2015-02-15",15
"2015-02-22",14
"2015-03-01",13
"2015-03-08",16
"2015-03-15",18
"2015-03-22",16
"2015-03-29",20
"2015-04-05",20
"2015-04-12",16
"2015-04-19",18
"2015-04-26",29
"2015-05-03",28
"2015-05-10",22
"2015-05-17",17
"2015-05-24",15
"2015-05-31",18
"2015-06-07",17
"2015-06-14",17
"2015-06-21",20
"2015-06-28",11
"2015-07-05",15
"2015-07-12",17
"2015-07-19",23
"2015-07-26",17
"2015-08-02",20
"2015-08-09",16
"2015-08-16",14
"2015-08-23",21
"2015-08-30",24
"2015-09-06",17
"2015-09-13",17
"2015-09-20",16
"2015-09-27",32
"2015-10-04",20
"2015-10-11",21
"2015-10-18",25
"2015-10-25",19
"2015-11-01",18
"2015-11-08",17
"2015-11-15",16
"2015-11-22",16
"2015-11-29",16
"2015-12-06",13
"2015-12-13",15
"2015-12-20",18
"2015-12-27",20
"2016-01-03",17
"2016-01-10",15
"2016-01-17",12
"2016-01-24",14
"2016-01-31",20
"2016-02-07",23
"2016-02-14",18
"2016-02-21",18
"2016-02-28",14
"2016-03-06",16
"2016-03-13",16
"2016-03-20",21
"2016-03-27",100
"2016-04-03",55
"2016-04-10",30
"2016-04-17",27
"2016-04-24",21
"2016-05-01",21
"2016-05-08",18
"2016-05-15",21
"2016-05-22",20
"2016-05-29",18
"2016-06-05",20
"2016-06-12",18
"2016-06-19",27
"2016-06-26",27
"2016-07-03",21
"2016-07-10",20
"2016-07-17",17
"2016-07-24",20
"2016-07-31",17
"2016-08-07",16
"2016-08-14",17
"2016-08-21",21
"2016-08-28",17
"2016-09-04",18
"2016-09-11",18
"2016-09-18",17
"2016-09-25",20
"2016-10-02",18
"2016-10-09",18
"2016-10-16",25
"2016-10-23",25
"2016-10-30",20
"2016-11-06",19
"2016-11-13",20
"2016-11-20",18
"2016-11-27",17
"2016-12-04",15
"2016-12-11",16
"2016-12-18",16
"2016-12-25",22
"2017-01-01",21
"2017-01-08",17
"2017-01-15",21
"2017-01-22",20
"2017-01-29",16
"2017-02-05",20
"2017-02-12",20
"2017-02-19",24
"2017-02-26",21
"2017-03-05",20
"2017-03-12",19
"2017-03-19",19
"2017-03-26",20
"2017-04-02",26
"2017-04-09",28
"2017-04-16",23
"2017-04-23",24
"2017-04-30",27
"2017-05-07",27
"2017-05-14",23
"2017-05-21",20
"2017-05-28",23
"2017-06-04",25
"2017-06-11",24
"2017-06-18",21
"2017-06-25",23
"2017-07-02",41
"2017-07-09",34
"2017-07-16",27
"2017-07-23",41
"2017-07-30",50
"2017-08-06",28
"2017-08-13",23
"2017-08-20",21
"2017-08-27",24
"2017-09-03",22
"2017-09-10",23
"2017-09-17",23
"2017-09-24",26
"2017-10-01",25
"2017-10-08",26
"2017-10-15",25
"2017-10-22",28
"2017-10-29",30
"2017-11-05",22
"2017-11-12",59
"2017-11-19",47
"2017-11-26",31
"2017-12-03",31
"2017-12-10",24
"2017-12-17",26
"2017-12-24",29
"2017-12-31",25
"2018-01-07",25
"2018-01-14",23
"2018-01-21",32
"2018-01-28",28
"2018-02-04",52
"2018-02-11",32
"2018-02-18",27
"2018-02-25",24
"2018-03-04",24
"2018-03-11",26
"2018-03-18",19
"2018-03-25",32
"2018-04-01",30
"2018-04-08",24
"2018-04-15",25
"2018-04-22",25
"2018-04-29",30
"2018-05-06",30
"2018-05-13",26
"2018-05-20",29
"2018-05-27",29
"2018-06-03",27
"2018-06-10",27
"2018-06-17",28
"2018-06-24",28
"2018-07-01",32
"2018-07-08",32
"2018-07-15",26
"2018-07-22",31
"2018-07-29",36
"2018-08-05",43
"2018-08-12",37
"2018-08-19",37
"2018-08-26",29
"2018-09-02",40
"2018-09-09",32
"2018-09-16",37
"2018-09-23",38
"2018-09-30",41
"2018-10-07",33
"2018-10-14",36
"2018-10-21",40
"2018-10-28",30
"2018-11-04",29
"2018-11-11",29
"2018-11-18",28
