"date","massachusetts"
"2013-12-01",13
"2013-12-08",14
"2013-12-15",10
"2013-12-22",12
"2013-12-29",10
"2014-01-05",11
"2014-01-12",12
"2014-01-19",11
"2014-01-26",11
"2014-02-02",10
"2014-02-09",11
"2014-02-16",15
"2014-02-23",23
"2014-03-02",14
"2014-03-09",19
"2014-03-16",16
"2014-03-23",15
"2014-03-30",25
"2014-04-06",18
"2014-04-13",14
"2014-04-20",15
"2014-04-27",16
"2014-05-04",17
"2014-05-11",19
"2014-05-18",16
"2014-05-25",14
"2014-06-01",17
"2014-06-08",17
"2014-06-15",17
"2014-06-22",13
"2014-06-29",16
"2014-07-06",17
"2014-07-13",22
"2014-07-20",17
"2014-07-27",15
"2014-08-03",15
"2014-08-10",15
"2014-08-17",14
"2014-08-24",13
"2014-08-31",18
"2014-09-07",18
"2014-09-14",17
"2014-09-21",13
"2014-09-28",20
"2014-10-05",34
"2014-10-12",21
"2014-10-19",17
"2014-10-26",16
"2014-11-02",16
"2014-11-09",16
"2014-11-16",13
"2014-11-23",15
"2014-11-30",12
"2014-12-07",12
"2014-12-14",12
"2014-12-21",14
"2014-12-28",11
"2015-01-04",13
"2015-01-11",15
"2015-01-18",12
"2015-01-25",22
"2015-02-01",12
"2015-02-08",18
"2015-02-15",18
"2015-02-22",16
"2015-03-01",15
"2015-03-08",14
"2015-03-15",18
"2015-03-22",15
"2015-03-29",18
"2015-04-05",20
"2015-04-12",18
"2015-04-19",18
"2015-04-26",33
"2015-05-03",30
"2015-05-10",21
"2015-05-17",18
"2015-05-24",20
"2015-05-31",19
"2015-06-07",18
"2015-06-14",16
"2015-06-21",20
"2015-06-28",19
"2015-07-05",16
"2015-07-12",20
"2015-07-19",22
"2015-07-26",18
"2015-08-02",21
"2015-08-09",18
"2015-08-16",16
"2015-08-23",25
"2015-08-30",23
"2015-09-06",16
"2015-09-13",17
"2015-09-20",18
"2015-09-27",32
"2015-10-04",20
"2015-10-11",20
"2015-10-18",21
"2015-10-25",16
"2015-11-01",20
"2015-11-08",14
"2015-11-15",17
"2015-11-22",17
"2015-11-29",14
"2015-12-06",15
"2015-12-13",13
"2015-12-20",16
"2015-12-27",19
"2016-01-03",15
"2016-01-10",17
"2016-01-17",15
"2016-01-24",16
"2016-01-31",18
"2016-02-07",21
"2016-02-14",19
"2016-02-21",18
"2016-02-28",18
"2016-03-06",14
"2016-03-13",17
"2016-03-20",19
"2016-03-27",100
"2016-04-03",52
"2016-04-10",33
"2016-04-17",23
"2016-04-24",20
"2016-05-01",24
"2016-05-08",20
"2016-05-15",19
"2016-05-22",19
"2016-05-29",21
"2016-06-05",19
"2016-06-12",18
"2016-06-19",26
"2016-06-26",27
"2016-07-03",27
"2016-07-10",24
"2016-07-17",25
"2016-07-24",20
"2016-07-31",19
"2016-08-07",18
"2016-08-14",18
"2016-08-21",24
"2016-08-28",19
"2016-09-04",16
"2016-09-11",19
"2016-09-18",19
"2016-09-25",19
"2016-10-02",16
"2016-10-09",17
"2016-10-16",25
"2016-10-23",23
"2016-10-30",25
"2016-11-06",19
"2016-11-13",24
"2016-11-20",20
"2016-11-27",21
"2016-12-04",19
"2016-12-11",17
"2016-12-18",17
"2016-12-25",20
"2017-01-01",20
"2017-01-08",21
"2017-01-15",18
"2017-01-22",19
"2017-01-29",17
"2017-02-05",16
"2017-02-12",19
"2017-02-19",24
"2017-02-26",20
"2017-03-05",20
"2017-03-12",18
"2017-03-19",19
"2017-03-26",22
"2017-04-02",27
"2017-04-09",32
"2017-04-16",23
"2017-04-23",27
"2017-04-30",26
"2017-05-07",29
"2017-05-14",23
"2017-05-21",20
"2017-05-28",24
"2017-06-04",27
"2017-06-11",25
"2017-06-18",24
"2017-06-25",23
"2017-07-02",43
"2017-07-09",31
"2017-07-16",31
"2017-07-23",39
"2017-07-30",49
"2017-08-06",34
"2017-08-13",26
"2017-08-20",21
"2017-08-27",24
"2017-09-03",20
"2017-09-10",27
"2017-09-17",23
"2017-09-24",23
"2017-10-01",25
"2017-10-08",24
"2017-10-15",25
"2017-10-22",25
"2017-10-29",26
"2017-11-05",23
"2017-11-12",51
"2017-11-19",43
"2017-11-26",27
"2017-12-03",26
"2017-12-10",23
"2017-12-17",23
"2017-12-24",28
"2017-12-31",24
"2018-01-07",26
"2018-01-14",23
"2018-01-21",26
"2018-01-28",25
"2018-02-04",53
"2018-02-11",29
"2018-02-18",25
"2018-02-25",23
"2018-03-04",24
"2018-03-11",20
"2018-03-18",20
"2018-03-25",33
"2018-04-01",36
"2018-04-08",29
"2018-04-15",23
"2018-04-22",23
"2018-04-29",31
"2018-05-06",25
"2018-05-13",27
"2018-05-20",27
"2018-05-27",24
"2018-06-03",26
"2018-06-10",27
"2018-06-17",28
"2018-06-24",30
"2018-07-01",31
"2018-07-08",30
"2018-07-15",26
"2018-07-22",32
"2018-07-29",37
"2018-08-05",49
"2018-08-12",37
"2018-08-19",37
"2018-08-26",32
"2018-09-02",37
"2018-09-09",39
"2018-09-16",33
"2018-09-23",40
"2018-09-30",47
"2018-10-07",33
"2018-10-14",32
"2018-10-21",41
"2018-10-28",31
"2018-11-04",30
"2018-11-11",30
"2018-11-18",29
