"date","michigan"
"2013-12-01",12
"2013-12-08",15
"2013-12-15",15
"2013-12-22",11
"2013-12-29",11
"2014-01-05",11
"2014-01-12",18
"2014-01-19",17
"2014-01-26",15
"2014-02-02",14
"2014-02-09",14
"2014-02-16",21
"2014-02-23",23
"2014-03-02",18
"2014-03-09",21
"2014-03-16",21
"2014-03-23",21
"2014-03-30",38
"2014-04-06",16
"2014-04-13",19
"2014-04-20",23
"2014-04-27",16
"2014-05-04",24
"2014-05-11",29
"2014-05-18",17
"2014-05-25",17
"2014-06-01",19
"2014-06-08",25
"2014-06-15",27
"2014-06-22",20
"2014-06-29",21
"2014-07-06",26
"2014-07-13",30
"2014-07-20",23
"2014-07-27",23
"2014-08-03",24
"2014-08-10",17
"2014-08-17",22
"2014-08-24",18
"2014-08-31",22
"2014-09-07",18
"2014-09-14",21
"2014-09-21",17
"2014-09-28",24
"2014-10-05",36
"2014-10-12",28
"2014-10-19",39
"2014-10-26",21
"2014-11-02",18
"2014-11-09",15
"2014-11-16",14
"2014-11-23",15
"2014-11-30",15
"2014-12-07",15
"2014-12-14",18
"2014-12-21",19
"2014-12-28",19
"2015-01-04",18
"2015-01-11",27
"2015-01-18",21
"2015-01-25",30
"2015-02-01",21
"2015-02-08",23
"2015-02-15",22
"2015-02-22",20
"2015-03-01",17
"2015-03-08",16
"2015-03-15",24
"2015-03-22",17
"2015-03-29",20
"2015-04-05",22
"2015-04-12",24
"2015-04-19",20
"2015-04-26",31
"2015-05-03",33
"2015-05-10",26
"2015-05-17",25
"2015-05-24",21
"2015-05-31",23
"2015-06-07",18
"2015-06-14",22
"2015-06-21",26
"2015-06-28",23
"2015-07-05",23
"2015-07-12",27
"2015-07-19",27
"2015-07-26",24
"2015-08-02",28
"2015-08-09",23
"2015-08-16",25
"2015-08-23",26
"2015-08-30",30
"2015-09-06",24
"2015-09-13",22
"2015-09-20",20
"2015-09-27",40
"2015-10-04",28
"2015-10-11",27
"2015-10-18",28
"2015-10-25",27
"2015-11-01",24
"2015-11-08",22
"2015-11-15",18
"2015-11-22",21
"2015-11-29",23
"2015-12-06",19
"2015-12-13",22
"2015-12-20",22
"2015-12-27",19
"2016-01-03",20
"2016-01-10",22
"2016-01-17",21
"2016-01-24",20
"2016-01-31",23
"2016-02-07",26
"2016-02-14",21
"2016-02-21",20
"2016-02-28",19
"2016-03-06",18
"2016-03-13",17
"2016-03-20",24
"2016-03-27",100
"2016-04-03",60
"2016-04-10",35
"2016-04-17",30
"2016-04-24",24
"2016-05-01",26
"2016-05-08",28
"2016-05-15",25
"2016-05-22",23
"2016-05-29",19
"2016-06-05",26
"2016-06-12",25
"2016-06-19",27
"2016-06-26",36
"2016-07-03",28
"2016-07-10",30
"2016-07-17",30
"2016-07-24",23
"2016-07-31",22
"2016-08-07",22
"2016-08-14",20
"2016-08-21",25
"2016-08-28",24
"2016-09-04",19
"2016-09-11",26
"2016-09-18",25
"2016-09-25",24
"2016-10-02",25
"2016-10-09",23
"2016-10-16",35
"2016-10-23",23
"2016-10-30",32
"2016-11-06",25
"2016-11-13",28
"2016-11-20",25
"2016-11-27",25
"2016-12-04",22
"2016-12-11",21
"2016-12-18",22
"2016-12-25",20
"2017-01-01",24
"2017-01-08",24
"2017-01-15",23
"2017-01-22",27
"2017-01-29",22
"2017-02-05",31
"2017-02-12",29
"2017-02-19",31
"2017-02-26",28
"2017-03-05",25
"2017-03-12",23
"2017-03-19",28
"2017-03-26",29
"2017-04-02",37
"2017-04-09",40
"2017-04-16",33
"2017-04-23",26
"2017-04-30",29
"2017-05-07",35
"2017-05-14",35
"2017-05-21",31
"2017-05-28",31
"2017-06-04",36
"2017-06-11",34
"2017-06-18",26
"2017-06-25",35
"2017-07-02",52
"2017-07-09",44
"2017-07-16",34
"2017-07-23",47
"2017-07-30",60
"2017-08-06",39
"2017-08-13",37
"2017-08-20",27
"2017-08-27",26
"2017-09-03",29
"2017-09-10",30
"2017-09-17",29
"2017-09-24",29
"2017-10-01",33
"2017-10-08",36
"2017-10-15",32
"2017-10-22",35
"2017-10-29",33
"2017-11-05",35
"2017-11-12",80
"2017-11-19",64
"2017-11-26",39
"2017-12-03",37
"2017-12-10",30
"2017-12-17",32
"2017-12-24",34
"2017-12-31",30
"2018-01-07",37
"2018-01-14",34
"2018-01-21",41
"2018-01-28",36
"2018-02-04",72
"2018-02-11",44
"2018-02-18",34
"2018-02-25",29
"2018-03-04",30
"2018-03-11",31
"2018-03-18",33
"2018-03-25",48
"2018-04-01",41
"2018-04-08",33
"2018-04-15",33
"2018-04-22",32
"2018-04-29",45
"2018-05-06",40
"2018-05-13",36
"2018-05-20",35
"2018-05-27",29
"2018-06-03",32
"2018-06-10",34
"2018-06-17",39
"2018-06-24",42
"2018-07-01",43
"2018-07-08",36
"2018-07-15",35
"2018-07-22",35
"2018-07-29",47
"2018-08-05",52
"2018-08-12",42
"2018-08-19",47
"2018-08-26",37
"2018-09-02",48
"2018-09-09",46
"2018-09-16",43
"2018-09-23",45
"2018-09-30",50
"2018-10-07",36
"2018-10-14",40
"2018-10-21",47
"2018-10-28",36
"2018-11-04",28
"2018-11-11",32
"2018-11-18",31
