"date","minnesota"
"2013-12-01",10
"2013-12-08",9
"2013-12-15",8
"2013-12-22",12
"2013-12-29",7
"2014-01-05",8
"2014-01-12",12
"2014-01-19",13
"2014-01-26",10
"2014-02-02",8
"2014-02-09",8
"2014-02-16",10
"2014-02-23",17
"2014-03-02",10
"2014-03-09",15
"2014-03-16",15
"2014-03-23",12
"2014-03-30",22
"2014-04-06",11
"2014-04-13",12
"2014-04-20",13
"2014-04-27",12
"2014-05-04",13
"2014-05-11",19
"2014-05-18",13
"2014-05-25",13
"2014-06-01",13
"2014-06-08",16
"2014-06-15",13
"2014-06-22",12
"2014-06-29",11
"2014-07-06",14
"2014-07-13",16
"2014-07-20",15
"2014-07-27",13
"2014-08-03",11
"2014-08-10",13
"2014-08-17",13
"2014-08-24",12
"2014-08-31",14
"2014-09-07",12
"2014-09-14",12
"2014-09-21",12
"2014-09-28",13
"2014-10-05",23
"2014-10-12",15
"2014-10-19",14
"2014-10-26",11
"2014-11-02",9
"2014-11-09",8
"2014-11-16",10
"2014-11-23",9
"2014-11-30",10
"2014-12-07",8
"2014-12-14",11
"2014-12-21",8
"2014-12-28",10
"2015-01-04",11
"2015-01-11",13
"2015-01-18",11
"2015-01-25",20
"2015-02-01",13
"2015-02-08",14
"2015-02-15",14
"2015-02-22",12
"2015-03-01",12
"2015-03-08",12
"2015-03-15",14
"2015-03-22",13
"2015-03-29",11
"2015-04-05",14
"2015-04-12",13
"2015-04-19",13
"2015-04-26",23
"2015-05-03",26
"2015-05-10",15
"2015-05-17",19
"2015-05-24",13
"2015-05-31",12
"2015-06-07",15
"2015-06-14",12
"2015-06-21",14
"2015-06-28",14
"2015-07-05",14
"2015-07-12",14
"2015-07-19",15
"2015-07-26",16
"2015-08-02",17
"2015-08-09",14
"2015-08-16",16
"2015-08-23",22
"2015-08-30",16
"2015-09-06",14
"2015-09-13",16
"2015-09-20",16
"2015-09-27",23
"2015-10-04",23
"2015-10-11",18
"2015-10-18",19
"2015-10-25",12
"2015-11-01",12
"2015-11-08",12
"2015-11-15",12
"2015-11-22",15
"2015-11-29",11
"2015-12-06",13
"2015-12-13",11
"2015-12-20",12
"2015-12-27",13
"2016-01-03",13
"2016-01-10",12
"2016-01-17",10
"2016-01-24",15
"2016-01-31",14
"2016-02-07",20
"2016-02-14",12
"2016-02-21",13
"2016-02-28",13
"2016-03-06",14
"2016-03-13",15
"2016-03-20",16
"2016-03-27",100
"2016-04-03",51
"2016-04-10",24
"2016-04-17",17
"2016-04-24",17
"2016-05-01",17
"2016-05-08",20
"2016-05-15",17
"2016-05-22",17
"2016-05-29",16
"2016-06-05",15
"2016-06-12",14
"2016-06-19",16
"2016-06-26",20
"2016-07-03",15
"2016-07-10",18
"2016-07-17",17
"2016-07-24",16
"2016-07-31",19
"2016-08-07",14
"2016-08-14",15
"2016-08-21",20
"2016-08-28",17
"2016-09-04",14
"2016-09-11",19
"2016-09-18",14
"2016-09-25",16
"2016-10-02",18
"2016-10-09",12
"2016-10-16",22
"2016-10-23",21
"2016-10-30",19
"2016-11-06",14
"2016-11-13",15
"2016-11-20",16
"2016-11-27",17
"2016-12-04",15
"2016-12-11",13
"2016-12-18",13
"2016-12-25",19
"2017-01-01",16
"2017-01-08",15
"2017-01-15",15
"2017-01-22",15
"2017-01-29",14
"2017-02-05",16
"2017-02-12",18
"2017-02-19",21
"2017-02-26",20
"2017-03-05",17
"2017-03-12",17
"2017-03-19",18
"2017-03-26",15
"2017-04-02",23
"2017-04-09",26
"2017-04-16",27
"2017-04-23",23
"2017-04-30",25
"2017-05-07",21
"2017-05-14",17
"2017-05-21",22
"2017-05-28",22
"2017-06-04",21
"2017-06-11",21
"2017-06-18",23
"2017-06-25",18
"2017-07-02",37
"2017-07-09",30
"2017-07-16",27
"2017-07-23",37
"2017-07-30",37
"2017-08-06",27
"2017-08-13",19
"2017-08-20",18
"2017-08-27",19
"2017-09-03",17
"2017-09-10",23
"2017-09-17",19
"2017-09-24",19
"2017-10-01",17
"2017-10-08",19
"2017-10-15",18
"2017-10-22",18
"2017-10-29",22
"2017-11-05",25
"2017-11-12",50
"2017-11-19",41
"2017-11-26",28
"2017-12-03",23
"2017-12-10",20
"2017-12-17",24
"2017-12-24",24
"2017-12-31",24
"2018-01-07",21
"2018-01-14",19
"2018-01-21",22
"2018-01-28",21
"2018-02-04",49
"2018-02-11",31
"2018-02-18",21
"2018-02-25",19
"2018-03-04",19
"2018-03-11",20
"2018-03-18",23
"2018-03-25",30
"2018-04-01",29
"2018-04-08",24
"2018-04-15",20
"2018-04-22",21
"2018-04-29",24
"2018-05-06",25
"2018-05-13",26
"2018-05-20",29
"2018-05-27",23
"2018-06-03",26
"2018-06-10",26
"2018-06-17",22
"2018-06-24",26
"2018-07-01",27
"2018-07-08",26
"2018-07-15",28
"2018-07-22",26
"2018-07-29",30
"2018-08-05",36
"2018-08-12",27
"2018-08-19",28
"2018-08-26",25
"2018-09-02",36
"2018-09-09",33
"2018-09-16",28
"2018-09-23",31
"2018-09-30",44
"2018-10-07",28
"2018-10-14",24
"2018-10-21",29
"2018-10-28",29
"2018-11-04",26
"2018-11-11",24
"2018-11-18",21
