"date","mississippi"
"2013-12-01",18
"2013-12-08",18
"2013-12-15",17
"2013-12-22",18
"2013-12-29",25
"2014-01-05",27
"2014-01-12",18
"2014-01-19",13
"2014-01-26",15
"2014-02-02",20
"2014-02-09",22
"2014-02-16",33
"2014-02-23",26
"2014-03-02",21
"2014-03-09",29
"2014-03-16",27
"2014-03-23",30
"2014-03-30",63
"2014-04-06",25
"2014-04-13",23
"2014-04-20",27
"2014-04-27",17
"2014-05-04",23
"2014-05-11",38
"2014-05-18",35
"2014-05-25",23
"2014-06-01",33
"2014-06-08",16
"2014-06-15",28
"2014-06-22",19
"2014-06-29",51
"2014-07-06",30
"2014-07-13",37
"2014-07-20",31
"2014-07-27",47
"2014-08-03",33
"2014-08-10",19
"2014-08-17",23
"2014-08-24",15
"2014-08-31",47
"2014-09-07",17
"2014-09-14",24
"2014-09-21",15
"2014-09-28",13
"2014-10-05",31
"2014-10-12",38
"2014-10-19",27
"2014-10-26",18
"2014-11-02",15
"2014-11-09",23
"2014-11-16",21
"2014-11-23",30
"2014-11-30",19
"2014-12-07",17
"2014-12-14",23
"2014-12-21",18
"2014-12-28",17
"2015-01-04",30
"2015-01-11",19
"2015-01-18",13
"2015-01-25",35
"2015-02-01",28
"2015-02-08",33
"2015-02-15",28
"2015-02-22",38
"2015-03-01",21
"2015-03-08",24
"2015-03-15",54
"2015-03-22",18
"2015-03-29",36
"2015-04-05",26
"2015-04-12",27
"2015-04-19",25
"2015-04-26",43
"2015-05-03",50
"2015-05-10",53
"2015-05-17",39
"2015-05-24",14
"2015-05-31",34
"2015-06-07",37
"2015-06-14",47
"2015-06-21",28
"2015-06-28",37
"2015-07-05",32
"2015-07-12",17
"2015-07-19",37
"2015-07-26",29
"2015-08-02",29
"2015-08-09",21
"2015-08-16",18
"2015-08-23",35
"2015-08-30",22
"2015-09-06",38
"2015-09-13",15
"2015-09-20",26
"2015-09-27",33
"2015-10-04",29
"2015-10-11",22
"2015-10-18",35
"2015-10-25",35
"2015-11-01",31
"2015-11-08",26
"2015-11-15",38
"2015-11-22",46
"2015-11-29",17
"2015-12-06",32
"2015-12-13",24
"2015-12-20",26
"2015-12-27",17
"2016-01-03",33
"2016-01-10",33
"2016-01-17",21
"2016-01-24",23
"2016-01-31",26
"2016-02-07",42
"2016-02-14",25
"2016-02-21",14
"2016-02-28",22
"2016-03-06",21
"2016-03-13",20
"2016-03-20",17
"2016-03-27",100
"2016-04-03",71
"2016-04-10",41
"2016-04-17",48
"2016-04-24",34
"2016-05-01",28
"2016-05-08",23
"2016-05-15",30
"2016-05-22",27
"2016-05-29",31
"2016-06-05",39
"2016-06-12",27
"2016-06-19",26
"2016-06-26",42
"2016-07-03",30
"2016-07-10",29
"2016-07-17",23
"2016-07-24",26
"2016-07-31",18
"2016-08-07",26
"2016-08-14",31
"2016-08-21",22
"2016-08-28",25
"2016-09-04",21
"2016-09-11",20
"2016-09-18",23
"2016-09-25",40
"2016-10-02",27
"2016-10-09",34
"2016-10-16",47
"2016-10-23",29
"2016-10-30",37
"2016-11-06",22
"2016-11-13",30
"2016-11-20",21
"2016-11-27",19
"2016-12-04",27
"2016-12-11",30
"2016-12-18",42
"2016-12-25",37
"2017-01-01",35
"2017-01-08",35
"2017-01-15",29
"2017-01-22",32
"2017-01-29",30
"2017-02-05",27
"2017-02-12",38
"2017-02-19",26
"2017-02-26",30
"2017-03-05",38
"2017-03-12",27
"2017-03-19",34
"2017-03-26",33
"2017-04-02",35
"2017-04-09",30
"2017-04-16",28
"2017-04-23",34
"2017-04-30",39
"2017-05-07",39
"2017-05-14",32
"2017-05-21",37
"2017-05-28",45
"2017-06-04",36
"2017-06-11",32
"2017-06-18",32
"2017-06-25",27
"2017-07-02",40
"2017-07-09",27
"2017-07-16",47
"2017-07-23",62
"2017-07-30",62
"2017-08-06",58
"2017-08-13",39
"2017-08-20",21
"2017-08-27",30
"2017-09-03",24
"2017-09-10",48
"2017-09-17",32
"2017-09-24",39
"2017-10-01",35
"2017-10-08",43
"2017-10-15",36
"2017-10-22",32
"2017-10-29",39
"2017-11-05",35
"2017-11-12",97
"2017-11-19",83
"2017-11-26",54
"2017-12-03",52
"2017-12-10",43
"2017-12-17",48
"2017-12-24",57
"2017-12-31",44
"2018-01-07",45
"2018-01-14",61
"2018-01-21",55
"2018-01-28",46
"2018-02-04",97
"2018-02-11",53
"2018-02-18",51
"2018-02-25",45
"2018-03-04",45
"2018-03-11",43
"2018-03-18",43
"2018-03-25",50
"2018-04-01",50
"2018-04-08",37
"2018-04-15",50
"2018-04-22",51
"2018-04-29",63
"2018-05-06",60
"2018-05-13",38
"2018-05-20",42
"2018-05-27",40
"2018-06-03",36
"2018-06-10",40
"2018-06-17",42
"2018-06-24",42
"2018-07-01",50
"2018-07-08",55
"2018-07-15",40
"2018-07-22",46
"2018-07-29",36
"2018-08-05",64
"2018-08-12",41
"2018-08-19",57
"2018-08-26",42
"2018-09-02",50
"2018-09-09",40
"2018-09-16",37
"2018-09-23",61
"2018-09-30",42
"2018-10-07",51
"2018-10-14",58
"2018-10-21",48
"2018-10-28",50
"2018-11-04",24
"2018-11-11",43
"2018-11-18",37
