"date","missouri"
"2013-12-01",16
"2013-12-08",10
"2013-12-15",12
"2013-12-22",14
"2013-12-29",10
"2014-01-05",8
"2014-01-12",19
"2014-01-19",14
"2014-01-26",16
"2014-02-02",12
"2014-02-09",13
"2014-02-16",17
"2014-02-23",26
"2014-03-02",15
"2014-03-09",19
"2014-03-16",16
"2014-03-23",22
"2014-03-30",28
"2014-04-06",17
"2014-04-13",15
"2014-04-20",16
"2014-04-27",16
"2014-05-04",23
"2014-05-11",28
"2014-05-18",17
"2014-05-25",17
"2014-06-01",19
"2014-06-08",21
"2014-06-15",23
"2014-06-22",22
"2014-06-29",22
"2014-07-06",22
"2014-07-13",27
"2014-07-20",19
"2014-07-27",24
"2014-08-03",18
"2014-08-10",20
"2014-08-17",19
"2014-08-24",20
"2014-08-31",20
"2014-09-07",18
"2014-09-14",20
"2014-09-21",13
"2014-09-28",18
"2014-10-05",34
"2014-10-12",22
"2014-10-19",17
"2014-10-26",18
"2014-11-02",17
"2014-11-09",20
"2014-11-16",16
"2014-11-23",14
"2014-11-30",14
"2014-12-07",12
"2014-12-14",16
"2014-12-21",16
"2014-12-28",17
"2015-01-04",17
"2015-01-11",18
"2015-01-18",20
"2015-01-25",33
"2015-02-01",21
"2015-02-08",20
"2015-02-15",20
"2015-02-22",18
"2015-03-01",13
"2015-03-08",17
"2015-03-15",25
"2015-03-22",23
"2015-03-29",17
"2015-04-05",22
"2015-04-12",18
"2015-04-19",20
"2015-04-26",37
"2015-05-03",34
"2015-05-10",24
"2015-05-17",24
"2015-05-24",24
"2015-05-31",20
"2015-06-07",23
"2015-06-14",22
"2015-06-21",28
"2015-06-28",24
"2015-07-05",21
"2015-07-12",20
"2015-07-19",23
"2015-07-26",25
"2015-08-02",22
"2015-08-09",23
"2015-08-16",18
"2015-08-23",22
"2015-08-30",28
"2015-09-06",22
"2015-09-13",19
"2015-09-20",23
"2015-09-27",28
"2015-10-04",22
"2015-10-11",22
"2015-10-18",30
"2015-10-25",22
"2015-11-01",19
"2015-11-08",15
"2015-11-15",18
"2015-11-22",19
"2015-11-29",14
"2015-12-06",21
"2015-12-13",16
"2015-12-20",16
"2015-12-27",16
"2016-01-03",17
"2016-01-10",18
"2016-01-17",16
"2016-01-24",20
"2016-01-31",26
"2016-02-07",25
"2016-02-14",21
"2016-02-21",16
"2016-02-28",19
"2016-03-06",18
"2016-03-13",20
"2016-03-20",28
"2016-03-27",100
"2016-04-03",57
"2016-04-10",33
"2016-04-17",25
"2016-04-24",27
"2016-05-01",26
"2016-05-08",25
"2016-05-15",27
"2016-05-22",26
"2016-05-29",23
"2016-06-05",27
"2016-06-12",22
"2016-06-19",27
"2016-06-26",33
"2016-07-03",24
"2016-07-10",25
"2016-07-17",25
"2016-07-24",30
"2016-07-31",23
"2016-08-07",21
"2016-08-14",27
"2016-08-21",33
"2016-08-28",23
"2016-09-04",20
"2016-09-11",24
"2016-09-18",27
"2016-09-25",23
"2016-10-02",22
"2016-10-09",22
"2016-10-16",26
"2016-10-23",26
"2016-10-30",29
"2016-11-06",25
"2016-11-13",23
"2016-11-20",25
"2016-11-27",22
"2016-12-04",19
"2016-12-11",20
"2016-12-18",22
"2016-12-25",30
"2017-01-01",29
"2017-01-08",25
"2017-01-15",22
"2017-01-22",20
"2017-01-29",23
"2017-02-05",27
"2017-02-12",28
"2017-02-19",30
"2017-02-26",26
"2017-03-05",26
"2017-03-12",23
"2017-03-19",27
"2017-03-26",28
"2017-04-02",36
"2017-04-09",29
"2017-04-16",30
"2017-04-23",31
"2017-04-30",32
"2017-05-07",37
"2017-05-14",35
"2017-05-21",27
"2017-05-28",26
"2017-06-04",33
"2017-06-11",32
"2017-06-18",37
"2017-06-25",27
"2017-07-02",49
"2017-07-09",43
"2017-07-16",35
"2017-07-23",48
"2017-07-30",51
"2017-08-06",37
"2017-08-13",35
"2017-08-20",32
"2017-08-27",25
"2017-09-03",25
"2017-09-10",28
"2017-09-17",27
"2017-09-24",26
"2017-10-01",31
"2017-10-08",28
"2017-10-15",27
"2017-10-22",28
"2017-10-29",27
"2017-11-05",27
"2017-11-12",65
"2017-11-19",56
"2017-11-26",31
"2017-12-03",32
"2017-12-10",27
"2017-12-17",33
"2017-12-24",37
"2017-12-31",30
"2018-01-07",29
"2018-01-14",31
"2018-01-21",31
"2018-01-28",31
"2018-02-04",73
"2018-02-11",39
"2018-02-18",33
"2018-02-25",30
"2018-03-04",27
"2018-03-11",29
"2018-03-18",29
"2018-03-25",38
"2018-04-01",39
"2018-04-08",28
"2018-04-15",36
"2018-04-22",26
"2018-04-29",41
"2018-05-06",35
"2018-05-13",35
"2018-05-20",33
"2018-05-27",30
"2018-06-03",27
"2018-06-10",34
"2018-06-17",33
"2018-06-24",29
"2018-07-01",36
"2018-07-08",37
"2018-07-15",33
"2018-07-22",38
"2018-07-29",37
"2018-08-05",42
"2018-08-12",37
"2018-08-19",33
"2018-08-26",28
"2018-09-02",44
"2018-09-09",40
"2018-09-16",36
"2018-09-23",42
"2018-09-30",43
"2018-10-07",38
"2018-10-14",34
"2018-10-21",47
"2018-10-28",37
"2018-11-04",30
"2018-11-11",29
"2018-11-18",32
