"date","montana"
"2013-12-01",19
"2013-12-08",15
"2013-12-15",25
"2013-12-22",28
"2013-12-29",19
"2014-01-05",14
"2014-01-12",9
"2014-01-19",14
"2014-01-26",20
"2014-02-02",16
"2014-02-09",11
"2014-02-16",31
"2014-02-23",40
"2014-03-02",17
"2014-03-09",42
"2014-03-16",20
"2014-03-23",20
"2014-03-30",41
"2014-04-06",15
"2014-04-13",27
"2014-04-20",33
"2014-04-27",18
"2014-05-04",33
"2014-05-11",35
"2014-05-18",17
"2014-05-25",15
"2014-06-01",22
"2014-06-08",26
"2014-06-15",33
"2014-06-22",18
"2014-06-29",42
"2014-07-06",28
"2014-07-13",49
"2014-07-20",31
"2014-07-27",38
"2014-08-03",29
"2014-08-10",30
"2014-08-17",20
"2014-08-24",23
"2014-08-31",23
"2014-09-07",19
"2014-09-14",38
"2014-09-21",32
"2014-09-28",35
"2014-10-05",22
"2014-10-12",26
"2014-10-19",19
"2014-10-26",16
"2014-11-02",27
"2014-11-09",21
"2014-11-16",21
"2014-11-23",35
"2014-11-30",15
"2014-12-07",18
"2014-12-14",16
"2014-12-21",33
"2014-12-28",16
"2015-01-04",21
"2015-01-11",18
"2015-01-18",67
"2015-01-25",36
"2015-02-01",52
"2015-02-08",41
"2015-02-15",24
"2015-02-22",40
"2015-03-01",35
"2015-03-08",30
"2015-03-15",23
"2015-03-22",22
"2015-03-29",34
"2015-04-05",26
"2015-04-12",9
"2015-04-19",15
"2015-04-26",47
"2015-05-03",67
"2015-05-10",47
"2015-05-17",33
"2015-05-24",28
"2015-05-31",21
"2015-06-07",26
"2015-06-14",38
"2015-06-21",29
"2015-06-28",19
"2015-07-05",24
"2015-07-12",30
"2015-07-19",27
"2015-07-26",24
"2015-08-02",27
"2015-08-09",51
"2015-08-16",34
"2015-08-23",42
"2015-08-30",54
"2015-09-06",17
"2015-09-13",32
"2015-09-20",16
"2015-09-27",59
"2015-10-04",19
"2015-10-11",38
"2015-10-18",21
"2015-10-25",28
"2015-11-01",26
"2015-11-08",26
"2015-11-15",25
"2015-11-22",22
"2015-11-29",29
"2015-12-06",30
"2015-12-13",23
"2015-12-20",15
"2015-12-27",25
"2016-01-03",15
"2016-01-10",35
"2016-01-17",26
"2016-01-24",19
"2016-01-31",33
"2016-02-07",26
"2016-02-14",38
"2016-02-21",31
"2016-02-28",25
"2016-03-06",45
"2016-03-13",31
"2016-03-20",35
"2016-03-27",100
"2016-04-03",47
"2016-04-10",40
"2016-04-17",29
"2016-04-24",30
"2016-05-01",25
"2016-05-08",34
"2016-05-15",32
"2016-05-22",34
"2016-05-29",32
"2016-06-05",30
"2016-06-12",28
"2016-06-19",28
"2016-06-26",47
"2016-07-03",34
"2016-07-10",51
"2016-07-17",25
"2016-07-24",37
"2016-07-31",27
"2016-08-07",31
"2016-08-14",47
"2016-08-21",33
"2016-08-28",31
"2016-09-04",26
"2016-09-11",30
"2016-09-18",18
"2016-09-25",40
"2016-10-02",18
"2016-10-09",21
"2016-10-16",43
"2016-10-23",30
"2016-10-30",38
"2016-11-06",57
"2016-11-13",32
"2016-11-20",43
"2016-11-27",30
"2016-12-04",40
"2016-12-11",34
"2016-12-18",16
"2016-12-25",30
"2017-01-01",28
"2017-01-08",34
"2017-01-15",15
"2017-01-22",35
"2017-01-29",10
"2017-02-05",23
"2017-02-12",38
"2017-02-19",33
"2017-02-26",39
"2017-03-05",31
"2017-03-12",31
"2017-03-19",42
"2017-03-26",27
"2017-04-02",54
"2017-04-09",47
"2017-04-16",19
"2017-04-23",41
"2017-04-30",48
"2017-05-07",45
"2017-05-14",41
"2017-05-21",43
"2017-05-28",57
"2017-06-04",51
"2017-06-11",40
"2017-06-18",51
"2017-06-25",40
"2017-07-02",81
"2017-07-09",48
"2017-07-16",48
"2017-07-23",61
"2017-07-30",58
"2017-08-06",43
"2017-08-13",37
"2017-08-20",23
"2017-08-27",19
"2017-09-03",23
"2017-09-10",36
"2017-09-17",39
"2017-09-24",41
"2017-10-01",31
"2017-10-08",23
"2017-10-15",26
"2017-10-22",23
"2017-10-29",25
"2017-11-05",41
"2017-11-12",86
"2017-11-19",68
"2017-11-26",54
"2017-12-03",40
"2017-12-10",42
"2017-12-17",66
"2017-12-24",20
"2017-12-31",62
"2018-01-07",27
"2018-01-14",46
"2018-01-21",48
"2018-01-28",43
"2018-02-04",99
"2018-02-11",64
"2018-02-18",30
"2018-02-25",24
"2018-03-04",21
"2018-03-11",35
"2018-03-18",41
"2018-03-25",46
"2018-04-01",55
"2018-04-08",36
"2018-04-15",50
"2018-04-22",30
"2018-04-29",52
"2018-05-06",52
"2018-05-13",47
"2018-05-20",41
"2018-05-27",61
"2018-06-03",46
"2018-06-10",32
"2018-06-17",41
"2018-06-24",42
"2018-07-01",54
"2018-07-08",43
"2018-07-15",35
"2018-07-22",44
"2018-07-29",47
"2018-08-05",70
"2018-08-12",51
"2018-08-19",63
"2018-08-26",50
"2018-09-02",44
"2018-09-09",58
"2018-09-16",59
"2018-09-23",74
"2018-09-30",35
"2018-10-07",32
"2018-10-14",74
"2018-10-21",55
"2018-10-28",39
"2018-11-04",31
"2018-11-11",32
"2018-11-18",48
