"date","nebraska"
"2013-12-01",13
"2013-12-08",17
"2013-12-15",14
"2013-12-22",11
"2013-12-29",15
"2014-01-05",13
"2014-01-12",16
"2014-01-19",14
"2014-01-26",12
"2014-02-02",15
"2014-02-09",20
"2014-02-16",21
"2014-02-23",22
"2014-03-02",17
"2014-03-09",12
"2014-03-16",15
"2014-03-23",23
"2014-03-30",32
"2014-04-06",16
"2014-04-13",22
"2014-04-20",18
"2014-04-27",29
"2014-05-04",28
"2014-05-11",25
"2014-05-18",24
"2014-05-25",24
"2014-06-01",15
"2014-06-08",11
"2014-06-15",13
"2014-06-22",17
"2014-06-29",25
"2014-07-06",24
"2014-07-13",40
"2014-07-20",14
"2014-07-27",13
"2014-08-03",13
"2014-08-10",21
"2014-08-17",19
"2014-08-24",18
"2014-08-31",20
"2014-09-07",13
"2014-09-14",14
"2014-09-21",14
"2014-09-28",18
"2014-10-05",28
"2014-10-12",25
"2014-10-19",26
"2014-10-26",13
"2014-11-02",10
"2014-11-09",16
"2014-11-16",18
"2014-11-23",11
"2014-11-30",12
"2014-12-07",13
"2014-12-14",9
"2014-12-21",9
"2014-12-28",17
"2015-01-04",10
"2015-01-11",13
"2015-01-18",13
"2015-01-25",31
"2015-02-01",20
"2015-02-08",24
"2015-02-15",22
"2015-02-22",21
"2015-03-01",11
"2015-03-08",13
"2015-03-15",12
"2015-03-22",11
"2015-03-29",21
"2015-04-05",25
"2015-04-12",21
"2015-04-19",17
"2015-04-26",40
"2015-05-03",36
"2015-05-10",19
"2015-05-17",25
"2015-05-24",18
"2015-05-31",13
"2015-06-07",21
"2015-06-14",25
"2015-06-21",22
"2015-06-28",12
"2015-07-05",22
"2015-07-12",14
"2015-07-19",17
"2015-07-26",17
"2015-08-02",19
"2015-08-09",12
"2015-08-16",17
"2015-08-23",23
"2015-08-30",21
"2015-09-06",18
"2015-09-13",21
"2015-09-20",14
"2015-09-27",30
"2015-10-04",23
"2015-10-11",28
"2015-10-18",21
"2015-10-25",14
"2015-11-01",17
"2015-11-08",10
"2015-11-15",15
"2015-11-22",18
"2015-11-29",12
"2015-12-06",17
"2015-12-13",16
"2015-12-20",19
"2015-12-27",13
"2016-01-03",14
"2016-01-10",19
"2016-01-17",27
"2016-01-24",17
"2016-01-31",16
"2016-02-07",22
"2016-02-14",20
"2016-02-21",21
"2016-02-28",17
"2016-03-06",18
"2016-03-13",14
"2016-03-20",26
"2016-03-27",100
"2016-04-03",45
"2016-04-10",30
"2016-04-17",29
"2016-04-24",24
"2016-05-01",18
"2016-05-08",25
"2016-05-15",26
"2016-05-22",28
"2016-05-29",21
"2016-06-05",17
"2016-06-12",8
"2016-06-19",26
"2016-06-26",28
"2016-07-03",16
"2016-07-10",20
"2016-07-17",25
"2016-07-24",14
"2016-07-31",28
"2016-08-07",18
"2016-08-14",19
"2016-08-21",21
"2016-08-28",23
"2016-09-04",23
"2016-09-11",20
"2016-09-18",28
"2016-09-25",18
"2016-10-02",22
"2016-10-09",19
"2016-10-16",31
"2016-10-23",25
"2016-10-30",24
"2016-11-06",26
"2016-11-13",20
"2016-11-20",22
"2016-11-27",22
"2016-12-04",16
"2016-12-11",22
"2016-12-18",27
"2016-12-25",19
"2017-01-01",23
"2017-01-08",24
"2017-01-15",22
"2017-01-22",23
"2017-01-29",29
"2017-02-05",32
"2017-02-12",27
"2017-02-19",27
"2017-02-26",27
"2017-03-05",26
"2017-03-12",21
"2017-03-19",20
"2017-03-26",28
"2017-04-02",26
"2017-04-09",34
"2017-04-16",27
"2017-04-23",31
"2017-04-30",33
"2017-05-07",39
"2017-05-14",34
"2017-05-21",31
"2017-05-28",30
"2017-06-04",30
"2017-06-11",25
"2017-06-18",30
"2017-06-25",27
"2017-07-02",56
"2017-07-09",37
"2017-07-16",39
"2017-07-23",41
"2017-07-30",56
"2017-08-06",27
"2017-08-13",28
"2017-08-20",25
"2017-08-27",31
"2017-09-03",25
"2017-09-10",20
"2017-09-17",25
"2017-09-24",27
"2017-10-01",27
"2017-10-08",34
"2017-10-15",26
"2017-10-22",26
"2017-10-29",31
"2017-11-05",35
"2017-11-12",71
"2017-11-19",72
"2017-11-26",39
"2017-12-03",31
"2017-12-10",28
"2017-12-17",38
"2017-12-24",30
"2017-12-31",33
"2018-01-07",32
"2018-01-14",32
"2018-01-21",30
"2018-01-28",38
"2018-02-04",69
"2018-02-11",47
"2018-02-18",41
"2018-02-25",27
"2018-03-04",22
"2018-03-11",23
"2018-03-18",34
"2018-03-25",35
"2018-04-01",32
"2018-04-08",28
"2018-04-15",31
"2018-04-22",32
"2018-04-29",32
"2018-05-06",28
"2018-05-13",29
"2018-05-20",36
"2018-05-27",36
"2018-06-03",32
"2018-06-10",33
"2018-06-17",32
"2018-06-24",29
"2018-07-01",44
"2018-07-08",44
"2018-07-15",35
"2018-07-22",35
"2018-07-29",36
"2018-08-05",47
"2018-08-12",33
"2018-08-19",40
"2018-08-26",42
"2018-09-02",54
"2018-09-09",45
"2018-09-16",34
"2018-09-23",37
"2018-09-30",48
"2018-10-07",47
"2018-10-14",37
"2018-10-21",47
"2018-10-28",40
"2018-11-04",39
"2018-11-11",27
"2018-11-18",28
