"date","nevada"
"2013-12-01",11
"2013-12-08",13
"2013-12-15",13
"2013-12-22",15
"2013-12-29",8
"2014-01-05",10
"2014-01-12",15
"2014-01-19",13
"2014-01-26",13
"2014-02-02",16
"2014-02-09",18
"2014-02-16",17
"2014-02-23",32
"2014-03-02",17
"2014-03-09",23
"2014-03-16",19
"2014-03-23",20
"2014-03-30",27
"2014-04-06",18
"2014-04-13",15
"2014-04-20",17
"2014-04-27",20
"2014-05-04",26
"2014-05-11",24
"2014-05-18",19
"2014-05-25",17
"2014-06-01",14
"2014-06-08",26
"2014-06-15",20
"2014-06-22",18
"2014-06-29",21
"2014-07-06",21
"2014-07-13",27
"2014-07-20",27
"2014-07-27",34
"2014-08-03",21
"2014-08-10",21
"2014-08-17",14
"2014-08-24",18
"2014-08-31",78
"2014-09-07",49
"2014-09-14",37
"2014-09-21",22
"2014-09-28",22
"2014-10-05",37
"2014-10-12",27
"2014-10-19",24
"2014-10-26",21
"2014-11-02",22
"2014-11-09",14
"2014-11-16",22
"2014-11-23",19
"2014-11-30",15
"2014-12-07",18
"2014-12-14",19
"2014-12-21",20
"2014-12-28",21
"2015-01-04",24
"2015-01-11",26
"2015-01-18",21
"2015-01-25",24
"2015-02-01",24
"2015-02-08",28
"2015-02-15",22
"2015-02-22",24
"2015-03-01",14
"2015-03-08",21
"2015-03-15",20
"2015-03-22",11
"2015-03-29",22
"2015-04-05",22
"2015-04-12",18
"2015-04-19",23
"2015-04-26",27
"2015-05-03",38
"2015-05-10",28
"2015-05-17",20
"2015-05-24",22
"2015-05-31",20
"2015-06-07",25
"2015-06-14",26
"2015-06-21",23
"2015-06-28",24
"2015-07-05",18
"2015-07-12",28
"2015-07-19",26
"2015-07-26",22
"2015-08-02",29
"2015-08-09",24
"2015-08-16",18
"2015-08-23",30
"2015-08-30",30
"2015-09-06",21
"2015-09-13",24
"2015-09-20",25
"2015-09-27",36
"2015-10-04",27
"2015-10-11",25
"2015-10-18",28
"2015-10-25",24
"2015-11-01",27
"2015-11-08",20
"2015-11-15",22
"2015-11-22",24
"2015-11-29",23
"2015-12-06",17
"2015-12-13",17
"2015-12-20",17
"2015-12-27",20
"2016-01-03",22
"2016-01-10",20
"2016-01-17",13
"2016-01-24",21
"2016-01-31",21
"2016-02-07",25
"2016-02-14",17
"2016-02-21",18
"2016-02-28",20
"2016-03-06",16
"2016-03-13",27
"2016-03-20",22
"2016-03-27",100
"2016-04-03",57
"2016-04-10",33
"2016-04-17",30
"2016-04-24",23
"2016-05-01",28
"2016-05-08",27
"2016-05-15",26
"2016-05-22",22
"2016-05-29",22
"2016-06-05",21
"2016-06-12",23
"2016-06-19",31
"2016-06-26",32
"2016-07-03",18
"2016-07-10",26
"2016-07-17",21
"2016-07-24",33
"2016-07-31",28
"2016-08-07",23
"2016-08-14",18
"2016-08-21",25
"2016-08-28",20
"2016-09-04",24
"2016-09-11",22
"2016-09-18",18
"2016-09-25",23
"2016-10-02",20
"2016-10-09",24
"2016-10-16",27
"2016-10-23",29
"2016-10-30",27
"2016-11-06",26
"2016-11-13",25
"2016-11-20",21
"2016-11-27",26
"2016-12-04",25
"2016-12-11",23
"2016-12-18",19
"2016-12-25",22
"2017-01-01",27
"2017-01-08",28
"2017-01-15",26
"2017-01-22",24
"2017-01-29",24
"2017-02-05",27
"2017-02-12",26
"2017-02-19",31
"2017-02-26",21
"2017-03-05",23
"2017-03-12",30
"2017-03-19",26
"2017-03-26",27
"2017-04-02",34
"2017-04-09",32
"2017-04-16",28
"2017-04-23",31
"2017-04-30",37
"2017-05-07",33
"2017-05-14",36
"2017-05-21",33
"2017-05-28",31
"2017-06-04",37
"2017-06-11",36
"2017-06-18",35
"2017-06-25",37
"2017-07-02",49
"2017-07-09",45
"2017-07-16",36
"2017-07-23",56
"2017-07-30",59
"2017-08-06",46
"2017-08-13",34
"2017-08-20",37
"2017-08-27",33
"2017-09-03",29
"2017-09-10",34
"2017-09-17",35
"2017-09-24",33
"2017-10-01",30
"2017-10-08",34
"2017-10-15",36
"2017-10-22",32
"2017-10-29",42
"2017-11-05",40
"2017-11-12",81
"2017-11-19",56
"2017-11-26",55
"2017-12-03",46
"2017-12-10",42
"2017-12-17",42
"2017-12-24",35
"2017-12-31",41
"2018-01-07",44
"2018-01-14",50
"2018-01-21",39
"2018-01-28",43
"2018-02-04",68
"2018-02-11",52
"2018-02-18",39
"2018-02-25",42
"2018-03-04",46
"2018-03-11",43
"2018-03-18",51
"2018-03-25",61
"2018-04-01",57
"2018-04-08",52
"2018-04-15",51
"2018-04-22",50
"2018-04-29",56
"2018-05-06",55
"2018-05-13",52
"2018-05-20",59
"2018-05-27",45
"2018-06-03",46
"2018-06-10",64
"2018-06-17",59
"2018-06-24",56
"2018-07-01",54
"2018-07-08",50
"2018-07-15",50
"2018-07-22",56
"2018-07-29",67
"2018-08-05",68
"2018-08-12",58
"2018-08-19",64
"2018-08-26",54
"2018-09-02",71
"2018-09-09",65
"2018-09-16",66
"2018-09-23",68
"2018-09-30",77
"2018-10-07",55
"2018-10-14",58
"2018-10-21",77
"2018-10-28",61
"2018-11-04",48
"2018-11-11",41
"2018-11-18",41
