"date","new hampshire"
"2013-12-01",18
"2013-12-08",13
"2013-12-15",14
"2013-12-22",15
"2013-12-29",10
"2014-01-05",8
"2014-01-12",16
"2014-01-19",10
"2014-01-26",15
"2014-02-02",11
"2014-02-09",14
"2014-02-16",16
"2014-02-23",29
"2014-03-02",22
"2014-03-09",23
"2014-03-16",25
"2014-03-23",12
"2014-03-30",25
"2014-04-06",17
"2014-04-13",20
"2014-04-20",17
"2014-04-27",12
"2014-05-04",18
"2014-05-11",28
"2014-05-18",16
"2014-05-25",15
"2014-06-01",20
"2014-06-08",18
"2014-06-15",22
"2014-06-22",18
"2014-06-29",24
"2014-07-06",23
"2014-07-13",28
"2014-07-20",12
"2014-07-27",23
"2014-08-03",16
"2014-08-10",21
"2014-08-17",17
"2014-08-24",19
"2014-08-31",23
"2014-09-07",19
"2014-09-14",27
"2014-09-21",17
"2014-09-28",22
"2014-10-05",36
"2014-10-12",23
"2014-10-19",18
"2014-10-26",19
"2014-11-02",12
"2014-11-09",15
"2014-11-16",16
"2014-11-23",9
"2014-11-30",21
"2014-12-07",16
"2014-12-14",15
"2014-12-21",11
"2014-12-28",10
"2015-01-04",11
"2015-01-11",23
"2015-01-18",11
"2015-01-25",24
"2015-02-01",15
"2015-02-08",22
"2015-02-15",26
"2015-02-22",15
"2015-03-01",23
"2015-03-08",14
"2015-03-15",17
"2015-03-22",18
"2015-03-29",21
"2015-04-05",21
"2015-04-12",17
"2015-04-19",25
"2015-04-26",31
"2015-05-03",34
"2015-05-10",32
"2015-05-17",22
"2015-05-24",21
"2015-05-31",15
"2015-06-07",19
"2015-06-14",26
"2015-06-21",24
"2015-06-28",18
"2015-07-05",34
"2015-07-12",22
"2015-07-19",22
"2015-07-26",28
"2015-08-02",24
"2015-08-09",19
"2015-08-16",25
"2015-08-23",28
"2015-08-30",25
"2015-09-06",16
"2015-09-13",23
"2015-09-20",28
"2015-09-27",31
"2015-10-04",33
"2015-10-11",35
"2015-10-18",13
"2015-10-25",15
"2015-11-01",13
"2015-11-08",11
"2015-11-15",16
"2015-11-22",20
"2015-11-29",16
"2015-12-06",31
"2015-12-13",12
"2015-12-20",23
"2015-12-27",19
"2016-01-03",18
"2016-01-10",21
"2016-01-17",22
"2016-01-24",17
"2016-01-31",14
"2016-02-07",23
"2016-02-14",17
"2016-02-21",22
"2016-02-28",20
"2016-03-06",22
"2016-03-13",13
"2016-03-20",20
"2016-03-27",100
"2016-04-03",60
"2016-04-10",31
"2016-04-17",26
"2016-04-24",20
"2016-05-01",27
"2016-05-08",20
"2016-05-15",22
"2016-05-22",28
"2016-05-29",26
"2016-06-05",20
"2016-06-12",14
"2016-06-19",29
"2016-06-26",30
"2016-07-03",33
"2016-07-10",21
"2016-07-17",26
"2016-07-24",10
"2016-07-31",14
"2016-08-07",12
"2016-08-14",18
"2016-08-21",27
"2016-08-28",21
"2016-09-04",16
"2016-09-11",23
"2016-09-18",17
"2016-09-25",17
"2016-10-02",20
"2016-10-09",17
"2016-10-16",29
"2016-10-23",28
"2016-10-30",30
"2016-11-06",23
"2016-11-13",30
"2016-11-20",19
"2016-11-27",23
"2016-12-04",26
"2016-12-11",22
"2016-12-18",20
"2016-12-25",24
"2017-01-01",26
"2017-01-08",25
"2017-01-15",19
"2017-01-22",20
"2017-01-29",17
"2017-02-05",23
"2017-02-12",26
"2017-02-19",19
"2017-02-26",27
"2017-03-05",25
"2017-03-12",17
"2017-03-19",22
"2017-03-26",16
"2017-04-02",34
"2017-04-09",34
"2017-04-16",36
"2017-04-23",28
"2017-04-30",35
"2017-05-07",32
"2017-05-14",27
"2017-05-21",22
"2017-05-28",19
"2017-06-04",27
"2017-06-11",29
"2017-06-18",26
"2017-06-25",31
"2017-07-02",53
"2017-07-09",40
"2017-07-16",35
"2017-07-23",44
"2017-07-30",50
"2017-08-06",35
"2017-08-13",37
"2017-08-20",25
"2017-08-27",25
"2017-09-03",30
"2017-09-10",23
"2017-09-17",24
"2017-09-24",31
"2017-10-01",27
"2017-10-08",30
"2017-10-15",37
"2017-10-22",31
"2017-10-29",27
"2017-11-05",31
"2017-11-12",60
"2017-11-19",68
"2017-11-26",37
"2017-12-03",41
"2017-12-10",30
"2017-12-17",26
"2017-12-24",34
"2017-12-31",23
"2018-01-07",29
"2018-01-14",32
"2018-01-21",37
"2018-01-28",30
"2018-02-04",65
"2018-02-11",43
"2018-02-18",37
"2018-02-25",25
"2018-03-04",37
"2018-03-11",26
"2018-03-18",25
"2018-03-25",35
"2018-04-01",48
"2018-04-08",31
"2018-04-15",24
"2018-04-22",25
"2018-04-29",33
"2018-05-06",31
"2018-05-13",22
"2018-05-20",21
"2018-05-27",22
"2018-06-03",30
"2018-06-10",23
"2018-06-17",41
"2018-06-24",36
"2018-07-01",34
"2018-07-08",28
"2018-07-15",33
"2018-07-22",24
"2018-07-29",35
"2018-08-05",50
"2018-08-12",34
"2018-08-19",34
"2018-08-26",33
"2018-09-02",41
"2018-09-09",37
"2018-09-16",37
"2018-09-23",48
"2018-09-30",42
"2018-10-07",34
"2018-10-14",28
"2018-10-21",36
"2018-10-28",42
"2018-11-04",30
"2018-11-11",38
"2018-11-18",26
