"date","new mexico"
"2013-12-01",10
"2013-12-08",9
"2013-12-15",18
"2013-12-22",14
"2013-12-29",18
"2014-01-05",12
"2014-01-12",21
"2014-01-19",19
"2014-01-26",23
"2014-02-02",16
"2014-02-09",20
"2014-02-16",27
"2014-02-23",55
"2014-03-02",26
"2014-03-09",35
"2014-03-16",45
"2014-03-23",38
"2014-03-30",38
"2014-04-06",24
"2014-04-13",29
"2014-04-20",32
"2014-04-27",24
"2014-05-04",61
"2014-05-11",40
"2014-05-18",27
"2014-05-25",22
"2014-06-01",35
"2014-06-08",17
"2014-06-15",39
"2014-06-22",23
"2014-06-29",24
"2014-07-06",34
"2014-07-13",24
"2014-07-20",25
"2014-07-27",35
"2014-08-03",12
"2014-08-10",14
"2014-08-17",15
"2014-08-24",21
"2014-08-31",39
"2014-09-07",22
"2014-09-14",15
"2014-09-21",11
"2014-09-28",21
"2014-10-05",37
"2014-10-12",19
"2014-10-19",11
"2014-10-26",19
"2014-11-02",17
"2014-11-09",23
"2014-11-16",11
"2014-11-23",13
"2014-11-30",22
"2014-12-07",5
"2014-12-14",10
"2014-12-21",18
"2014-12-28",14
"2015-01-04",27
"2015-01-11",25
"2015-01-18",21
"2015-01-25",36
"2015-02-01",16
"2015-02-08",22
"2015-02-15",29
"2015-02-22",22
"2015-03-01",23
"2015-03-08",16
"2015-03-15",24
"2015-03-22",13
"2015-03-29",20
"2015-04-05",21
"2015-04-12",22
"2015-04-19",20
"2015-04-26",37
"2015-05-03",37
"2015-05-10",14
"2015-05-17",26
"2015-05-24",10
"2015-05-31",18
"2015-06-07",25
"2015-06-14",26
"2015-06-21",22
"2015-06-28",20
"2015-07-05",16
"2015-07-12",23
"2015-07-19",18
"2015-07-26",16
"2015-08-02",29
"2015-08-09",26
"2015-08-16",25
"2015-08-23",23
"2015-08-30",31
"2015-09-06",23
"2015-09-13",32
"2015-09-20",30
"2015-09-27",41
"2015-10-04",26
"2015-10-11",27
"2015-10-18",29
"2015-10-25",15
"2015-11-01",13
"2015-11-08",19
"2015-11-15",27
"2015-11-22",23
"2015-11-29",16
"2015-12-06",20
"2015-12-13",17
"2015-12-20",17
"2015-12-27",24
"2016-01-03",24
"2016-01-10",17
"2016-01-17",12
"2016-01-24",21
"2016-01-31",16
"2016-02-07",18
"2016-02-14",20
"2016-02-21",30
"2016-02-28",23
"2016-03-06",14
"2016-03-13",23
"2016-03-20",23
"2016-03-27",100
"2016-04-03",61
"2016-04-10",37
"2016-04-17",26
"2016-04-24",27
"2016-05-01",20
"2016-05-08",14
"2016-05-15",22
"2016-05-22",19
"2016-05-29",26
"2016-06-05",20
"2016-06-12",15
"2016-06-19",25
"2016-06-26",33
"2016-07-03",25
"2016-07-10",26
"2016-07-17",29
"2016-07-24",29
"2016-07-31",22
"2016-08-07",17
"2016-08-14",23
"2016-08-21",41
"2016-08-28",20
"2016-09-04",26
"2016-09-11",18
"2016-09-18",23
"2016-09-25",22
"2016-10-02",24
"2016-10-09",16
"2016-10-16",25
"2016-10-23",34
"2016-10-30",28
"2016-11-06",20
"2016-11-13",26
"2016-11-20",29
"2016-11-27",18
"2016-12-04",21
"2016-12-11",12
"2016-12-18",17
"2016-12-25",24
"2017-01-01",22
"2017-01-08",16
"2017-01-15",20
"2017-01-22",17
"2017-01-29",21
"2017-02-05",31
"2017-02-12",30
"2017-02-19",22
"2017-02-26",21
"2017-03-05",23
"2017-03-12",23
"2017-03-19",19
"2017-03-26",25
"2017-04-02",22
"2017-04-09",29
"2017-04-16",27
"2017-04-23",20
"2017-04-30",19
"2017-05-07",37
"2017-05-14",26
"2017-05-21",30
"2017-05-28",24
"2017-06-04",24
"2017-06-11",28
"2017-06-18",21
"2017-06-25",20
"2017-07-02",56
"2017-07-09",43
"2017-07-16",34
"2017-07-23",48
"2017-07-30",54
"2017-08-06",25
"2017-08-13",23
"2017-08-20",24
"2017-08-27",17
"2017-09-03",22
"2017-09-10",20
"2017-09-17",26
"2017-09-24",27
"2017-10-01",23
"2017-10-08",15
"2017-10-15",30
"2017-10-22",19
"2017-10-29",26
"2017-11-05",26
"2017-11-12",53
"2017-11-19",62
"2017-11-26",35
"2017-12-03",38
"2017-12-10",37
"2017-12-17",35
"2017-12-24",41
"2017-12-31",33
"2018-01-07",29
"2018-01-14",32
"2018-01-21",35
"2018-01-28",41
"2018-02-04",69
"2018-02-11",38
"2018-02-18",37
"2018-02-25",38
"2018-03-04",29
"2018-03-11",22
"2018-03-18",29
"2018-03-25",34
"2018-04-01",34
"2018-04-08",27
"2018-04-15",37
"2018-04-22",23
"2018-04-29",32
"2018-05-06",36
"2018-05-13",30
"2018-05-20",32
"2018-05-27",42
"2018-06-03",25
"2018-06-10",33
"2018-06-17",33
"2018-06-24",40
"2018-07-01",38
"2018-07-08",40
"2018-07-15",35
"2018-07-22",25
"2018-07-29",37
"2018-08-05",48
"2018-08-12",42
"2018-08-19",37
"2018-08-26",37
"2018-09-02",46
"2018-09-09",48
"2018-09-16",35
"2018-09-23",43
"2018-09-30",40
"2018-10-07",40
"2018-10-14",37
"2018-10-21",48
"2018-10-28",37
"2018-11-04",40
"2018-11-11",41
"2018-11-18",28
