"date","new york"
"2013-12-01",11
"2013-12-08",11
"2013-12-15",11
"2013-12-22",12
"2013-12-29",10
"2014-01-05",11
"2014-01-12",13
"2014-01-19",9
"2014-01-26",12
"2014-02-02",11
"2014-02-09",11
"2014-02-16",18
"2014-02-23",24
"2014-03-02",15
"2014-03-09",19
"2014-03-16",18
"2014-03-23",17
"2014-03-30",25
"2014-04-06",16
"2014-04-13",15
"2014-04-20",16
"2014-04-27",14
"2014-05-04",19
"2014-05-11",20
"2014-05-18",14
"2014-05-25",15
"2014-06-01",13
"2014-06-08",18
"2014-06-15",19
"2014-06-22",13
"2014-06-29",16
"2014-07-06",19
"2014-07-13",24
"2014-07-20",18
"2014-07-27",19
"2014-08-03",18
"2014-08-10",15
"2014-08-17",17
"2014-08-24",16
"2014-08-31",19
"2014-09-07",14
"2014-09-14",15
"2014-09-21",15
"2014-09-28",16
"2014-10-05",34
"2014-10-12",20
"2014-10-19",16
"2014-10-26",18
"2014-11-02",16
"2014-11-09",14
"2014-11-16",12
"2014-11-23",13
"2014-11-30",13
"2014-12-07",13
"2014-12-14",13
"2014-12-21",13
"2014-12-28",13
"2015-01-04",13
"2015-01-11",16
"2015-01-18",15
"2015-01-25",23
"2015-02-01",15
"2015-02-08",19
"2015-02-15",17
"2015-02-22",15
"2015-03-01",11
"2015-03-08",12
"2015-03-15",17
"2015-03-22",15
"2015-03-29",17
"2015-04-05",19
"2015-04-12",15
"2015-04-19",15
"2015-04-26",28
"2015-05-03",26
"2015-05-10",17
"2015-05-17",16
"2015-05-24",15
"2015-05-31",15
"2015-06-07",16
"2015-06-14",16
"2015-06-21",17
"2015-06-28",17
"2015-07-05",19
"2015-07-12",20
"2015-07-19",22
"2015-07-26",17
"2015-08-02",23
"2015-08-09",17
"2015-08-16",18
"2015-08-23",21
"2015-08-30",23
"2015-09-06",18
"2015-09-13",20
"2015-09-20",17
"2015-09-27",34
"2015-10-04",21
"2015-10-11",22
"2015-10-18",23
"2015-10-25",18
"2015-11-01",18
"2015-11-08",16
"2015-11-15",16
"2015-11-22",17
"2015-11-29",16
"2015-12-06",16
"2015-12-13",13
"2015-12-20",16
"2015-12-27",16
"2016-01-03",17
"2016-01-10",16
"2016-01-17",12
"2016-01-24",15
"2016-01-31",19
"2016-02-07",24
"2016-02-14",18
"2016-02-21",16
"2016-02-28",17
"2016-03-06",18
"2016-03-13",17
"2016-03-20",19
"2016-03-27",100
"2016-04-03",59
"2016-04-10",31
"2016-04-17",25
"2016-04-24",20
"2016-05-01",24
"2016-05-08",22
"2016-05-15",22
"2016-05-22",20
"2016-05-29",21
"2016-06-05",19
"2016-06-12",18
"2016-06-19",26
"2016-06-26",31
"2016-07-03",24
"2016-07-10",24
"2016-07-17",21
"2016-07-24",20
"2016-07-31",24
"2016-08-07",16
"2016-08-14",17
"2016-08-21",24
"2016-08-28",20
"2016-09-04",17
"2016-09-11",20
"2016-09-18",24
"2016-09-25",25
"2016-10-02",19
"2016-10-09",19
"2016-10-16",28
"2016-10-23",24
"2016-10-30",26
"2016-11-06",17
"2016-11-13",22
"2016-11-20",23
"2016-11-27",19
"2016-12-04",18
"2016-12-11",18
"2016-12-18",19
"2016-12-25",21
"2017-01-01",20
"2017-01-08",18
"2017-01-15",20
"2017-01-22",18
"2017-01-29",19
"2017-02-05",19
"2017-02-12",22
"2017-02-19",23
"2017-02-26",21
"2017-03-05",22
"2017-03-12",20
"2017-03-19",20
"2017-03-26",23
"2017-04-02",29
"2017-04-09",28
"2017-04-16",26
"2017-04-23",23
"2017-04-30",28
"2017-05-07",29
"2017-05-14",22
"2017-05-21",22
"2017-05-28",26
"2017-06-04",27
"2017-06-11",27
"2017-06-18",25
"2017-06-25",26
"2017-07-02",45
"2017-07-09",36
"2017-07-16",29
"2017-07-23",42
"2017-07-30",51
"2017-08-06",35
"2017-08-13",26
"2017-08-20",25
"2017-08-27",21
"2017-09-03",24
"2017-09-10",26
"2017-09-17",26
"2017-09-24",24
"2017-10-01",27
"2017-10-08",26
"2017-10-15",25
"2017-10-22",27
"2017-10-29",29
"2017-11-05",23
"2017-11-12",59
"2017-11-19",46
"2017-11-26",31
"2017-12-03",27
"2017-12-10",24
"2017-12-17",26
"2017-12-24",29
"2017-12-31",27
"2018-01-07",28
"2018-01-14",28
"2018-01-21",27
"2018-01-28",26
"2018-02-04",56
"2018-02-11",31
"2018-02-18",28
"2018-02-25",27
"2018-03-04",24
"2018-03-11",25
"2018-03-18",24
"2018-03-25",40
"2018-04-01",35
"2018-04-08",26
"2018-04-15",28
"2018-04-22",27
"2018-04-29",33
"2018-05-06",30
"2018-05-13",28
"2018-05-20",30
"2018-05-27",26
"2018-06-03",28
"2018-06-10",28
"2018-06-17",30
"2018-06-24",28
"2018-07-01",31
"2018-07-08",32
"2018-07-15",30
"2018-07-22",31
"2018-07-29",38
"2018-08-05",54
"2018-08-12",40
"2018-08-19",38
"2018-08-26",30
"2018-09-02",43
"2018-09-09",38
"2018-09-16",33
"2018-09-23",42
"2018-09-30",45
"2018-10-07",36
"2018-10-14",32
"2018-10-21",47
"2018-10-28",33
"2018-11-04",26
"2018-11-11",27
"2018-11-18",26
