"date","north carolina"
"2013-12-01",12
"2013-12-08",13
"2013-12-15",15
"2013-12-22",15
"2013-12-29",13
"2014-01-05",11
"2014-01-12",15
"2014-01-19",17
"2014-01-26",13
"2014-02-02",13
"2014-02-09",12
"2014-02-16",20
"2014-02-23",22
"2014-03-02",16
"2014-03-09",21
"2014-03-16",19
"2014-03-23",15
"2014-03-30",35
"2014-04-06",15
"2014-04-13",15
"2014-04-20",16
"2014-04-27",17
"2014-05-04",14
"2014-05-11",23
"2014-05-18",18
"2014-05-25",15
"2014-06-01",20
"2014-06-08",21
"2014-06-15",27
"2014-06-22",16
"2014-06-29",18
"2014-07-06",21
"2014-07-13",25
"2014-07-20",22
"2014-07-27",22
"2014-08-03",17
"2014-08-10",17
"2014-08-17",19
"2014-08-24",18
"2014-08-31",22
"2014-09-07",16
"2014-09-14",18
"2014-09-21",13
"2014-09-28",18
"2014-10-05",36
"2014-10-12",21
"2014-10-19",18
"2014-10-26",17
"2014-11-02",16
"2014-11-09",12
"2014-11-16",12
"2014-11-23",15
"2014-11-30",14
"2014-12-07",13
"2014-12-14",12
"2014-12-21",17
"2014-12-28",13
"2015-01-04",14
"2015-01-11",14
"2015-01-18",18
"2015-01-25",31
"2015-02-01",20
"2015-02-08",19
"2015-02-15",22
"2015-02-22",17
"2015-03-01",16
"2015-03-08",16
"2015-03-15",20
"2015-03-22",16
"2015-03-29",18
"2015-04-05",19
"2015-04-12",17
"2015-04-19",19
"2015-04-26",30
"2015-05-03",29
"2015-05-10",25
"2015-05-17",18
"2015-05-24",17
"2015-05-31",17
"2015-06-07",17
"2015-06-14",22
"2015-06-21",19
"2015-06-28",17
"2015-07-05",20
"2015-07-12",20
"2015-07-19",23
"2015-07-26",19
"2015-08-02",21
"2015-08-09",22
"2015-08-16",20
"2015-08-23",21
"2015-08-30",24
"2015-09-06",23
"2015-09-13",22
"2015-09-20",22
"2015-09-27",32
"2015-10-04",21
"2015-10-11",20
"2015-10-18",23
"2015-10-25",18
"2015-11-01",17
"2015-11-08",16
"2015-11-15",15
"2015-11-22",19
"2015-11-29",21
"2015-12-06",18
"2015-12-13",16
"2015-12-20",19
"2015-12-27",16
"2016-01-03",18
"2016-01-10",17
"2016-01-17",14
"2016-01-24",18
"2016-01-31",22
"2016-02-07",24
"2016-02-14",21
"2016-02-21",19
"2016-02-28",17
"2016-03-06",19
"2016-03-13",18
"2016-03-20",21
"2016-03-27",100
"2016-04-03",60
"2016-04-10",32
"2016-04-17",26
"2016-04-24",23
"2016-05-01",23
"2016-05-08",22
"2016-05-15",21
"2016-05-22",24
"2016-05-29",23
"2016-06-05",25
"2016-06-12",18
"2016-06-19",25
"2016-06-26",29
"2016-07-03",25
"2016-07-10",28
"2016-07-17",23
"2016-07-24",24
"2016-07-31",23
"2016-08-07",18
"2016-08-14",19
"2016-08-21",23
"2016-08-28",22
"2016-09-04",19
"2016-09-11",20
"2016-09-18",23
"2016-09-25",22
"2016-10-02",21
"2016-10-09",19
"2016-10-16",29
"2016-10-23",31
"2016-10-30",27
"2016-11-06",21
"2016-11-13",21
"2016-11-20",26
"2016-11-27",23
"2016-12-04",22
"2016-12-11",23
"2016-12-18",20
"2016-12-25",26
"2017-01-01",23
"2017-01-08",21
"2017-01-15",19
"2017-01-22",22
"2017-01-29",19
"2017-02-05",26
"2017-02-12",22
"2017-02-19",28
"2017-02-26",25
"2017-03-05",23
"2017-03-12",24
"2017-03-19",27
"2017-03-26",21
"2017-04-02",29
"2017-04-09",31
"2017-04-16",28
"2017-04-23",25
"2017-04-30",30
"2017-05-07",33
"2017-05-14",29
"2017-05-21",26
"2017-05-28",30
"2017-06-04",30
"2017-06-11",28
"2017-06-18",28
"2017-06-25",28
"2017-07-02",48
"2017-07-09",41
"2017-07-16",37
"2017-07-23",49
"2017-07-30",52
"2017-08-06",41
"2017-08-13",35
"2017-08-20",26
"2017-08-27",27
"2017-09-03",26
"2017-09-10",31
"2017-09-17",29
"2017-09-24",25
"2017-10-01",26
"2017-10-08",26
"2017-10-15",29
"2017-10-22",29
"2017-10-29",30
"2017-11-05",28
"2017-11-12",63
"2017-11-19",56
"2017-11-26",34
"2017-12-03",29
"2017-12-10",32
"2017-12-17",37
"2017-12-24",37
"2017-12-31",36
"2018-01-07",30
"2018-01-14",29
"2018-01-21",35
"2018-01-28",32
"2018-02-04",68
"2018-02-11",39
"2018-02-18",33
"2018-02-25",31
"2018-03-04",30
"2018-03-11",29
"2018-03-18",30
"2018-03-25",38
"2018-04-01",39
"2018-04-08",33
"2018-04-15",33
"2018-04-22",29
"2018-04-29",39
"2018-05-06",38
"2018-05-13",32
"2018-05-20",31
"2018-05-27",31
"2018-06-03",30
"2018-06-10",32
"2018-06-17",30
"2018-06-24",37
"2018-07-01",37
"2018-07-08",37
"2018-07-15",33
"2018-07-22",36
"2018-07-29",36
"2018-08-05",49
"2018-08-12",36
"2018-08-19",39
"2018-08-26",34
"2018-09-02",42
"2018-09-09",35
"2018-09-16",34
"2018-09-23",41
"2018-09-30",48
"2018-10-07",40
"2018-10-14",39
"2018-10-21",46
"2018-10-28",35
"2018-11-04",34
"2018-11-11",34
"2018-11-18",34
